日期,单位净值,累计净值,复权净值
2023-10-23,1.0,1.0,1.0
2023-10-27,1.0002,1.0002,1.0002
2023-11-03,1.0006,1.0006,1.0006
2023-11-10,1.0065,1.0065,1.0065
2023-11-17,1.0071,1.0071,1.0071
2023-11-24,1.0096,1.0096,1.0096
2023-12-01,1.0211,1.0211,1.0211
2023-12-08,1.0182,1.0182,1.0182
2023-12-15,1.0113,1.0113,1.0113
2023-12-22,1.0174,1.0174,1.0174
2023-12-29,1.0204,1.0204,1.0204
2024-01-05,1.0341,1.0341,1.0341
2024-01-12,1.0313,1.0313,1.0313
2024-01-19,1.0338,1.0338,1.0338
2024-01-26,1.0413,1.0413,1.0413
2024-02-02,1.0302,1.0302,1.0302
2024-02-08,0.9934,0.9934,0.9934
2024-02-23,1.0142,1.0142,1.0142
2024-03-01,0.995,0.995,0.995
2024-03-08,1.0198,1.0198,1.0198
2024-03-15,1.0448,1.0448,1.0448
2024-03-22,1.0611,1.0611,1.0611
2024-03-29,1.0729,1.0729,1.0729
2024-04-03,1.0802,1.0802,1.0802
2024-04-12,1.0787,1.0787,1.0787
2024-04-19,1.0716,1.0716,1.0716
2024-04-26,1.0683,1.0683,1.0683
2024-04-30,1.0629,1.0629,1.0629
2024-05-10,1.0704,1.0704,1.0704
2024-05-17,1.079,1.079,1.079
2024-05-24,1.0877,1.0877,1.0877
2024-05-31,1.0892,1.0892,1.0892
2024-06-07,1.0548,1.0548,1.0548
2024-06-14,1.0542,1.0542,1.0542
2024-06-21,1.0718,1.0718,1.0718
2024-06-28,1.0842,1.0842,1.0842
2024-07-05,1.0843,1.0843,1.0843
2024-07-12,1.0826,1.0826,1.0826
2024-07-19,1.0713,1.0713,1.0713
2024-07-26,1.0835,1.0835,1.0835
2024-08-02,1.0939,1.0939,1.0939
2024-08-09,1.1017,1.1017,1.1017
2024-08-16,1.1203,1.1203,1.1203
2024-08-23,1.1146,1.1146,1.1146
2024-08-30,1.1036,1.1036,1.1036
2024-09-06,1.1121,1.1121,1.1121
2024-09-13,1.1086,1.1086,1.1086
2024-09-20,1.1076,1.1076,1.1076
2024-09-27,1.1128,1.1128,1.1128
2024-09-30,1.1274,1.1274,1.1274
2024-10-11,1.1774,1.1774,1.1774
2024-10-18,1.168,1.168,1.168
2024-10-25,1.1935,1.1935,1.1935
2024-11-01,1.179,1.179,1.179
2024-11-08,1.2122,1.2122,1.2122
2024-11-15,1.2157,1.2157,1.2157
2024-11-22,1.2364,1.2364,1.2364
2024-11-29,1.2421,1.2421,1.2421
2024-12-06,1.261,1.261,1.261
2024-12-13,1.2589,1.2589,1.2589
2024-12-20,1.2603,1.2603,1.2603
2024-12-27,1.2529,1.2529,1.2529
2025-01-03,1.287,1.287,1.287
2025-01-10,1.2986,1.2986,1.2986
2025-01-17,1.3118,1.3118,1.3118
2025-01-24,1.3041,1.3041,1.3041
2025-01-27,1.3028,1.3028,1.3028
2025-02-07,1.3135,1.3135,1.3135
2025-02-14,1.313,1.313,1.313
2025-02-21,1.3284,1.3284,1.3284
2025-02-28,1.3334,1.3334,1.3334
2025-03-07,1.349,1.349,1.349
2025-03-14,1.3544,1.3544,1.3544
2025-03-21,1.381,1.381,1.381
2025-03-28,1.3599,1.3599,1.3599
2025-04-03,1.3701,1.3701,1.3701
2025-04-11,1.3836,1.3836,1.3836
2025-04-18,1.3928,1.3928,1.3928
2025-04-25,1.3963,1.3963,1.3963
2025-04-30,1.4028,1.4028,1.4028
2025-05-09,1.4238,1.4238,1.4238
2025-05-16,1.4244,1.4244,1.4244
