日期,单位净值,累计净值,复权净值
2024-03-22,1.0,1.0,1.0
2024-03-27,1.0001,1.0001,1.0001
2024-03-29,1.0002,1.0002,1.0002
2024-04-03,1.0002,1.0002,1.0002
2024-04-08,1.0003,1.0003,1.0003
2024-04-10,1.0003,1.0003,1.0003
2024-04-12,1.0003,1.0003,1.0003
2024-04-17,1.0027,1.0027,1.0027
2024-04-19,1.0032,1.0032,1.0032
2024-04-24,1.0045,1.0045,1.0045
2024-04-26,1.0012,1.0012,1.0012
2024-04-30,1.0003,1.0003,1.0003
2024-05-06,1.0022,1.0022,1.0022
2024-05-08,1.0015,1.0015,1.0015
2024-05-10,1.001,1.001,1.001
2024-05-15,1.0017,1.0017,1.0017
2024-05-17,1.005,1.005,1.005
2024-05-22,1.0027,1.0027,1.0027
2024-05-24,1.0015,1.0015,1.0015
2024-05-29,1.0035,1.0035,1.0035
2024-05-31,1.0039,1.0039,1.0039
2024-06-05,1.0022,1.0022,1.0022
2024-06-07,1.0033,1.0033,1.0033
2024-06-12,1.0046,1.0046,1.0046
2024-06-14,1.004,1.004,1.004
2024-06-19,1.0071,1.0071,1.0071
2024-06-21,1.0067,1.0067,1.0067
2024-06-26,1.0099,1.0099,1.0099
2024-06-28,1.0109,1.0109,1.0109
2024-07-03,1.0116,1.0116,1.0116
2024-07-05,1.0111,1.0111,1.0111
2024-07-10,1.009,1.009,1.009
2024-07-12,1.0107,1.0107,1.0107
2024-07-17,1.0097,1.0097,1.0097
2024-07-19,1.0103,1.0103,1.0103
2024-07-24,1.0119,1.0119,1.0119
2024-07-26,1.0129,1.0129,1.0129
2024-07-31,1.0101,1.0101,1.0101
2024-08-02,1.0109,1.0109,1.0109
2024-08-07,1.0113,1.0113,1.0113
2024-08-09,1.0118,1.0118,1.0118
2024-08-14,1.0125,1.0125,1.0125
2024-08-16,1.0135,1.0135,1.0135
2024-08-21,1.0132,1.0132,1.0132
2024-08-23,1.0121,1.0121,1.0121
2024-08-28,1.0121,1.0121,1.0121
2024-08-30,1.0087,1.0087,1.0087
2024-09-04,1.0126,1.0126,1.0126
2024-09-06,1.0129,1.0129,1.0129
2024-09-11,1.0135,1.0135,1.0135
2024-09-13,1.012,1.012,1.012
2024-09-18,1.0127,1.0127,1.0127
2024-09-20,1.0145,1.0145,1.0145
2024-09-25,1.0104,1.0104,1.0104
2024-09-27,0.9852,0.9852,0.9852
2024-09-30,0.9946,0.9946,0.9946
2024-10-08,1.0109,1.0109,1.0109
2024-10-09,1.0031,1.0031,1.0031
2024-10-11,1.0101,1.0101,1.0101
2024-10-16,1.0105,1.0105,1.0105
2024-10-18,0.9987,0.9987,0.9987
2024-10-23,1.0103,1.0103,1.0103
2024-10-25,1.0107,1.0107,1.0107
2024-10-30,1.0104,1.0104,1.0104
2024-10-31,1.0099,1.0099,1.0099
2024-11-01,1.01,1.01,1.01
2024-11-06,1.0122,1.0122,1.0122
2024-11-08,1.0146,1.0146,1.0146
2024-11-13,1.0164,1.0164,1.0164
2024-11-15,1.0116,1.0116,1.0116
2024-11-20,1.0183,1.0183,1.0183
2024-11-22,1.0179,1.0179,1.0179
2024-11-27,1.0207,1.0207,1.0207
2024-11-29,1.0199,1.0199,1.0199
2024-12-04,1.0224,1.0224,1.0224
2024-12-06,1.0233,1.0233,1.0233
2024-12-11,1.0257,1.0257,1.0257
2024-12-13,1.0255,1.0255,1.0255
2024-12-18,1.0261,1.0261,1.0261
2024-12-20,1.0265,1.0265,1.0265
2024-12-25,1.0271,1.0271,1.0271
2024-12-27,1.0268,1.0268,1.0268
2024-12-31,1.0268,1.0268,1.0268
2025-01-02,1.0267,1.0267,1.0267
2025-01-03,1.0249,1.0249,1.0249
2025-01-08,1.0276,1.0276,1.0276
2025-01-10,1.0276,1.0276,1.0276
2025-01-15,1.0287,1.0287,1.0287
2025-01-17,1.0286,1.0286,1.0286
2025-01-22,1.0295,1.0295,1.0295
2025-01-24,1.0296,1.0296,1.0296
