日期,复权净值
2023-10-23,1.0
2023-10-27,1.0002
2023-10-31,1.0004
2023-11-03,1.0006
2023-11-10,1.0065
2023-11-17,1.0071
2023-11-24,1.0096
2023-11-30,1.0155
2023-12-01,1.0211
2023-12-08,1.0182
2023-12-15,1.0113
2023-12-22,1.0174
2023-12-29,1.0204
2024-01-05,1.0341
2024-01-12,1.0313
2024-01-19,1.0338
2024-01-26,1.0413
2024-01-31,1.0356
2024-02-02,1.0302
2024-02-08,0.9934
2024-02-23,1.0142
2024-02-29,0.9981
2024-03-01,0.995
2024-03-08,1.0198
2024-03-15,1.0448
2024-03-22,1.0611
2024-03-29,1.0729
2024-04-03,1.0802
2024-04-12,1.0787
2024-04-19,1.0716
2024-04-26,1.0683
2024-04-30,1.0629
2024-05-10,1.0704
2024-05-17,1.079
2024-05-24,1.0877
2024-05-31,1.0892
2024-06-07,1.0548
2024-06-14,1.0542
2024-06-21,1.0718
2024-06-28,1.0842
2024-07-05,1.0843
2024-07-12,1.0826
2024-07-19,1.0713
2024-07-26,1.0835
2024-07-31,1.0958
2024-08-02,1.0939
2024-08-09,1.1017
2024-08-16,1.1203
2024-08-23,1.1146
2024-08-30,1.1036
2024-09-06,1.1121
2024-09-13,1.1086
2024-09-20,1.1076
2024-09-27,1.1128
2024-09-30,1.1274
2024-10-11,1.1774
2024-10-18,1.168
2024-10-25,1.1935
2024-10-31,1.189
2024-11-01,1.179
2024-11-08,1.2122
2024-11-15,1.2157
2024-11-22,1.2364
2024-11-29,1.2421
2024-12-06,1.2610000000000001
2024-12-13,1.2589000000000001
2024-12-20,1.2603
2024-12-27,1.2529
2024-12-31,1.2636
2025-01-03,1.287
2025-01-10,1.2986
2025-01-17,1.3118
2025-01-24,1.3041
2025-01-27,1.3028
2025-02-07,1.3135
2025-02-14,1.313
2025-02-21,1.3284
2025-02-28,1.3334000000000001
2025-03-07,1.349
2025-03-14,1.3544
2025-03-21,1.381
2025-03-28,1.3599
2025-03-31,1.3673
2025-04-03,1.3700999999999999
2025-04-11,1.3836
2025-04-18,1.3928
2025-04-25,1.3963
2025-04-30,1.4028
2025-05-09,1.4238
2025-05-16,1.4243999999999999
2025-05-23,1.4214
2025-05-30,1.4325
2025-06-06,1.428
2025-06-13,1.4337
2025-06-20,1.4478
2025-06-27,1.4299
2025-06-30,1.431
2025-07-04,1.4373
2025-07-11,1.4351
2025-07-18,1.448
2025-07-25,1.4831
2025-07-31,1.4491
2025-08-01,1.4438
2025-08-08,1.4592
2025-08-15,1.4563000000000001
