日期,复权净值
2024-04-18,1.0
2024-04-19,1.0001
2024-04-26,1.0002
2024-04-30,1.0002
2024-05-10,1.0004
2024-05-17,1.0005
2024-05-24,1.0019
2024-05-31,1.0013
2024-06-07,1.0023
2024-06-14,0.9999
2024-06-21,1.0002
2024-06-28,0.9968
2024-07-05,0.9924
2024-07-12,0.9899
2024-07-19,0.9819
2024-07-26,0.979
2024-07-31,0.9847
2024-08-02,0.9829
2024-08-09,0.9863999999999999
2024-08-16,0.9875
2024-08-23,0.9909
2024-08-30,0.9857
2024-09-06,0.9832
2024-09-13,0.9871
2024-09-20,0.9904
2024-09-27,0.9836
2024-09-30,1.0159
2024-10-11,1.0688
2024-10-18,1.0503
2024-10-25,1.0745
2024-10-31,1.072
2024-11-01,1.0611
2024-11-08,1.0961
2024-11-11,1.1124
2024-11-15,1.1078
2024-11-22,1.1179
2024-11-29,1.1312
2024-12-06,1.1433
2024-12-13,1.1394
2024-12-20,1.1424
2024-12-27,1.1272
2024-12-31,1.1286
2025-01-03,1.1325
2025-01-10,1.135
2025-01-17,1.1348
2025-01-24,1.1319
2025-01-27,1.1329
2025-02-07,1.1353
2025-02-14,1.1408
2025-02-21,1.1399
2025-02-28,1.1357
2025-03-07,1.1358
2025-03-14,1.1384
2025-03-21,1.149
2025-03-28,1.1404
2025-03-31,1.1416
2025-04-03,1.1404
2025-04-11,1.1542
2025-04-18,1.1538
2025-04-25,1.1541000000000001
2025-04-30,1.1519
2025-05-09,1.1549
2025-05-16,1.1607
2025-05-23,1.1696
2025-05-30,1.17
2025-06-06,1.1681
2025-06-13,1.1683
2025-06-20,1.1695
2025-06-27,1.1642000000000001
2025-06-30,1.1732
2025-07-03,1.1776
2025-07-04,1.1757
2025-07-11,1.1713
2025-07-18,1.1776
2025-07-25,1.176
2025-07-31,1.1803
2025-08-01,1.178
2025-08-08,1.1714
2025-08-15,1.1561
2025-08-22,1.1771
2025-08-29,1.1843
2025-09-05,1.1932
2025-09-12,1.2003
2025-09-19,1.1971
2025-09-26,1.1973
2025-09-30,1.2037
2025-10-10,1.1997
2025-10-17,1.192
2025-10-24,1.1878
2025-10-31,1.178
2025-11-07,1.1788
2025-11-14,1.1868
2025-11-21,1.1915
