日期,复权净值
2024-07-08,1.0
2024-07-12,0.9999
2024-07-19,1.0001
2024-07-26,1.0002
2024-07-31,1.0
2024-08-02,0.9999
2024-08-09,1.0009
2024-08-16,1.0013
2024-08-23,1.0007
2024-08-30,1.0027
2024-09-06,1.0036
2024-09-13,1.0041
2024-09-20,1.0032
2024-09-27,1.0049
2024-09-30,1.0078
2024-10-11,1.0205
2024-10-18,1.0223
2024-10-25,1.0227
2024-10-31,1.0167
2024-11-01,1.0184
2024-11-08,1.0207
2024-11-15,1.0129
2024-11-22,1.0157
2024-11-29,1.0184
2024-12-06,1.0205
2024-12-13,1.023
2024-12-20,1.0235
2024-12-27,1.0247
2024-12-31,1.0255
2025-01-03,1.026
2025-01-10,1.0273
2025-01-17,1.0284
2025-01-24,1.0282
2025-01-27,1.0289
2025-02-07,1.03
2025-02-14,1.0302
2025-02-21,1.0313
2025-02-28,1.0301
2025-03-07,1.0324
2025-03-14,1.028
2025-03-21,1.033
2025-03-28,1.0327
2025-03-31,1.0334
2025-04-03,1.0335
2025-04-11,1.0373
2025-04-18,1.0446
2025-04-25,1.0448
2025-04-30,1.0475
2025-05-09,1.0544
2025-05-16,1.0564
2025-05-23,1.0626
2025-05-30,1.0619
2025-06-06,1.0658
2025-06-13,1.0651
2025-06-20,1.0614
2025-06-27,1.0528
2025-06-30,1.0563
2025-07-04,1.0588
2025-07-11,1.0547
2025-07-18,1.0563
2025-07-25,1.056
2025-07-31,1.0597
2025-08-01,1.0599
2025-08-08,1.0636
2025-08-15,1.0539
2025-08-22,1.0514
2025-08-29,1.0568
2025-09-05,1.0576
2025-09-12,1.0635
2025-09-19,1.0624
2025-09-26,1.0637
2025-09-30,1.0608
2025-10-10,1.0637
2025-10-17,1.0676
2025-10-24,1.0683
2025-10-31,1.0638
2025-11-07,1.0687
2025-11-14,1.0741
2025-11-21,1.074
2025-11-28,1.0783
2025-12-05,1.0777
