日期,单位净值,累计净值,复权净值
2024-08-07,1.0,1.0,1.0
2024-08-09,0.9999,0.9999,0.9999
2024-08-16,0.9996,0.9996,0.9996
2024-08-23,0.9993,0.9993,0.9993
2024-08-30,0.9993,0.9993,0.9993
2024-09-06,0.9993,0.9993,0.9993
2024-09-13,0.9996,0.9996,0.9996
2024-09-20,0.9999,0.9999,0.9999
2024-09-27,0.9941,0.9941,0.9941
2024-09-30,0.9949,0.9949,0.9949
2024-10-11,1.0168,1.0168,1.0168
2024-10-18,1.0226,1.0226,1.0226
2024-10-25,1.0259,1.0259,1.0259
2024-10-31,1.0211,1.0211,1.0211
2024-11-01,1.0144,1.0144,1.0144
2024-11-08,1.0337,1.0337,1.0337
2024-11-15,1.0227,1.0227,1.0227
2024-11-22,1.0237,1.0237,1.0237
2024-11-29,1.0165,1.0165,1.0165
2024-12-06,1.0206,1.0206,1.0206
2024-12-13,1.0038,1.0038,1.0038
2024-12-20,1.0106,1.0106,1.0106
2024-12-27,1.0083,1.0083,1.0083
2024-12-31,1.0126,1.0126,1.0126
2025-01-03,1.0363,1.0363,1.0363
2025-01-10,1.0441,1.0441,1.0441
2025-01-17,1.0406,1.0406,1.0406
2025-01-24,1.0285,1.0285,1.0285
2025-01-27,1.0248,1.0248,1.0248
2025-02-07,1.0333,1.0333,1.0333
2025-02-14,1.0324,1.0324,1.0324
2025-02-21,1.0479,1.0479,1.0479
2025-02-28,1.0371,1.0371,1.0371
2025-03-07,1.0434,1.0434,1.0434
2025-03-14,1.0473,1.0473,1.0473
2025-03-21,1.0472,1.0472,1.0472
2025-03-28,1.0448,1.0448,1.0448
2025-03-31,1.0464,1.0464,1.0464
2025-04-03,1.0531,1.0531,1.0531
2025-04-11,1.0449,1.0449,1.0449
2025-04-18,1.0465,1.0465,1.0465
2025-04-25,1.0508,1.0508,1.0508
2025-04-30,1.0533,1.0533,1.0533
2025-05-09,1.053,1.053,1.053
2025-05-16,1.0485,1.0485,1.0485
2025-05-23,1.0419,1.0419,1.0419
2025-05-30,1.0406,1.0406,1.0406
2025-06-06,1.0376,1.0376,1.0376
2025-06-13,1.04,1.04,1.04
2025-06-20,1.0424,1.0424,1.0424
2025-06-27,1.0396,1.0396,1.0396
2025-06-30,1.0388,1.0388,1.0388
2025-07-04,1.0417,1.0417,1.0417
2025-07-11,1.05,1.05,1.05
2025-07-18,1.0607,1.0607,1.0607
2025-07-25,1.0545,1.0545,1.0545
2025-07-31,1.0458,1.0458,1.0458
2025-08-01,1.0428,1.0428,1.0428
2025-08-08,1.0501,1.0501,1.0501
2025-08-15,1.0647,1.0647,1.0647
2025-08-22,1.0763,1.0763,1.0763
2025-08-29,1.0761,1.0761,1.0761
2025-09-05,1.079,1.079,1.079
2025-09-12,1.0912,1.0912,1.0912
2025-09-19,1.0839,1.0839,1.0839
2025-09-26,1.0868,1.0868,1.0868
2025-09-30,1.0962,1.0962,1.0962
2025-10-10,1.1015,1.1015,1.1015
2025-10-17,1.1226,1.1226,1.1226
2025-10-24,1.1055,1.1055,1.1055
