日期,单位净值,累计净值
2018/6/29,0.999,0.999
2018/7/6,1.005,1.005
2018/7/13,1.017,1.017
2018/7/20,1.034,1.034
2018/7/27,1.046,1.046
2018/8/3,1.093,1.093
2018/8/10,1.125,1.125
2018/8/17,1.158,1.158
2018/8/24,1.177,1.177
2018/8/31,1.204,1.204
2018/9/7,1.202,1.202
2018/9/14,1.177,1.177
2018/9/21,1.169,1.169
2018/9/28,1.165,1.165
2018/10/12,1.199,1.199
2018/10/19,1.203,1.203
2018/10/26,1.203,1.203
2018/11/2,1.211,1.211
2018/11/9,1.212,1.212
2018/11/16,1.217,1.217
2018/11/23,1.24,1.24
2018/11/30,1.275,1.275
2018/12/7,1.268,1.268
2018/12/14,1.274,1.274
2018/12/21,1.259,1.259
2018/12/28,1.278,1.278
2019/1/4,1.286,1.286
2019/1/11,1.282,1.282
2019/1/18,1.274,1.274
2019/1/25,1.273,1.273
2019/2/1,1.276,1.276
2019/2/15,1.293,1.293
2019/2/22,1.326,1.326
2019/3/1,1.363,1.363
2019/3/8,1.359,1.359
2019/3/15,1.366,1.366
2019/3/22,1.379,1.379
2019/3/29,1,1.376
2019/4/4,1,1.376
2019/4/12,1.008,1.384
2019/4/19,1.009,1.385
2019/4/26,1.021,1.397
2019/4/30,1.031,1.407
2019/5/10,1.029,1.405
2019/5/17,1.045,1.421
2019/5/24,1.04,1.416
2019/5/31,1.048,1.424
2019/6/6,1.056,1.432
2019/6/14,1.063,1.439
2019/6/21,1.07,1.446
2019/6/28,1.092,1.468
2019/7/5,1.082,1.458
2019/7/12,1.106,1.482
2019/7/19,1.103,1.479
2019/7/26,1.101,1.477
2019/8/2,1.105,1.481
2019/8/9,1.087,1.463
2019/8/16,1.1,1.476
2019/8/23,1.104,1.48
2019/8/30,1.095,1.471
2019/9/6,1.096,1.472
2019/9/12,1.097,1.473
2019/9/20,1.089,1.465
2019/9/27,1.091,1.467
2019/9/30,1.09,1.466
2019/10/11,1.087,1.463
2019/10/18,1.089,1.465
2019/10/25,1.096,1.472
2019/11/1,1.095,1.471
2019/11/8,1.109,1.485
2019/11/15,1.155,1.531
2019/11/22,1.157,1.533
2019/11/29,1.159,1.535
2019/12/6,1.148,1.524
2019/12/13,1.149,1.525
2019/12/20,1.148,1.524
2019/12/27,1.142,1.518
2020/1/3,1.145,1.521
2020/1/10,1.141,1.517
2020/1/17,1.114,1.49
2020/1/23,1.111,1.487
2020/2/7,1.108,1.484
2020/2/14,1.107,1.483
2020/2/21,1.105,1.481
2020/2/28,1.124,1.5
2020/3/6,1.129,1.505
2020/3/13,1.1695,1.5458
2020/3/20,1.1741,1.5504
2020/3/27,1.215,1.5913
2020/4/3,0.9996,1.5943
2020/4/10,1.0105,1.6052
2020/4/17,1.0412,1.6359
2020/4/24,1.0468,1.6415
2020/4/30,1.0501,1.6448
2020/5/8,1.0632,1.6579
2020/5/15,1.0676,1.6623
2020/5/22,1.0937,1.6884
2020/5/29,1.1192,1.7139
2020/6/5,1.1622,1.7569
2020/6/12,1.1456,1.7403
2020/6/19,1.1668,1.7615
2020/6/24,1.1623,1.757
2020/7/3,1.1919,1.7866
2020/7/10,1.2314,1.8261
2020/7/17,1.2223,1.817
2020/7/24,1.2374,1.8321
2020/7/31,1.257,1.8517
2020/8/7,1.2702,1.8649
2020/8/14,1.2739,1.8686
2020/8/21,1.298,1.8927
2020/8/28,1.2883,1.883
2020/9/4,1.2806,1.8753
2020/9/11,1.288,1.8827
2020/9/18,1.3031,1.8978
2020/9/25,1.3055,1.9002
2020/9/30,1.3213,1.916
2020/10/9,1.318,1.9127
2020/10/16,1.3127,1.9074
2020/10/23,1.3084,1.9031
2020/10/30,1.3361,1.9308
2020/11/6,1.3709,1.9656
2020/11/13,1.3717,1.9664
2020/11/20,1.3751,1.9698
2020/11/27,1.3889,1.9836
2020/12/4,1.3877,1.9824
2020/12/11,1.4104,2.0051
2020/12/18,1.3982,1.9929
2020/12/25,1.4136,2.0083
2020/12/31,1.4291,2.0238
2021/1/8,1.4446,2.0393
2021/1/15,1.4496,2.0443
2021/1/22,1.4666,2.0613
2021/1/29,1.4481,2.0428
2021/2/5,1.4648,2.0595
2021/2/10,1.4877,2.0824
2021/2/19,1.4738,2.0685
2021/2/26,1.4274,2.0221
2021/3/5,1.4459,2.0406
2021/3/12,1.4424,2.0371
2021/3/19,1.4447,2.0394
2021/3/26,1.4503,2.045
2021/4/2,1.0081,2.0443
2021/4/9,1.007,2.0432
2021/4/16,1.0178,2.054
2021/4/23,1.0339,2.0701
2021/4/30,1.0333,2.0695
2021/5/7,1.0374,2.0736
2021/5/14,1.0428,2.079
2021/5/21,1.0329,2.0691
2021/5/28,1.039,2.0752
2021/6/4,1.042,2.0782
2021/6/11,1.0534,2.0896
2021/6/18,1.0492,2.0854
2021/6/25,1.0611,2.0973
2021/7/2,1.0531,2.0893
2021/7/9,1.0595,2.0957
2021/7/16,1.0872,2.1234
2021/7/23,1.0908,2.127
2021/7/30,1.0873,2.1235
2021/8/6,1.0852,2.1214
