日期,单位净值,累计净值,复权净值
2023-10-27,1.097,1.369,1.395384
2023-11-03,1.094,1.366,1.391568
2023-11-10,1.098,1.37,1.396656
2023-11-17,1.093,1.365,1.390296
2023-11-24,1.101,1.373,1.400472
2023-12-01,1.106,1.378,1.406832
2023-12-08,1.117,1.389,1.420824
2023-12-15,1.116,1.388,1.419552
2023-12-22,1.121,1.393,1.425912
2023-12-29,1.113,1.385,1.415736
2024-01-05,1.118,1.39,1.422096
2024-01-12,1.118,1.39,1.422096
2024-01-19,1.112,1.384,1.414464
2024-01-26,1.113,1.385,1.415736
2024-02-02,1.117,1.389,1.420824
2024-02-08,1.115,1.387,1.41828
2024-02-23,1.108,1.38,1.409376
2024-03-01,1.101,1.373,1.400472
2024-03-08,1.128,1.4,1.434816
2024-03-15,1.153,1.425,1.466616
2024-03-22,1.147,1.419,1.458984
2024-03-29,1.147,1.419,1.458984
2024-04-03,1.15,1.422,1.4628
2024-04-12,1.16,1.432,1.47552
2024-04-19,1.16,1.432,1.47552
2024-04-26,1.16,1.432,1.47552
2024-04-30,1.158,1.43,1.472976
2024-05-10,1.163,1.435,1.479336
2024-05-17,1.158,1.43,1.472976
2024-05-24,1.172,1.444,1.490784
2024-05-31,1.17,1.442,1.48824
2024-06-07,1.168,1.44,1.485696
2024-06-14,1.171,1.443,1.489512
2024-06-21,1.179,1.451,1.499688
2024-06-28,1.187,1.459,1.509864
2024-07-05,1.182,1.454,1.503504
2024-07-12,1.173,1.445,1.492056
2024-07-19,1.175,1.447,1.4946
2024-07-26,1.202,1.474,1.528944
2024-08-02,1.202,1.474,1.528944
2024-08-09,1.205,1.477,1.53276
2024-08-16,1.219,1.491,1.550568
2024-08-23,1.213,1.485,1.542936
2024-08-30,1.209,1.481,1.537848
2024-09-06,1.234,1.506,1.569648
2024-09-13,1.238,1.51,1.574736
2024-09-20,1.243,1.515,1.581096
2024-09-27,1.253,1.525,1.593816
2024-09-30,1.257,1.529,1.598904
2024-10-11,1.257,1.529,1.598904
2024-10-18,1.255,1.527,1.59636
2024-10-25,1.254,1.526,1.595088
2024-11-01,1.248,1.52,1.587456
2024-11-08,1.24,1.512,1.57728
2024-11-15,1.244,1.516,1.582368
2024-11-22,1.237,1.509,1.573464
2024-11-29,1.232,1.504,1.567104
2024-12-06,1.227,1.499,1.560744
2024-12-13,1.216,1.488,1.546752
2024-12-20,1.236,1.508,1.572192
2024-12-27,1.221,1.493,1.553112
2025-01-03,1.226,1.498,1.559472
2025-01-10,1.224,1.496,1.556928
2025-01-17,1.249,1.521,1.588728
2025-01-24,1.215,1.487,1.54548
2025-01-27,1.212,1.484,1.541664
2025-02-07,1.199,1.471,1.525128
2025-02-14,1.195,1.467,1.52004
2025-02-21,1.202,1.474,1.528944
2025-02-28,1.184,1.456,1.506048
2025-03-07,1.184,1.456,1.506048
2025-03-14,1.19,1.462,1.51368
