日期,单位净值,累计净值,复权净值
2018-06-05,1.0,1.0,1.0
2018-06-08,1.0,1.0,1.0
2018-06-15,1.0,1.0,1.0
2018-06-22,0.999,0.999,0.999
2018-06-29,0.999,0.999,0.999
2018-07-06,1.003,1.003,1.003
2018-07-13,1.014,1.014,1.014
2018-07-20,0.993,0.993,0.993
2018-07-27,0.992,0.992,0.992
2018-07-31,0.99,0.99,0.99
2018-08-03,1.0,1.0,1.0
2018-08-10,1.01,1.01,1.01
2018-08-17,1.052,1.052,1.052
2018-08-24,1.035,1.035,1.035
2018-08-31,1.038,1.038,1.038
2018-09-07,1.042,1.042,1.042
2018-09-14,1.01,1.01,1.01
2018-09-21,1.032,1.032,1.032
2018-09-28,1.035,1.035,1.035
2018-10-12,1.07,1.07,1.07
2018-10-19,1.073,1.073,1.073
2018-10-26,1.114,1.114,1.114
2018-10-31,1.127,1.127,1.127
2018-11-02,1.149,1.149,1.149
2018-11-09,1.122,1.122,1.122
2018-11-16,1.112,1.112,1.112
2018-11-23,1.072,1.072,1.072
2018-11-30,1.083,1.083,1.083
2018-12-07,1.094,1.094,1.094
2018-12-14,1.09,1.09,1.09
2018-12-21,1.091,1.091,1.091
2018-12-28,1.092,1.092,1.092
2019-01-04,1.079,1.079,1.079
2019-01-11,1.088,1.088,1.088
2019-01-18,1.101,1.101,1.101
2019-01-25,1.116,1.116,1.116
2019-01-31,1.118,1.118,1.118
2019-02-01,1.155,1.155,1.155
2019-02-15,1.213,1.213,1.213
2019-02-22,1.203,1.203,1.203
2019-02-28,1.219,1.219,1.219
2019-03-01,1.225,1.225,1.225
2019-03-08,1.244,1.244,1.244
2019-03-15,1.272,1.272,1.272
2019-03-22,1.292,1.292,1.292
2019-03-29,1.322,1.322,1.322
2019-04-04,1.363,1.363,1.363
2019-04-12,1.356,1.356,1.356
2019-04-19,1.354,1.354,1.354
2019-04-26,1.301,1.301,1.301
2019-04-30,1.305,1.305,1.305
2019-05-10,1.316,1.316,1.316
2019-05-17,1.311,1.311,1.311
2019-05-24,1.354,1.354,1.354
2019-05-31,1.33,1.33,1.33
2019-06-06,1.302,1.302,1.302
2019-06-14,1.335,1.335,1.335
2019-06-21,1.391,1.391,1.391
2019-06-28,1.416,1.416,1.416
2019-07-05,1.422,1.422,1.422
2019-07-12,1.387,1.387,1.387
2019-07-19,1.372,1.372,1.372
2019-07-26,1.347,1.347,1.347
2019-07-31,1.325,1.325,1.325
2019-08-02,1.328,1.328,1.328
2019-08-09,1.395,1.395,1.395
2019-08-16,1.362,1.362,1.362
2019-08-23,1.361,1.361,1.361
2019-08-30,1.323,1.323,1.323
2019-09-06,1.268,1.268,1.268
2019-09-12,1.286,1.286,1.286
2019-09-20,1.262,1.262,1.262
2019-09-27,1.23,1.23,1.23
2019-09-30,1.22,1.22,1.22
2019-10-11,1.192,1.192,1.192
2019-10-18,1.185,1.185,1.185
2019-10-25,1.191,1.191,1.191
2019-10-31,1.168,1.168,1.168
2019-11-01,1.199,1.199,1.199
2019-11-08,1.192,1.192,1.192
2019-11-15,1.209,1.209,1.209
2019-11-22,1.204,1.204,1.204
2019-11-29,1.175,1.175,1.175
2019-12-06,1.169,1.169,1.169
2019-12-13,1.17,1.17,1.17
2019-12-20,1.196,1.196,1.196
2019-12-27,1.192,1.192,1.192
2019-12-31,1.202,1.202,1.202
2020-01-03,1.236,1.236,1.236
2020-01-10,1.226,1.226,1.226
2020-01-17,1.213,1.213,1.213
2020-01-23,1.214,1.214,1.214
2020-02-07,1.223,1.223,1.223
2020-02-14,1.216,1.216,1.216
2020-02-21,1.288,1.288,1.288
2020-02-28,1.298,1.298,1.298
2020-03-06,1.334,1.334,1.334
2020-03-13,1.471,1.471,1.471
2020-03-20,1.611,1.611,1.611
2020-03-27,1.572,1.572,1.572
2020-03-31,1.556,1.556,1.556
2020-04-03,1.53,1.53,1.53
2020-04-10,1.519,1.519,1.519
2020-04-17,1.548,1.548,1.548
2020-04-24,1.586,1.586,1.586
2020-04-30,1.581,1.581,1.581
2020-05-08,1.596,1.596,1.596
2020-05-15,1.594,1.594,1.594
2020-05-22,1.65,1.65,1.65
2020-05-29,1.627,1.627,1.627
2020-06-03,1.322,1.695,1.695
2020-06-05,1.297,1.67,1.66294629
2020-06-12,1.28,1.653,1.64114977
