日期,单位净值,累计净值,复权净值
2018-07-30,1.0,1.0,1.0
2018-07-31,1.0,1.0,1.0
2018-08-01,1.0,1.0,1.0
2018-08-02,1.0,1.0,1.0
2018-08-03,1.0,1.0,1.0
2018-08-06,1.0001,1.0001,1.0001
2018-08-07,1.0001,1.0001,1.0001
2018-08-08,1.0003,1.0003,1.0003
2018-08-09,1.0005,1.0005,1.0005
2018-08-10,1.002,1.002,1.002
2018-08-13,1.0004,1.0004,1.0004
2018-08-14,1.0055,1.0055,1.0055
2018-08-15,1.0025,1.0025,1.0025
2018-08-16,1.005,1.005,1.005
2018-08-17,1.0088,1.0088,1.0088
2018-08-20,1.0142,1.0142,1.0142
2018-08-21,1.0068,1.0068,1.0068
2018-08-22,1.0065,1.0065,1.0065
2018-08-23,1.0042,1.0042,1.0042
2018-08-24,0.9987,0.9987,0.9987
2018-08-27,0.9991,0.9991,0.9991
2018-08-28,1.0004,1.0004,1.0004
2018-08-29,1.0032,1.0032,1.0032
2018-08-30,0.9984,0.9984,0.9984
2018-08-31,0.9976,0.9976,0.9976
2018-09-03,0.9959,0.9959,0.9959
2018-09-04,0.9958,0.9958,0.9958
2018-09-05,0.9944,0.9944,0.9944
2018-09-06,0.9952,0.9952,0.9952
2018-09-07,0.9957,0.9957,0.9957
2018-09-10,0.9941,0.9941,0.9941
2018-09-11,0.9922,0.9922,0.9922
2018-09-12,0.9921,0.9921,0.9921
2018-09-13,0.9922,0.9922,0.9922
2018-09-14,0.9904,0.9904,0.9904
2018-09-17,0.9893,0.9893,0.9893
2018-09-18,0.9893,0.9893,0.9893
2018-09-19,0.9918,0.9918,0.9918
2018-09-20,0.9904,0.9904,0.9904
2018-09-21,0.9886,0.9886,0.9886
2018-09-25,0.9903,0.9903,0.9903
2018-09-26,0.9898,0.9898,0.9898
2018-09-27,0.9908,0.9908,0.9908
2018-09-28,0.9918,0.9918,0.9918
2018-10-08,0.9952,0.9952,0.9952
2018-10-09,0.9981,0.9981,0.9981
2018-10-10,1.0012,1.0012,1.0012
2018-10-11,1.0009,1.0009,1.0009
2018-10-12,1.0007,1.0007,1.0007
2018-10-15,1.0012,1.0012,1.0012
2018-10-16,0.9982,0.9982,0.9982
2018-10-17,0.9976,0.9976,0.9976
2018-10-18,0.9986,0.9986,0.9986
2018-10-19,0.9954,0.9954,0.9954
2018-10-22,0.9939,0.9939,0.9939
2018-10-23,0.993,0.993,0.993
2018-10-24,0.9952,0.9952,0.9952
2018-10-25,0.9983,0.9983,0.9983
2018-10-26,1.0018,1.0018,1.0018
2018-10-29,0.9999,0.9999,0.9999
2018-10-30,0.9982,0.9982,0.9982
