日期,复权净值
2019-01-31,1.0
2019-02-01,0.9999
2019-02-11,0.9995
2019-02-12,0.9995
2019-02-13,0.9994
2019-02-14,0.9994
2019-02-15,0.9993
2019-02-18,0.9992
2019-02-19,0.9992
2019-02-20,0.9991
2019-02-21,0.9991
2019-02-22,0.999
2019-02-25,0.9989
2019-02-26,0.9989
2019-02-27,0.9988
2019-02-28,0.9988
2019-03-01,0.9987
2019-03-04,0.9986
2019-03-05,0.9985
2019-03-06,0.9954
2019-03-07,0.997
2019-03-08,0.9827
2019-03-11,0.9859
2019-03-12,0.986
2019-03-13,0.9836
2019-03-14,0.9828
2019-03-15,0.9966
2019-03-18,1.0126
2019-03-19,1.0091
2019-03-20,1.007
2019-03-21,1.0057
2019-03-22,1.0066
2019-03-25,1.0001
2019-03-26,0.996
2019-03-27,1.0032
2019-03-28,1.0095
2019-03-29,1.0342
2019-04-01,1.0459
2019-04-02,1.0427
2019-04-03,1.0515
2019-04-04,1.0584
2019-04-08,1.0546
2019-04-09,1.0633
2019-04-10,1.0607
2019-04-11,1.0506
2019-04-12,1.0506
2019-04-15,1.0446
2019-04-16,1.0573
2019-04-17,1.0565
2019-04-18,1.0567
2019-04-19,1.0636
2019-04-22,1.0512
2019-04-23,1.0529
2019-04-24,1.0551
2019-04-25,1.047
2019-04-26,1.0431
2019-04-29,1.0504
2019-04-30,1.0528
2019-05-06,1.0177
2019-05-07,1.0221
2019-05-08,1.0106
2019-05-09,1.0006
2019-05-10,1.0085
2019-05-13,1.0034
2019-05-14,1.0086
2019-05-15,1.014
2019-05-16,1.0128
2019-05-17,1.0138
2019-05-20,1.014
2019-05-21,1.0235
2019-05-22,1.0451
2019-05-23,1.0504
2019-05-24,1.0487
2019-05-27,1.0551
2019-05-28,1.0495
2019-05-29,1.0323
2019-05-30,1.028
2019-05-31,1.0234
2019-06-03,1.0328
2019-06-04,1.0316
2019-06-05,1.0282
2019-06-06,1.0283
2019-06-10,1.0235
2019-06-11,1.037
2019-06-12,1.0421
2019-06-13,1.0377
2019-06-14,1.0401
2019-06-17,1.0352999999999999
2019-06-18,1.0367
2019-06-19,1.0485
2019-06-20,1.0658
2019-06-21,1.0695999999999999
2019-06-24,1.0738
2019-06-25,1.0706
2019-06-26,1.0639
2019-06-27,1.079
2019-06-28,1.0868
2019-07-01,1.1093
2019-07-02,1.1209
2019-07-03,1.1218
2019-07-04,1.1038000000000001
2019-07-05,1.09
2019-07-08,1.0841
2019-07-09,1.1123
2019-07-10,1.1202
2019-07-11,1.1096
2019-07-12,1.1161
2019-07-15,1.1137
2019-07-16,1.1284
2019-07-17,1.1227
2019-07-18,1.1232
2019-07-19,1.1263
2019-07-22,1.1164
2019-07-23,1.1095
2019-07-24,1.1042
2019-07-25,1.099
2019-07-26,1.1012
2019-07-29,1.0999
2019-07-30,1.1015
2019-07-31,1.0988
2019-08-01,1.0943
2019-08-02,1.1028
2019-08-05,1.1012
2019-08-06,1.1021
2019-08-07,1.0997
2019-08-08,1.102
2019-08-09,1.1078999999999999
2019-08-12,1.1089
2019-08-13,1.097
2019-08-14,1.0927
2019-08-15,1.0975
2019-08-16,1.1021
2019-08-19,1.1071
2019-08-20,1.1044
2019-08-21,1.1186
2019-08-22,1.1148
2019-08-23,1.1151
2019-08-26,1.1134
2019-08-27,1.1272
2019-08-28,1.1283
2019-08-29,1.1211
2019-08-30,1.1205
2019-09-02,1.1251
2019-09-03,1.1320000000000001
2019-09-04,1.1277
2019-09-05,1.1231
2019-09-06,1.1265
2019-09-09,1.1238
2019-09-10,1.1248
2019-09-11,1.1214
2019-09-12,1.1306
2019-09-16,1.1178
2019-09-17,1.1032
2019-09-18,1.1065
2019-09-19,1.109
2019-09-20,1.1162
2019-09-23,1.1016
2019-09-24,1.1002
2019-09-25,1.1055
2019-09-26,1.1038000000000001
2019-09-27,1.1222
2019-09-30,1.1186
2019-10-08,1.1183
2019-10-09,1.1129
2019-10-10,1.1116
2019-10-11,1.1159
2019-10-14,1.1146
2019-10-15,1.127
2019-10-16,1.1266
2019-10-17,1.1346
2019-10-18,1.1272
2019-10-21,1.1296
2019-10-22,1.1318
2019-10-23,1.1218
2019-10-24,1.1228
2019-10-25,1.1207
2019-10-28,1.124
2019-10-29,1.1212
2019-10-30,1.1145
2019-10-31,1.1118999999999999
2019-11-01,1.1234
2019-11-04,1.1212
2019-11-05,1.1178
2019-11-06,1.1228
2019-11-07,1.1301
2019-11-08,1.1312
2019-11-11,1.1364
2019-11-12,1.1405
2019-11-13,1.1417
2019-11-14,1.1396
2019-11-15,1.1474
2019-11-18,1.1502
2019-11-19,1.1539
2019-11-20,1.1577
2019-11-21,1.1499
2019-11-22,1.1376
2019-11-25,1.141
2019-11-26,1.1373
2019-11-27,1.1341
2019-11-28,1.1334
2019-11-29,1.1306
