日期,单位净值,累计净值,复权净值
2019-01-31,1.0002,1.0002,1.0002
2019-02-01,1.0001,1.0001,1.0001
2019-02-11,0.9997,0.9997,0.9997
2019-02-12,0.9997,0.9997,0.9997
2019-02-13,0.9996,0.9996,0.9996
2019-02-14,0.9996,0.9996,0.9996
2019-02-15,0.9995,0.9995,0.9995
2019-02-18,0.9994,0.9994,0.9994
2019-02-19,0.9994,0.9994,0.9994
2019-02-20,0.9993,0.9993,0.9993
2019-02-21,0.9993,0.9993,0.9993
2019-02-22,0.9992,0.9992,0.9992
2019-02-25,0.9991,0.9991,0.9991
2019-02-26,0.9991,0.9991,0.9991
2019-02-27,0.999,0.999,0.999
2019-02-28,0.999,0.999,0.999
2019-03-01,0.9989,0.9989,0.9989
2019-03-04,0.9988,0.9988,0.9988
2019-03-05,0.9987,0.9987,0.9987
2019-03-06,0.9956,0.9956,0.9956
2019-03-07,0.9972,0.9972,0.9972
2019-03-08,0.9829,0.9829,0.9829
2019-03-11,0.9861,0.9861,0.9861
2019-03-12,0.9862,0.9862,0.9862
2019-03-13,0.9838,0.9838,0.9838
2019-03-14,0.983,0.983,0.983
2019-03-15,0.9968,0.9968,0.9968
2019-03-18,1.0128,1.0128,1.0128
2019-03-19,1.0093,1.0093,1.0093
2019-03-20,1.0072,1.0072,1.0072
2019-03-21,1.0059,1.0059,1.0059
2019-03-22,1.0068,1.0068,1.0068
2019-03-25,1.0003,1.0003,1.0003
2019-03-26,0.9962,0.9962,0.9962
2019-03-27,1.0034,1.0034,1.0034
2019-03-28,1.0097,1.0097,1.0097
2019-03-29,1.0344,1.0344,1.0344
2019-04-01,1.0461,1.0461,1.0461
2019-04-02,1.0429,1.0429,1.0429
2019-04-03,1.0517,1.0517,1.0517
2019-04-04,1.0586,1.0586,1.0586
2019-04-08,1.0548,1.0548,1.0548
2019-04-09,1.0635,1.0635,1.0635
2019-04-10,1.0609,1.0609,1.0609
2019-04-11,1.0508,1.0508,1.0508
2019-04-12,1.0508,1.0508,1.0508
2019-04-15,1.0448,1.0448,1.0448
2019-04-16,1.0575,1.0575,1.0575
2019-04-17,1.0567,1.0567,1.0567
2019-04-18,1.0569,1.0569,1.0569
2019-04-19,1.0638,1.0638,1.0638
2019-04-22,1.0514,1.0514,1.0514
2019-04-23,1.0531,1.0531,1.0531
2019-04-24,1.0553,1.0553,1.0553
2019-04-25,1.0472,1.0472,1.0472
2019-04-26,1.0433,1.0433,1.0433
2019-04-29,1.0506,1.0506,1.0506
2019-04-30,1.053,1.053,1.053
2019-05-06,1.0179,1.0179,1.0179
2019-05-07,1.0223,1.0223,1.0223
2019-05-08,1.0108,1.0108,1.0108
2019-05-09,1.0008,1.0008,1.0008
2019-05-10,1.0087,1.0087,1.0087
2019-05-13,1.0036,1.0036,1.0036
2019-05-14,1.0088,1.0088,1.0088
