日期,单位净值,累计净值,复权净值
2019-02-13,1.0,1.0,1.0
2019-02-14,1.0,1.0,1.0
2019-02-15,1.0,1.0,1.0
2019-02-18,1.0,1.0,1.0
2019-02-19,1.0,1.0,1.0
2019-02-20,1.0,1.0,1.0
2019-02-21,1.0,1.0,1.0
2019-02-22,1.0,1.0,1.0
2019-02-25,1.0,1.0,1.0
2019-02-26,1.0,1.0,1.0
2019-02-27,0.998,0.998,0.998
2019-02-28,0.997,0.997,0.997
2019-03-01,0.995,0.995,0.995
2019-03-04,1.005,1.005,1.005
2019-03-05,0.993,0.993,0.993
2019-03-06,0.99,0.99,0.99
2019-03-07,0.988,0.988,0.988
2019-03-08,0.981,0.981,0.981
2019-03-11,0.975,0.975,0.975
2019-03-12,0.982,0.982,0.982
2019-03-13,0.983,0.983,0.983
2019-03-14,0.984,0.984,0.984
2019-03-15,0.978,0.978,0.978
2019-03-18,0.977,0.977,0.977
2019-03-19,0.98,0.98,0.98
2019-03-20,0.97,0.97,0.97
2019-03-21,0.968,0.968,0.968
2019-03-22,0.969,0.969,0.969
2019-03-25,0.975,0.975,0.975
2019-03-26,0.977,0.977,0.977
2019-03-27,0.981,0.981,0.981
2019-03-28,0.988,0.988,0.988
2019-03-29,1.003,1.003,1.003
2019-04-01,1.005,1.005,1.005
2019-04-02,1.0,1.0,1.0
2019-04-03,1.0,1.0,1.0
2019-04-04,1.004,1.004,1.004
2019-04-05,1.004,1.004,1.004
2019-04-08,0.999,0.999,0.999
2019-04-09,0.998,0.998,0.998
2019-04-10,0.995,0.995,0.995
2019-04-11,1.0,1.0,1.0
2019-04-12,1.006,1.006,1.006
2019-04-15,1.01,1.01,1.01
2019-04-16,1.028,1.028,1.028
2019-04-17,1.029,1.029,1.029
2019-04-18,1.021,1.021,1.021
2019-04-19,1.017,1.017,1.017
2019-04-22,1.025,1.025,1.025
2019-04-23,1.025,1.025,1.025
2019-04-24,1.029,1.029,1.029
2019-04-25,1.032,1.032,1.032
2019-04-26,1.035,1.035,1.035
2019-04-29,1.033,1.033,1.033
2019-04-30,1.035,1.035,1.035
2019-05-03,1.035,1.035,1.035
2019-05-06,1.053,1.053,1.053
2019-05-07,1.041,1.041,1.041
2019-05-08,1.034,1.034,1.034
2019-05-09,1.034,1.034,1.034
2019-05-10,1.036,1.036,1.036
2019-05-13,1.052,1.052,1.052
2019-05-14,1.06,1.06,1.06
2019-05-15,1.067,1.067,1.067
2019-05-16,1.074,1.074,1.074
2019-05-17,1.084,1.084,1.084
2019-05-20,1.095,1.095,1.095
2019-05-21,1.104,1.104,1.104
2019-05-22,1.119,1.119,1.119
2019-05-23,1.123,1.123,1.123
2019-05-24,1.118,1.118,1.118
2019-05-27,1.123,1.123,1.123
2019-05-28,1.119,1.119,1.119
2019-05-29,1.114,1.114,1.114
2019-05-30,1.111,1.111,1.111
2019-05-31,1.115,1.115,1.115
2019-06-03,1.117,1.117,1.117
2019-06-04,1.121,1.121,1.121
2019-06-05,1.118,1.118,1.118
2019-06-06,1.114,1.114,1.114
2019-06-10,1.104,1.104,1.104
2019-06-11,1.109,1.109,1.109
2019-06-12,1.116,1.116,1.116
2019-06-13,1.115,1.115,1.115
2019-06-14,1.116,1.116,1.116
2019-06-17,1.118,1.118,1.118
2019-06-18,1.118,1.118,1.118
2019-06-19,1.117,1.117,1.117
2019-06-20,1.107,1.107,1.107
2019-06-21,1.107,1.107,1.107
2019-06-28,1.119,1.119,1.119
2019-07-05,1.132,1.132,1.132
2019-07-12,1.141,1.141,1.141
2019-07-19,1.126,1.126,1.126
2019-07-26,1.122,1.122,1.122
2019-08-02,1.122,1.122,1.122
2019-08-09,1.123,1.123,1.123
2019-08-16,1.124,1.124,1.124
2019-08-23,1.124,1.124,1.124
2019-08-27,1.128,1.128,1.128
2019-08-30,1.133,1.133,1.133
2019-09-06,1.097,1.097,1.097
2019-09-12,1.104,1.104,1.104
2019-09-13,1.104,1.104,1.104
2019-09-20,1.095,1.095,1.095
2019-09-27,1.11,1.11,1.11
2019-09-30,1.115,1.115,1.115
2019-10-11,1.096,1.096,1.096
2019-10-18,1.096,1.096,1.096
2019-10-25,1.103,1.103,1.103
2019-10-31,1.103,1.103,1.103
2019-11-01,1.108,1.108,1.108
2019-11-08,1.122,1.122,1.122
2019-11-15,1.15,1.15,1.15
2019-11-22,1.141,1.141,1.141
2019-11-29,1.15,1.15,1.15
2019-12-06,1.123,1.123,1.123
2019-12-13,1.145,1.145,1.145
2019-12-20,1.161,1.161,1.161
2019-12-27,1.146,1.146,1.146
2019-12-31,1.145,1.145,1.145
2020-01-03,1.155,1.155,1.155
2020-01-10,1.165,1.165,1.165
2020-01-17,1.158,1.158,1.158
2020-01-23,1.163,1.163,1.163
2020-02-07,1.154,1.154,1.154
2020-02-14,1.151,1.151,1.151
2020-02-21,1.138,1.138,1.138
