日期,复权净值
2020-05-25,1.0
2020-05-29,1.0
2020-06-05,0.995
2020-06-12,1.042
2020-06-19,1.066
2020-06-24,1.068
2020-06-30,1.073
2020-07-03,1.065
2020-07-10,1.204
2020-07-17,1.2570000000000001
2020-07-24,1.313
2020-07-31,1.331
2020-08-07,1.419
2020-08-14,1.374
2020-08-21,1.391
2020-08-28,1.372
2020-08-31,1.381
2020-09-04,1.392
2020-09-11,1.398
2020-09-18,1.421
2020-09-25,1.403
2020-09-29,1.418
2020-09-30,1.4218
2020-10-09,1.4091
2020-10-16,1.3952
2020-10-23,1.3952
2020-10-30,1.4421
2020-11-06,1.4662
2020-11-13,1.4713
2020-11-20,1.5093
2020-11-27,1.4979
2020-11-30,1.5106000000000002
2020-12-04,1.5321
2020-12-11,1.5892
2020-12-18,1.5689
2020-12-25,1.5588000000000002
2020-12-31,1.5499
2021-01-08,1.5436
2021-01-15,1.5372
2021-01-22,1.5182
2021-01-29,1.4941
2021-02-05,1.4725
2021-02-10,1.4827
2021-02-19,1.5030000000000001
2021-02-26,1.5144
2021-03-05,1.5157
2021-03-12,1.4966
2021-03-19,1.4903
2021-03-26,1.4903
2021-03-31,1.4954
2021-04-02,1.4852
2021-04-09,1.4788999999999999
2021-04-16,1.4750999999999999
2021-04-23,1.484
2021-04-30,1.5055
2021-05-07,1.5613000000000001
2021-05-14,1.5956000000000001
2021-05-21,1.5664
2021-05-28,1.5575
2021-05-31,1.5588000000000002
2021-06-04,1.5613000000000001
2021-06-11,1.5676999999999999
2021-06-18,1.5600999999999998
2021-06-25,1.5689
2021-06-30,1.5562
2021-07-02,1.5651
2021-07-09,1.5588000000000002
2021-07-16,1.6273
2021-07-23,1.6159
2021-07-30,1.6311
2021-08-06,1.5715
2021-08-13,1.5715
2021-08-20,1.5333999999999999
2021-08-27,1.5638999999999998
2021-08-31,1.5765
2021-09-03,1.593
2021-09-10,1.6628
2021-09-17,1.6577
2021-09-24,1.6995999999999998
2021-09-30,1.7084000000000001
2021-10-08,1.7338
2021-10-15,1.7528000000000001
2021-10-22,1.7452
2021-10-29,1.7325
2021-11-05,1.7338
2021-11-12,1.7287
2021-11-19,1.7237
2021-11-26,1.7109999999999999
2021-11-30,1.6945000000000001
2021-12-03,1.6932
2021-12-10,1.6831
2021-12-17,1.6804999999999999
2021-12-24,1.6831
2021-12-31,1.6818
2022-01-07,1.6958
2022-01-14,1.7287
2022-01-21,1.7896
2022-01-28,1.8098999999999998
2022-02-11,1.8683
2022-02-18,1.8733
2022-02-25,1.9228
2022-02-28,1.9087999999999998
2022-03-04,1.9621
2022-03-11,2.0343999999999998
2022-03-18,2.0192
2022-03-25,2.0407
2022-03-31,2.0217
2022-04-01,2.0192
2022-04-08,2.0179
2022-04-15,2.0319000000000003
2022-04-22,2.0268
2022-04-29,2.0305999999999997
2022-05-06,2.0229999999999997
2022-05-13,2.0116
2022-05-20,2.0090000000000003
2022-05-27,2.0166
2022-05-31,2.0141
2022-06-02,2.0116
2022-06-10,2.0217
2022-06-17,2.0014000000000003
2022-06-24,1.9926
2022-06-30,1.9926
2022-07-01,1.9912999999999998
2022-07-08,1.9849
2022-07-15,2.0128
2022-07-22,1.9937999999999998
2022-07-29,2.0090000000000003
2022-08-05,2.0027
2022-08-12,2.0382
2022-08-19,1.9951
2022-08-26,2.0319000000000003
2022-08-31,1.938
2022-09-02,1.9087999999999998
2022-09-09,1.9038
2022-09-16,1.8961999999999999
2022-09-23,1.9012
2022-09-30,1.8961999999999999
2022-10-14,1.9038
2022-10-21,1.9038
2022-10-28,1.9012
2022-10-31,1.8987
2022-11-04,1.9038
2022-11-11,1.9241
2022-11-18,1.9241
2022-11-25,1.9126
2022-11-30,1.9076
2022-12-02,1.9304000000000001
2022-12-09,1.99
2022-12-16,1.99
2022-12-23,1.8898000000000001
2022-12-30,1.9456
2023-01-06,1.9126
2023-01-13,1.9101
2023-01-20,1.8948999999999998
2023-01-31,1.8948999999999998
2023-02-03,1.8911
2023-02-10,1.853
2023-02-17,1.8580999999999999
2023-02-24,1.8365
2023-02-28,1.8327
