日期,单位净值,累计净值,复权净值
2020-05-07,1.0,1.0,1.0
2020-05-08,1.0,1.0,1.0
2020-05-15,0.999,0.999,0.999
2020-05-22,0.999,0.999,0.999
2020-05-29,0.998,0.998,0.998
2020-06-05,1.0,1.0,1.0
2020-06-12,1.007,1.007,1.007
2020-06-19,0.995,0.995,0.995
2020-06-24,1.006,1.006,1.006
2020-06-30,1.006,1.006,1.006
2020-07-03,1.01,1.01,1.01
2020-07-10,1.01,1.01,1.01
2020-07-17,1.025,1.025,1.025
2020-07-24,1.031,1.031,1.031
2020-07-31,1.035,1.035,1.035
2020-08-07,1.042,1.042,1.042
2020-08-14,1.041,1.041,1.041
2020-08-21,1.043,1.043,1.043
2020-08-28,1.049,1.049,1.049
2020-08-31,1.048,1.048,1.048
2020-09-04,1.051,1.051,1.051
2020-09-11,1.068,1.068,1.068
2020-09-18,1.071,1.071,1.071
2020-09-25,1.077,1.077,1.077
2020-09-30,1.079,1.079,1.079
2020-10-09,1.083,1.083,1.083
2020-10-16,1.085,1.085,1.085
2020-10-23,1.078,1.078,1.078
2020-10-30,1.089,1.089,1.089
2020-11-06,1.096,1.096,1.096
2020-11-13,1.109,1.109,1.109
2020-11-20,1.108,1.108,1.108
2020-11-27,1.093,1.093,1.093
2020-11-30,1.088,1.088,1.088
2020-12-04,1.087,1.087,1.087
2020-12-11,1.092,1.092,1.092
2020-12-18,1.091,1.091,1.091
2020-12-25,1.09,1.09,1.09
2020-12-31,1.088,1.088,1.088
2021-01-08,1.0676,1.0676,1.0676
2021-01-15,1.067,1.067,1.067
2021-01-22,1.067,1.067,1.067
2021-01-29,1.092,1.092,1.092
2021-02-05,1.144,1.144,1.144
2021-02-10,1.147,1.147,1.147
2021-02-19,1.148,1.148,1.148
2021-02-26,1.163,1.163,1.163
2021-03-05,1.154,1.154,1.154
2021-03-12,1.177,1.177,1.177
2021-03-19,1.177,1.177,1.177
2021-03-26,1.171,1.171,1.171
2021-03-31,1.179,1.179,1.179
2021-04-02,1.182,1.182,1.182
2021-04-09,1.167,1.167,1.167
2021-04-16,1.143,1.143,1.143
2021-04-23,1.147,1.147,1.147
2021-04-30,1.15,1.15,1.15
2021-05-07,1.149,1.149,1.149
2021-05-14,1.157,1.157,1.157
2021-05-21,1.164,1.164,1.164
2021-05-28,1.166,1.166,1.166
2021-05-31,1.165,1.165,1.165
2021-06-04,1.169,1.169,1.169
2021-06-11,1.172,1.172,1.172
2021-06-18,1.174,1.174,1.174
2021-06-25,1.171,1.171,1.171
2021-06-30,1.176,1.176,1.176
2021-07-02,1.179,1.179,1.179
2021-07-09,1.182,1.182,1.182
2021-07-16,1.186,1.186,1.186
2021-07-23,1.195,1.195,1.195
2021-07-30,1.195,1.195,1.195
2021-08-06,1.199,1.199,1.199
2021-08-13,1.208,1.208,1.208
2021-08-20,1.193,1.193,1.193
2021-08-27,1.199,1.199,1.199
2021-08-31,1.2,1.2,1.2
2021-09-03,1.203,1.203,1.203
2021-09-10,1.203,1.203,1.203
2021-09-17,1.211,1.211,1.211
2021-09-24,1.213,1.213,1.213
2021-09-30,1.218,1.218,1.218
2021-10-08,1.219,1.219,1.219
2021-10-15,1.221,1.221,1.221
2021-10-22,1.222,1.222,1.222
2021-10-29,1.231,1.231,1.231
2021-11-05,1.227,1.227,1.227
2021-11-12,1.235,1.235,1.235
2021-11-19,1.231,1.231,1.231
2021-11-26,1.236,1.236,1.236
2021-11-30,1.236,1.236,1.236
2021-12-03,1.245,1.245,1.245
2021-12-10,1.244,1.244,1.244
2021-12-17,1.25,1.25,1.25
2021-12-24,1.249,1.249,1.249
2021-12-27,1.0,1.253,1.253
2021-12-31,1.005,1.258,1.259265
2022-01-07,1.006,1.259,1.260518
2022-01-14,1.004,1.257,1.258012
2022-01-21,1.007,1.26,1.261771
2022-01-28,1.013,1.266,1.269289
2022-02-11,1.011,1.264,1.266783
2022-02-18,1.009,1.262,1.264277
2022-02-25,0.992,1.245,1.242976
2022-02-28,0.994,1.247,1.245482
2022-03-04,0.999,1.252,1.251747
2022-03-11,1.006,1.259,1.260518
2022-03-18,1.012,1.265,1.268036
2022-03-25,1.015,1.268,1.271795
2022-03-31,1.021,1.274,1.279313
2022-04-01,1.017,1.27,1.274301
2022-04-08,1.018,1.271,1.275554
2022-04-15,1.025,1.278,1.284325
2022-04-22,1.027,1.28,1.286831
2022-04-29,1.031,1.284,1.291843
2022-05-06,1.033,1.286,1.294349
2022-05-13,1.038,1.291,1.300614
