日期,复权净值
2020-05-07,1.0
2020-05-08,1.0
2020-05-15,0.999
2020-05-22,0.999
2020-05-29,0.998
2020-06-05,1.0
2020-06-12,1.007
2020-06-19,0.995
2020-06-24,1.006
2020-06-30,1.006
2020-07-03,1.01
2020-07-10,1.01
2020-07-17,1.025
2020-07-24,1.031
2020-07-31,1.035
2020-08-07,1.042
2020-08-14,1.041
2020-08-21,1.043
2020-08-28,1.049
2020-08-31,1.048
2020-09-04,1.051
2020-09-11,1.068
2020-09-18,1.071
2020-09-25,1.077
2020-09-30,1.079
2020-10-09,1.083
2020-10-16,1.085
2020-10-23,1.078
2020-10-30,1.089
2020-11-06,1.096
2020-11-13,1.109
2020-11-20,1.108
2020-11-27,1.093
2020-11-30,1.088
2020-12-04,1.087
2020-12-11,1.092
2020-12-18,1.091
2020-12-25,1.09
2020-12-31,1.088
2021-01-08,1.0676
2021-01-15,1.067
2021-01-22,1.067
2021-01-29,1.092
2021-02-05,1.1440000000000001
2021-02-10,1.147
2021-02-19,1.1480000000000001
2021-02-26,1.163
2021-03-05,1.154
2021-03-12,1.177
2021-03-19,1.177
2021-03-26,1.171
2021-03-31,1.179
2021-04-02,1.182
2021-04-09,1.167
2021-04-16,1.143
2021-04-23,1.147
2021-04-30,1.15
2021-05-07,1.149
2021-05-14,1.157
2021-05-21,1.164
2021-05-28,1.166
2021-05-31,1.165
2021-06-04,1.169
2021-06-11,1.172
2021-06-18,1.174
2021-06-25,1.171
2021-06-30,1.176
2021-07-02,1.179
2021-07-09,1.182
2021-07-16,1.186
2021-07-23,1.195
2021-07-30,1.195
2021-08-06,1.199
2021-08-13,1.208
2021-08-20,1.193
2021-08-27,1.199
2021-08-31,1.2
2021-09-03,1.203
2021-09-10,1.203
2021-09-17,1.211
2021-09-24,1.213
2021-09-30,1.218
2021-10-08,1.2189999999999999
2021-10-15,1.221
2021-10-22,1.222
2021-10-29,1.231
2021-11-05,1.2269999999999999
2021-11-12,1.2349999999999999
2021-11-19,1.231
2021-11-26,1.236
2021-11-30,1.236
2021-12-03,1.245
2021-12-10,1.244
2021-12-17,1.25
2021-12-24,1.249
2021-12-27,1.2530000000000001
2021-12-31,1.2593
2022-01-07,1.2605
2022-01-14,1.258
2022-01-21,1.2618
2022-01-28,1.2692999999999999
2022-02-11,1.2668
2022-02-18,1.2643
2022-02-25,1.2429999999999999
2022-02-28,1.2455
2022-03-04,1.2517
2022-03-11,1.2605
2022-03-18,1.268
2022-03-25,1.2718
2022-03-31,1.2793
2022-04-01,1.2743
2022-04-08,1.2756
2022-04-15,1.2843
2022-04-22,1.2868
2022-04-29,1.2918
2022-05-06,1.2943
2022-05-13,1.3006
2022-05-20,1.3019
2022-05-27,1.3056
2022-05-31,1.2993999999999999
2022-06-02,1.3094000000000001
2022-06-10,1.3094000000000001
2022-06-17,1.3207
2022-06-24,1.3256999999999999
2022-06-30,1.3319
2022-07-01,1.3332
2022-07-08,1.3182
2022-07-15,1.3169
2022-07-22,1.3094000000000001
2022-07-29,1.3119
2022-08-05,1.3218999999999999
2022-08-12,1.3207
