日期,复权净值
2020-09-10,1.0
2020-09-11,1.0
2020-09-18,1.0
2020-09-25,1.0
2020-09-30,1.0
2020-10-09,1.0
2020-10-16,1.0
2020-10-23,0.999
2020-10-30,0.998
2020-11-06,1.012
2020-11-13,1.02
2020-11-20,1.056
2020-11-27,1.07
2020-11-30,1.086
2020-12-04,1.087
2020-12-11,1.105
2020-12-18,1.113
2020-12-25,1.103
2020-12-31,1.108
2021-01-08,1.137
2021-01-15,1.133
2021-01-22,1.114
2021-01-29,1.104
2021-02-05,1.104
2021-02-10,1.113
2021-02-19,1.127
2021-02-26,1.177
2021-03-05,1.174
2021-03-12,1.173
2021-03-19,1.161
2021-03-26,1.159
2021-03-31,1.169
2021-04-02,1.158
2021-04-09,1.153
2021-04-16,1.155
2021-04-23,1.168
2021-04-30,1.171
2021-05-07,1.192
2021-05-14,1.203
2021-05-21,1.193
2021-05-28,1.179
2021-05-31,1.18
2021-06-04,1.167
2021-06-11,1.165
2021-06-18,1.156
2021-06-25,1.152
2021-06-30,1.1440000000000001
2021-07-02,1.141
2021-07-09,1.138
2021-07-16,1.149
2021-07-23,1.143
2021-07-30,1.147
2021-08-06,1.126
2021-08-13,1.123
2021-08-20,1.112
2021-08-27,1.112
2021-08-31,1.114
2021-09-03,1.112
2021-09-10,1.121
2021-09-17,1.1280000000000001
2021-09-24,1.141
2021-09-30,1.16
2021-10-08,1.167
2021-10-15,1.166
2021-10-22,1.15
2021-10-29,1.135
2021-11-05,1.1360000000000001
2021-11-12,1.1280000000000001
2021-11-19,1.123
2021-11-26,1.113
2021-11-30,1.116
2021-12-03,1.118
2021-12-10,1.114
2021-12-17,1.111
2021-12-24,1.11
2021-12-31,1.114
2022-01-07,1.114
2022-01-14,1.125
2022-01-21,1.152
2022-01-28,1.166
2022-02-11,1.182
2022-02-18,1.164
2022-02-25,1.18
2022-02-28,1.173
2022-03-04,1.199
2022-03-11,1.22
2022-03-18,1.198
2022-03-25,1.2
2022-03-31,1.193
2022-04-01,1.193
2022-04-08,1.186
2022-04-15,1.199
2022-04-22,1.192
2022-04-29,1.192
2022-05-06,1.188
2022-05-13,1.188
2022-05-20,1.177
2022-05-27,1.191
2022-05-31,1.191
2022-06-02,1.192
2022-06-10,1.208
2022-06-17,1.181
2022-06-24,1.2
2022-06-30,1.198
2022-07-01,1.203
2022-07-08,1.215
2022-07-15,1.237
2022-07-22,1.229
2022-07-29,1.23
2022-08-05,1.225
2022-08-12,1.237
2022-08-19,1.23
2022-08-26,1.226
2022-08-31,1.218
2022-09-02,1.218
2022-09-09,1.214
2022-09-16,1.22
2022-09-23,1.225
2022-09-30,1.228
2022-10-14,1.222
2022-10-21,1.222
2022-10-28,1.236
2022-10-31,1.244
2022-11-04,1.231
2022-11-11,1.248
2022-11-18,1.2469999999999999
2022-11-25,1.241
2022-11-30,1.24
2022-12-02,1.244
2022-12-09,1.271
2022-12-16,1.276
2022-12-23,1.262
2022-12-30,1.2570000000000001
2023-01-06,1.242
2023-01-13,1.246
2023-01-20,1.2650000000000001
2023-01-31,1.2610000000000001
2023-02-03,1.246
2023-02-10,1.238
2023-02-17,1.231
2023-02-24,1.2189999999999999
2023-02-28,1.203
2023-03-03,1.201
2023-03-10,1.208
2023-03-17,1.223
2023-03-24,1.236
2023-03-31,1.232
2023-04-07,1.25
2023-04-14,1.255
2023-04-21,1.25
2023-04-28,1.272
2023-05-05,1.293
2023-05-12,1.287
2023-05-19,1.2810000000000001
2023-05-26,1.307
2023-05-31,1.307
2023-06-02,1.292
2023-06-09,1.285
2023-06-16,1.286
2023-06-21,1.282
2023-06-30,1.279
2023-07-07,1.285
2023-07-14,1.323
2023-07-21,1.306
2023-07-28,1.31
2023-07-31,1.315
2023-08-04,1.31
2023-08-11,1.307
2023-08-18,1.329
2023-08-25,1.3639999999999999
2023-08-31,1.3679999999999999
2023-09-01,1.378
2023-09-08,1.392
2023-09-15,1.4060000000000001
2023-09-22,1.389
2023-09-28,1.387
2023-10-13,1.377
2023-10-20,1.393
2023-10-27,1.376
2023-10-31,1.3820000000000001
2023-11-03,1.388
2023-11-10,1.4060000000000001
2023-11-17,1.401
2023-11-24,1.408
2023-11-30,1.415
2023-12-01,1.414
2023-12-08,1.45
2023-12-15,1.433
2023-12-22,1.448
2023-12-29,1.434
2024-01-05,1.425
2024-01-12,1.437
2024-01-19,1.434
2024-01-26,1.439
2024-01-31,1.432
2024-02-02,1.423
2024-02-08,1.428
2024-02-23,1.421
2024-02-29,1.413
2024-03-01,1.412
2024-03-08,1.428
2024-03-15,1.4689999999999999
2024-03-22,1.46
2024-03-29,1.4529999999999998
2024-04-03,1.461
2024-04-12,1.47
2024-04-19,1.467
2024-04-26,1.461
2024-04-30,1.454
2024-05-10,1.465
2024-05-17,1.445
2024-05-24,1.461
2024-05-31,1.449
2024-06-07,1.457
2024-06-14,1.449
2024-06-21,1.46
2024-06-28,1.462
2024-07-05,1.46
2024-07-12,1.462
2024-07-19,1.4729999999999999
2024-07-26,1.491
2024-07-31,1.501
2024-08-02,1.494
2024-08-09,1.509
2024-08-16,1.542
2024-08-23,1.54
2024-08-30,1.526
2024-09-06,1.573
2024-09-13,1.592
2024-09-20,1.5939999999999999
2024-09-27,1.642
2024-09-30,1.6709999999999998
2024-10-11,1.689
2024-10-18,1.6829999999999998
2024-10-25,1.674
2024-10-31,1.657
2024-11-01,1.645
