日期,复权净值
2020-09-14,1.0
2020-09-18,1.0001
2020-09-25,0.9995
2020-09-30,0.9997
2020-10-09,0.9999
2020-10-16,1.0025
2020-10-23,1.0036
2020-10-30,1.0033
2020-11-06,1.0052
2020-11-13,1.0086
2020-11-20,1.0097
2020-11-27,1.0103
2020-11-30,1.0123
2020-12-04,1.0139
2020-12-11,1.0176
2020-12-18,1.0198
2020-12-25,1.0216
2020-12-31,1.0241
2021-01-08,1.0281
2021-01-15,1.0338
2021-01-22,1.0351
2021-01-29,1.0361
2021-02-05,1.037
2021-02-10,1.0386
2021-02-19,1.0382
2021-02-26,1.0405
2021-03-05,1.0425
2021-03-12,1.0478
2021-03-19,1.0475
2021-03-26,1.0487
2021-03-31,1.0496
2021-04-02,1.0496
2021-04-09,1.0512
2021-04-16,1.0526
2021-04-23,1.0534
2021-04-30,1.0556
2021-05-07,1.056
2021-05-14,1.0584
2021-05-21,1.0592
2021-05-28,1.0601
2021-05-31,1.0603
2021-06-04,1.0626
2021-06-11,1.0649
2021-06-18,1.0666
2021-06-25,1.0669
2021-06-30,1.0674
2021-07-02,1.0673
2021-07-09,1.0687
2021-07-16,1.0721
2021-07-23,1.0727
2021-07-30,1.0778
2021-08-06,1.08
2021-08-13,1.0819
2021-08-20,1.0824
2021-08-27,1.081
2021-08-31,1.0812
2021-09-03,1.081
2021-09-10,1.0784
2021-09-17,1.082
2021-09-24,1.0818
2021-09-30,1.0836999999999999
2021-10-08,1.0853
2021-10-15,1.0892
2021-10-22,1.0899
2021-10-29,1.0933
2021-11-05,1.0952
2021-11-12,1.0958
2021-11-19,1.0959
2021-11-26,1.0965
2021-11-30,1.0969
2021-12-03,1.0977
2021-12-10,1.1025
2021-12-17,1.1032
2021-12-24,1.1046
2021-12-31,1.1053
2022-01-07,1.1058
2022-01-14,1.1073
2022-01-21,1.1097
2022-01-28,1.1117
2022-02-11,1.1124
2022-02-18,1.1123
2022-02-25,1.1123
2022-02-28,1.1127
2022-03-04,1.1127
2022-03-11,1.1182
2022-03-18,1.1207
2022-03-25,1.1215
2022-03-31,1.1219
2022-04-01,1.1218
2022-04-08,1.1222
2022-04-15,1.1224
2022-04-22,1.1234
2022-04-29,1.1326
2022-05-06,1.1345
2022-05-13,1.1379
2022-05-20,1.1381999999999999
2022-05-27,1.1387
2022-05-31,1.1387
2022-06-02,1.1388
2022-06-10,1.1397
2022-06-17,1.1421000000000001
2022-06-24,1.1418
2022-06-30,1.142
2022-07-01,1.1421000000000001
2022-07-08,1.1423
2022-07-15,1.1444
2022-07-22,1.145
2022-07-29,1.1447
2022-08-05,1.1449
2022-08-12,1.1447
2022-08-19,1.1449
2022-08-26,1.1448
2022-08-31,1.1455
2022-09-02,1.1455
2022-09-09,1.1468
2022-09-16,1.1487
2022-09-23,1.1495
2022-09-30,1.1518
2022-10-14,1.1535
2022-10-21,1.1559
2022-10-28,1.1592
2022-10-31,1.1585
2022-11-04,1.1619
2022-11-11,1.165
2022-11-18,1.1658
2022-11-25,1.1667
2022-11-30,1.1667
2022-12-02,1.1671
2022-12-09,1.1679
2022-12-16,1.1665
2022-12-23,1.1668
2022-12-30,1.1669
2023-01-06,1.1662
2023-01-13,1.1665
2023-01-20,1.1636
2023-01-31,1.1637
2023-02-03,1.1644
2023-02-10,1.166
2023-02-17,1.1678
2023-02-24,1.1677
2023-02-28,1.1677
2023-03-03,1.1689
2023-03-10,1.1699
2023-03-17,1.1721
2023-03-24,1.1735
2023-03-31,1.1741
2023-04-07,1.1757
2023-04-14,1.176
2023-04-21,1.1792
2023-04-28,1.1809
2023-05-05,1.1807
2023-05-12,1.1815
2023-05-19,1.1817
2023-05-26,1.1817
2023-05-31,1.1818
2023-06-02,1.1819
2023-06-09,1.1831
2023-06-16,1.1859
2023-06-21,1.188
2023-06-30,1.1883
2023-07-07,1.1891
2023-07-14,1.1904
2023-07-21,1.1909
2023-07-28,1.1917
2023-07-31,1.1917
2023-08-04,1.192
2023-08-11,1.1942
2023-08-18,1.1924
2023-08-25,1.1945999999999999
2023-08-31,1.1984
2023-09-01,1.1992
2023-09-08,1.202
2023-09-15,1.2048
2023-09-22,1.2046999999999999
2023-09-28,1.2048
2023-10-13,1.2051
2023-10-20,1.2072
2023-10-27,1.2092
2023-10-31,1.2095
2023-11-03,1.2086000000000001
2023-11-10,1.2101
2023-11-17,1.2102
2023-11-24,1.2102
2023-11-30,1.2101
2023-12-01,1.2094
2023-12-08,1.2107999999999999
2023-12-15,1.2134
2023-12-22,1.2147000000000001
2023-12-29,1.2172
2024-01-05,1.2185000000000001
2024-01-12,1.2176
2024-01-19,1.2189
2024-01-26,1.2247
2024-01-31,1.2272
2024-02-02,1.2298
2024-02-08,1.2271
2024-02-23,1.2321
2024-02-29,1.2372
2024-03-01,1.2386
2024-03-08,1.2412
2024-03-15,1.242
2024-03-22,1.2435
2024-03-29,1.2435
2024-04-03,1.244
2024-04-12,1.2456
2024-04-19,1.2529
2024-04-26,1.2558
2024-04-30,1.2553
2024-05-10,1.2538
2024-05-17,1.2554
2024-05-24,1.2569
2024-05-31,1.2574
2024-06-07,1.2598
2024-06-14,1.2598
2024-06-21,1.262
2024-06-28,1.2631999999999999
2024-07-05,1.2649
2024-07-12,1.2659
2024-07-19,1.2657
2024-07-26,1.2685
2024-07-31,1.2656
2024-08-02,1.2656
2024-08-09,1.2667
2024-08-16,1.269
2024-08-23,1.2682
2024-08-30,1.2696
2024-09-06,1.2723
2024-09-13,1.2738
2024-09-20,1.2717
2024-09-27,1.2758
2024-09-30,1.2811
2024-10-11,1.2929
2024-10-18,1.2966
2024-10-25,1.2988
2024-10-31,1.2913000000000001
2024-11-01,1.293
2024-11-08,1.2963
2024-11-15,1.2852999999999999
2024-11-22,1.2892000000000001
2024-11-29,1.2933
2024-12-06,1.297
2024-12-13,1.3003
2024-12-20,1.3018
2024-12-27,1.3034
2024-12-31,1.304
2025-01-03,1.304
2025-01-10,1.3046
2025-01-17,1.3067
2025-01-24,1.3066
2025-01-27,1.3067
2025-02-07,1.3085
2025-02-14,1.3092000000000001
2025-02-21,1.3113
2025-02-28,1.3071
2025-03-07,1.3092000000000001
2025-03-14,1.3032
2025-03-21,1.3111
2025-03-28,1.3111
2025-03-31,1.3118
2025-04-03,1.3114
2025-04-11,1.316
2025-04-18,1.3258
2025-04-25,1.3269
2025-04-30,1.3308
2025-05-09,1.3406
2025-05-16,1.3444
2025-05-23,1.3527
2025-05-30,1.3514
2025-06-06,1.3568
2025-06-13,1.3561
2025-06-20,1.3517000000000001
2025-06-27,1.3408
2025-06-30,1.3453
2025-07-04,1.3488
2025-07-11,1.343
2025-07-18,1.3453
2025-07-25,1.345
2025-07-31,1.3496000000000001
2025-08-01,1.3497999999999999
2025-08-08,1.3546
2025-08-15,1.3427
2025-08-22,1.3393
2025-08-29,1.3465
2025-09-05,1.3467
2025-09-12,1.3542
2025-09-19,1.3538000000000001
2025-09-26,1.3557000000000001
2025-09-30,1.3521
2025-10-10,1.3564
2025-10-17,1.3636
2025-10-24,1.365
2025-10-31,1.3597
