日期,复权净值
2020-11-04,1.0
2020-11-06,1.0
2020-11-13,1.0
2020-11-20,1.003
2020-11-27,1.014
2020-11-30,1.014
2020-12-04,0.99
2020-12-11,0.992
2020-12-18,0.988
2020-12-25,0.992
2020-12-31,0.998
2021-01-08,0.997
2021-01-15,1.014
2021-01-22,1.006
2021-01-29,1.001
2021-02-05,1.007
2021-02-10,0.979
2021-02-19,0.987
2021-02-26,0.991
2021-03-05,0.959
2021-03-12,0.952
2021-03-19,0.962
2021-03-26,0.973
2021-03-31,0.965
2021-04-02,0.971
2021-04-09,0.955
2021-04-16,0.924
2021-04-23,0.924
2021-04-30,0.922
2021-05-07,0.913
2021-05-14,0.917
2021-05-21,0.923
2021-05-28,0.917
2021-05-31,0.92
2021-06-04,0.938
2021-06-11,0.962
2021-06-18,0.947
2021-06-25,0.96
2021-06-30,0.961
2021-07-02,0.979
2021-07-09,0.996
2021-07-16,0.982
2021-07-23,1.017
2021-07-30,0.975
2021-08-06,1.012
2021-08-13,1.04
2021-08-20,1.083
2021-08-27,1.158
2021-08-31,1.175
2021-09-03,1.25
2021-09-10,1.345
2021-09-17,1.32
2021-09-24,1.388
2021-09-30,1.336
2021-10-08,1.322
2021-10-15,1.2389999999999999
2021-10-22,1.09
2021-10-29,1.04
2021-11-05,1.06
2021-11-12,1.068
2021-11-19,1.053
2021-11-26,1.038
2021-11-30,1.092
2021-12-03,1.118
2021-12-10,1.177
2021-12-17,1.185
2021-12-23,1.168
2021-12-24,1.1461000000000001
2021-12-31,1.138
2022-01-07,1.1138
2022-01-14,1.1195
2022-01-21,1.1391
2022-01-28,1.1807
2022-02-11,1.4739
2022-02-18,1.4935
2022-02-25,1.6122999999999998
2022-02-28,1.5985
2022-03-04,1.6042999999999998
2022-03-11,1.7659
2022-03-18,1.8039
2022-03-25,1.9609
2022-03-31,1.9494
2022-04-01,1.8904999999999998
2022-04-08,1.8732
2022-04-15,1.8536000000000001
2022-04-22,2.0151000000000003
2022-04-29,2.104
2022-05-06,2.1017
2022-05-13,2.2771
2022-05-20,2.3926
2022-05-27,2.3695
2022-05-31,2.3787000000000003
2022-06-02,2.3314
2022-06-10,2.4052
2022-06-17,2.3545
2022-06-24,2.4375999999999998
2022-06-30,2.4814
2022-07-01,2.4859999999999998
2022-07-08,2.8541999999999996
2022-07-15,2.7053000000000003
2022-07-22,2.7123
2022-07-29,2.6615
2022-08-05,2.5968
2022-08-12,2.4859999999999998
2022-08-19,2.6615
2022-08-26,2.6765
2022-08-31,2.688
2022-09-02,2.5703
2022-09-09,2.4999000000000002
2022-09-16,2.3590999999999998
2022-09-23,2.3083
2022-09-30,2.3118
2022-10-14,2.4168000000000003
2022-10-21,2.4641
2022-10-28,2.3418
2022-10-31,2.3452
2022-11-04,2.4156
2022-11-11,2.3164
2022-11-18,2.2298
2022-11-25,2.2771
2022-11-30,2.3094
2022-12-02,2.3498
2022-12-09,2.2944
2022-12-16,2.3141
2022-12-20,2.3625
2022-12-23,2.2926
2022-12-30,2.2081999999999997
2023-01-06,2.2267
2023-01-13,2.2247
2023-01-20,2.2451999999999996
2023-01-31,2.2247
2023-02-03,2.2061
2023-02-10,2.2184999999999997
2023-02-17,2.1155999999999997
2023-02-24,2.0929
2023-02-28,2.0888
2023-03-03,2.1094
2023-03-10,2.202
2023-03-17,2.2411000000000003
2023-03-24,2.2390999999999996
2023-03-31,2.2164
2023-04-07,2.2308
2023-04-14,2.2411000000000003
2023-04-21,2.13
2023-04-28,2.2247
2023-05-05,2.2494
2023-05-12,2.2390999999999996
2023-05-19,2.3193
2023-05-26,2.309
2023-05-31,2.2946
2023-06-02,2.2967
2023-06-09,2.2843
2023-06-16,2.2348999999999997
2023-06-21,2.1835
2023-06-30,2.1588000000000003
2023-07-07,2.1835
2023-07-14,2.2987
2023-07-21,2.3049
2023-07-28,2.2287999999999997
2023-07-31,2.2348999999999997
2023-08-04,2.2535
2023-08-11,2.0991
2023-08-18,2.1444
2023-08-25,2.2144
2023-08-31,2.1978999999999997
2023-09-01,2.2123
2023-09-08,2.1897
2023-09-15,2.1835
2023-09-22,2.2535
2023-09-28,2.1773
2023-10-13,2.3481
2023-10-20,2.2720000000000002
2023-10-27,2.3358
2023-10-31,2.3564
2023-11-03,2.3029
2023-11-10,2.3522999999999996
2023-11-17,2.2473
2023-11-24,2.3440000000000003
2023-11-30,2.4387
2023-12-01,2.4881
2023-12-08,2.8338
2023-12-15,2.8338
2023-12-20,2.9141
2023-12-22,2.909
2023-12-29,2.8559
2024-01-05,3.0379
2024-01-12,3.364
2024-01-19,3.4827
2024-01-26,3.5611
2024-01-31,3.4903
2024-02-02,3.4297
2024-02-08,3.4752
2024-02-23,3.4777
2024-02-29,3.5737
2024-03-01,3.6494999999999997
2024-03-08,3.9402
2024-03-15,4.289
2024-03-22,4.3294
2024-03-29,4.051399999999999
2024-04-03,4.1576
2024-04-12,3.9554
2024-04-19,3.8821
2024-04-26,3.9073
2024-04-30,3.9604000000000004
2024-05-10,4.2157
2024-05-17,4.2839
2024-05-24,4.316800000000001
2024-05-31,4.450699999999999
2024-06-07,4.3547
2024-06-14,4.1727
2024-06-21,3.9225
2024-06-28,3.9149000000000003
2024-07-05,3.9174
2024-07-12,3.8339999999999996
2024-07-19,3.8669
2024-07-26,3.8972
2024-07-31,3.6976
2024-08-02,3.6698000000000004
2024-08-09,3.5864
2024-08-16,3.5358
2024-08-23,3.5308
2024-08-30,3.5535
2024-09-06,3.6091
2024-09-13,3.6849000000000003
2024-09-20,3.7532
2024-09-27,4.2005
2024-09-30,4.4735
2024-10-11,4.3976
2024-10-18,4.420400000000001
2024-10-25,4.6731
2024-10-31,4.5062999999999995
2024-11-01,4.5417000000000005
2024-11-08,4.6074
2024-11-15,4.5392
2024-11-22,4.3547
2024-11-25,4.309200000000001
2024-11-29,4.3379
2024-12-06,4.3050999999999995
2024-12-13,4.3666
2024-12-20,4.2558
2024-12-27,4.5965
2024-12-31,4.5965
2025-01-03,4.4569
2025-01-10,4.169700000000001
2025-01-17,4.329700000000001
2025-01-24,4.1163
2025-01-27,4.145
2025-02-07,4.1409
2025-02-14,4.5062
2025-02-21,4.5472
2025-02-28,4.4775
2025-03-07,4.8632
2025-03-14,4.6662
2025-03-21,4.5595
2025-03-28,4.5349
2025-03-31,4.5431
2025-04-03,4.530799999999999
2025-04-11,4.4487000000000005
2025-04-18,4.776999999999999
2025-04-25,4.9084
2025-04-30,5.1136
2025-05-09,5.0028
2025-05-16,5.1054
2025-05-23,5.0479
2025-05-30,5.1998
2025-06-06,5.3311
2025-06-13,5.6881
2025-06-20,5.7866
2025-06-27,5.5322000000000005
2025-06-30,5.569100000000001
2025-07-04,5.2244
2025-07-11,5.2408
2025-07-18,5.5076
2025-07-25,6.1437
2025-07-31,5.6552999999999995
2025-08-01,5.6266
2025-08-08,5.8728
2025-08-15,6.4063
2025-08-22,6.2258000000000004
2025-08-29,6.0
2025-09-05,6.2545
2025-09-12,6.4884
2025-09-19,6.385800000000001
2025-09-26,6.3488999999999995
2025-09-30,6.3652999999999995
2025-10-10,6.5950999999999995
2025-10-17,6.2791
2025-10-24,6.283200000000001
2025-10-31,6.2668
2025-11-07,6.2052
2025-11-14,6.369400000000001
2025-11-21,5.9179
2025-11-28,5.9672
2025-12-05,6.283200000000001
2025-12-12,6.180599999999999
2025-12-19,5.9959
2025-12-22,6.1026
2025-12-26,6.4877
2025-12-31,6.552899999999999
