日期,单位净值,累计净值,复权净值
2021-04-14,1.0,1.0,1.0
2021-04-16,1.0,1.0,1.0
2021-04-23,0.9999,0.9999,0.9999
2021-04-30,0.9997,0.9997,0.9997
2021-05-07,0.9955,0.9955,0.9955
2021-05-14,1.0239,1.0239,1.0239
2021-05-21,1.0342,1.0342,1.0342
2021-05-28,1.026,1.026,1.026
2021-05-31,1.0338,1.0338,1.0338
2021-06-04,1.056,1.056,1.056
2021-06-11,1.0602,1.0602,1.0602
2021-06-18,1.0561,1.0561,1.0561
2021-06-25,1.0761,1.0761,1.0761
2021-06-30,1.0808,1.0808,1.0808
2021-07-02,1.0864,1.0864,1.0864
2021-07-09,1.092,1.092,1.092
2021-07-16,1.1067,1.1067,1.1067
2021-07-23,1.0999,1.0999,1.0999
2021-07-30,1.0879,1.0879,1.0879
2021-08-06,1.0744,1.0744,1.0744
2021-08-13,1.0634,1.0634,1.0634
2021-08-20,1.0627,1.0627,1.0627
2021-08-27,1.1033,1.1033,1.1033
2021-08-31,1.1036,1.1036,1.1036
2021-09-03,1.1137,1.1137,1.1137
2021-09-10,1.113,1.113,1.113
2021-09-17,1.0818,1.0818,1.0818
2021-09-24,1.0397,1.0397,1.0397
2021-09-30,0.9651,0.9651,0.9651
2021-10-08,0.9837,0.9837,0.9837
2021-10-15,1.036,1.036,1.036
2021-10-22,1.116,1.116,1.116
2021-10-29,1.1149,1.1149,1.1149
2021-11-05,1.1261,1.1261,1.1261
2021-11-12,1.1333,1.1333,1.1333
2021-11-19,1.1199,1.1199,1.1199
2021-11-26,1.0969,1.0969,1.0969
2021-11-30,1.1002,1.1002,1.1002
2021-12-03,1.0715,1.0715,1.0715
2021-12-10,1.1081,1.1081,1.1081
2021-12-17,1.1164,1.1164,1.1164
2021-12-24,1.1196,1.1196,1.1196
2021-12-31,1.1294,1.1294,1.1294
2022-01-07,1.1232,1.1232,1.1232
2022-01-14,1.1092,1.1092,1.1092
2022-01-21,1.1051,1.1051,1.1051
2022-01-28,1.1134,1.1134,1.1134
2022-02-11,1.1412,1.1412,1.1412
2022-02-18,1.1527,1.1527,1.1527
2022-02-25,1.1422,1.1422,1.1422
2022-02-28,1.1375,1.1375,1.1375
2022-03-04,1.1823,1.1823,1.1823
2022-03-11,1.1737,1.1737,1.1737
2022-03-18,1.1725,1.1725,1.1725
2022-03-25,1.1737,1.1737,1.1737
2022-03-31,1.178,1.178,1.178
2022-04-01,1.1721,1.1721,1.1721
2022-04-08,1.174,1.174,1.174
2022-04-15,1.1967,1.1967,1.1967
2022-04-22,1.2093,1.2093,1.2093
2022-04-29,1.2045,1.2045,1.2045
2022-05-06,1.2078,1.2078,1.2078
2022-05-13,1.2118,1.2118,1.2118
2022-05-20,1.232,1.232,1.232
2022-05-27,1.2273,1.2273,1.2273
2022-05-31,1.2115,1.2115,1.2115
2022-06-02,1.2141,1.2141,1.2141
2022-06-10,1.2007,1.2007,1.2007
2022-06-17,1.1882,1.1882,1.1882
2022-06-24,1.1793,1.1793,1.1793
2022-06-30,1.177,1.177,1.177
2022-07-01,1.187,1.187,1.187
2022-07-08,1.1855,1.1855,1.1855
2022-07-15,1.2165,1.2165,1.2165
2022-07-22,1.2365,1.2365,1.2365
2022-07-29,1.2042,1.2042,1.2042
2022-08-05,1.2291,1.2291,1.2291
2022-08-12,1.205,1.205,1.205
2022-08-19,1.2196,1.2196,1.2196
2022-08-26,1.1995,1.1995,1.1995
2022-08-31,1.2209,1.2209,1.2209
2022-09-02,1.2369,1.2369,1.2369
2022-09-09,1.2522,1.2522,1.2522
2022-09-16,1.226,1.226,1.226
2022-09-23,1.2334,1.2334,1.2334
2022-09-28,1.0,1.2256,1.2256
2022-09-30,1.0,1.2256,1.2256
2022-10-14,0.9987,1.2243,1.22400672
2022-10-21,0.9862,1.2118,1.20868672
2022-10-28,1.0009,1.2265,1.22670304
2022-10-31,0.9994,1.225,1.22486464
2022-11-04,1.0032,1.2288,1.22952192
2022-11-11,1.0064,1.232,1.23344384
2022-11-18,1.0132,1.2388,1.24177792
2022-11-25,1.0236,1.2492,1.25452416
2022-11-30,1.023,1.2486,1.2537888
2022-12-02,1.0245,1.2501,1.2556272
2022-12-09,1.017,1.2426,1.2464352
2022-12-16,1.0113,1.2369,1.23944928
2022-12-23,1.0067,1.2323,1.23381152
2022-12-30,1.0226,1.2482,1.25329856
2023-01-06,1.042,1.2676,1.2770752
2023-01-13,1.0282,1.2538,1.26016192
2023-01-20,1.0396,1.2652,1.27413376
2023-01-31,1.0468,1.2724,1.28295808
2023-02-03,1.0432,1.2688,1.27854592
2023-02-10,1.0475,1.2731,1.283816
2023-02-17,1.0465,1.2721,1.2825904
2023-02-24,1.0452,1.2708,1.28099712
2023-02-28,1.0413,1.2669,1.27621728
2023-03-03,1.0401,1.2657,1.27474656
2023-03-10,1.0474,1.273,1.28369344
2023-03-17,1.0452,1.2708,1.28099712
2023-03-24,1.0366,1.2622,1.27045696
2023-03-31,1.0283,1.2539,1.26028448
2023-04-07,1.0289,1.2545,1.26101984
2023-04-14,1.0355,1.2611,1.2691088
2023-04-21,1.0606,1.2862,1.29987136
2023-04-28,1.0769,1.3025,1.31984864
2023-05-05,1.09,1.3156,1.335904
2023-05-12,1.094,1.3196,1.3408064
2023-05-19,1.0947,1.3203,1.34166432
2023-05-26,1.1104,1.336,1.36090624
