日期,复权净值
2021-08-30,1.0
2021-08-31,1.0
2021-09-03,0.9998
2021-09-10,1.0009
2021-09-17,0.9969
2021-09-24,1.0017
2021-09-30,1.0232
2021-10-08,1.0338
2021-10-15,1.0291
2021-10-22,1.0145
2021-10-29,1.0009
2021-11-05,1.0058
2021-11-12,0.9948
2021-11-19,0.9859
2021-11-26,0.9768
2021-11-30,0.9834
2021-12-03,0.9916
2021-12-10,0.9871
2021-12-17,0.9775
2021-12-24,0.973
2021-12-31,0.9715
2022-01-07,0.9754
2022-01-14,1.0036
2022-01-21,1.0247
2022-01-28,1.0517
2022-02-11,1.0681
2022-02-18,1.0578
2022-02-25,1.0625
2022-02-28,1.0561
2022-03-04,1.0767
2022-03-11,1.0863
2022-03-18,1.0777
2022-03-25,1.0782
2022-03-31,1.0772
2022-04-01,1.0781
2022-04-08,1.0755
2022-04-15,1.0752
2022-04-22,1.0692
2022-04-29,1.0715
2022-05-06,1.069
2022-05-13,1.0761
2022-05-20,1.0555
2022-05-27,1.0601
2022-05-31,1.0574
2022-06-02,1.0535
2022-06-10,1.0663
2022-06-17,1.054
2022-06-24,1.161
2022-06-30,1.1534
2022-07-01,1.1615
2022-07-08,1.1791
2022-07-15,1.2186
2022-07-22,1.2063
2022-07-29,1.1934
2022-08-05,1.1898
2022-08-12,1.1859
2022-08-19,1.1863
2022-08-26,1.1659
2022-08-31,1.1524
2022-09-02,1.1689
2022-09-09,1.1481
2022-09-16,1.1411
2022-09-23,1.1278
2022-09-30,1.1314
2022-10-14,1.0959
2022-10-21,1.101
2022-10-28,1.1555
2022-10-31,1.1968
2022-11-04,1.1542
2022-11-11,1.1519
2022-11-18,1.1527
2022-11-25,1.1438
2022-11-30,1.1429
2022-12-02,1.1444
2022-12-09,1.1987
2022-12-16,1.2078
2022-12-23,1.1726
2022-12-30,1.1703999999999999
2023-01-06,1.1506
2023-01-13,1.1632
2023-01-20,1.1865
2023-01-31,1.1813
2023-02-03,1.1478
2023-02-10,1.1185
2023-02-17,1.1169
2023-02-24,1.1053
2023-02-28,1.0847
2023-03-03,1.0985
2023-03-10,1.0957
2023-03-17,1.1327
2023-03-24,1.1479
2023-03-31,1.1259000000000001
2023-04-07,1.1421999999999999
2023-04-14,1.1494
2023-04-21,1.1527
2023-04-28,1.1857
2023-05-05,1.2202
2023-05-12,1.2066
2023-05-19,1.2004
2023-05-26,1.2175
2023-05-31,1.2135
2023-06-02,1.198
2023-06-09,1.1933
2023-06-16,1.1897
2023-06-21,1.1817
2023-06-30,1.1743999999999999
2023-07-07,1.1756
2023-07-14,1.2063
2023-07-21,1.1911
2023-07-28,1.2042
2023-07-31,1.2083
2023-08-04,1.2016
2023-08-11,1.2002
2023-08-18,1.2001
2023-08-25,1.2132
2023-08-31,1.2155
2023-09-01,1.2229
2023-09-08,1.224
2023-09-15,1.2347
2023-09-22,1.2201
2023-09-28,1.2208
2023-10-13,1.217
2023-10-20,1.2192
2023-10-27,1.2054
2023-10-31,1.2067999999999999
2023-11-03,1.2072
2023-11-10,1.232
2023-11-17,1.2308
2023-11-24,1.2309
2023-11-30,1.236
2023-12-01,1.2429000000000001
2023-12-08,1.2525
2023-12-15,1.23
2023-12-22,1.2308
2023-12-29,1.2119
2024-01-05,1.2065
2024-01-12,1.1943
2024-01-19,1.1753
2024-01-26,1.1707
2024-01-31,1.1656
2024-02-02,1.1569
2024-02-08,1.149
2024-02-23,1.1280000000000001
2024-02-29,1.1238
2024-03-01,1.1194
2024-03-08,1.1386
2024-03-15,1.2028
2024-03-22,1.1874
2024-03-29,1.2064
2024-04-03,1.2118
2024-04-12,1.2242
2024-04-19,1.2306
2024-04-26,1.2252
2024-04-30,1.2202
2024-05-10,1.2145
2024-05-17,1.201
2024-05-24,1.2182
2024-05-31,1.2104
2024-06-07,1.1934
2024-06-14,1.1841
2024-06-21,1.194
2024-06-28,1.2012
2024-07-05,1.1875
2024-07-12,1.1885
2024-07-19,1.2009
2024-07-26,1.2537
2024-07-31,1.2661
2024-08-02,1.2559
2024-08-09,1.2685
2024-08-16,1.2897
2024-08-23,1.2867
2024-08-30,1.2744
2024-09-06,1.2955999999999999
2024-09-13,1.3042
2024-09-20,1.3121
2024-09-27,1.3126
2024-09-30,1.3131
2024-10-11,1.3157999999999999
2024-10-18,1.3137
2024-10-25,1.3124
2024-10-31,1.3084
2024-11-01,1.3079
2024-11-08,1.3002
2024-11-15,1.3006
2024-11-22,1.2899
2024-11-29,1.2816
2024-12-06,1.3026
2024-12-13,1.2772999999999999
2024-12-20,1.3048
2024-12-27,1.2904
2024-12-31,1.293
2025-01-03,1.313
2025-01-10,1.3167
2025-01-17,1.2891
2025-01-24,1.256
2025-01-27,1.2532
2025-02-07,1.2521
2025-02-14,1.2474
2025-02-21,1.2432
2025-02-28,1.2101
2025-03-07,1.225
2025-03-14,1.2477
2025-03-21,1.2657
2025-03-28,1.2277
2025-03-31,1.2410999999999999
2025-04-03,1.2493
2025-04-11,1.2665
2025-04-18,1.3091
2025-04-25,1.3202
2025-04-30,1.3262
2025-05-09,1.3378
2025-05-16,1.3003
2025-05-23,1.3181
2025-05-30,1.3646
2025-06-06,1.374
2025-06-13,1.3835
2025-06-20,1.3982999999999999
2025-06-27,1.3876
2025-06-30,1.3808
2025-07-04,1.3795
2025-07-11,1.37
2025-07-18,1.3700999999999999
2025-07-25,1.3255
2025-07-31,1.3315
2025-08-01,1.3293
2025-08-08,1.3446
2025-08-15,1.3816
2025-08-22,1.4117
2025-08-29,1.4327
2025-09-05,1.4338
2025-09-12,1.4679
2025-09-19,1.4372
2025-09-26,1.4416
2025-09-30,1.4772
2025-10-10,1.5158
2025-10-17,1.5406
2025-10-24,1.5228000000000002
2025-10-31,1.5277
2025-11-07,1.5331000000000001
2025-11-14,1.5599
2025-11-21,1.5638999999999998
2025-11-28,1.5712
2025-12-05,1.6208
2025-12-12,1.6968999999999999
2025-12-19,1.6684
2025-12-26,1.7181000000000002
2025-12-31,1.6881
