日期,复权净值
2021-07-21,1.0
2021-07-23,1.0001
2021-07-30,1.0
2021-08-06,1.0024
2021-08-13,1.0395
2021-08-20,1.0118
2021-08-27,1.0571
2021-08-31,1.0695000000000001
2021-09-03,1.0676
2021-09-10,1.1112
2021-09-17,1.095
2021-09-24,1.0836
2021-09-30,1.0352
2021-10-08,1.0317
2021-10-15,1.0117
2021-10-22,1.0152
2021-10-29,1.0013
2021-11-05,0.9822
2021-11-12,1.0154
2021-11-19,1.0293
2021-11-26,1.0591
2021-11-30,1.0692
2021-12-03,1.0734
2021-12-10,1.0567
2021-12-17,1.0584
2021-12-24,1.043
2021-12-31,1.0743
2022-01-07,1.028
2022-01-14,1.0284
2022-01-21,1.0025
2022-01-28,0.9562
2022-02-11,0.9527
2022-02-18,0.9961
2022-02-25,1.0144
2022-02-28,1.0176
2022-03-04,1.0089
2022-03-11,0.9788
2022-03-18,0.9732
2022-03-25,0.9735
2022-03-31,0.9732
2022-04-01,0.9743
2022-04-08,0.9482
2022-04-15,0.9178
2022-04-22,0.8698
2022-04-29,0.8415
2022-05-06,0.8419
2022-05-13,0.8956
2022-05-20,0.9299999999999999
2022-05-27,0.9259
2022-05-31,0.9467
2022-06-02,0.9606
2022-06-10,0.9889
2022-06-17,1.0086
2022-06-24,1.0325
2022-06-30,1.0491
2022-07-01,1.0492
2022-07-08,1.0583
2022-07-15,1.0385
2022-07-22,1.0688
2022-07-29,1.086
2022-08-05,1.0761
2022-08-12,1.1096
2022-08-19,1.119
2022-08-26,1.0836
2022-08-31,1.05
2022-09-02,1.0625
2022-09-09,1.0857
2022-09-16,1.0173
2022-09-23,1.0059
2022-09-30,0.9682
2022-10-14,1.0183
2022-10-21,1.0199
2022-10-28,0.9812
2022-10-31,0.9866
2022-11-04,1.0697
2022-11-11,1.0705
2022-11-18,1.0777
2022-11-25,1.0632
2022-11-30,1.0774
2022-12-02,1.0977999999999999
2022-12-09,1.1046
2022-12-16,1.0845
2022-12-23,1.0334
2022-12-30,1.0542
2023-01-06,1.0948
2023-01-13,1.0963
2023-01-20,1.1288
2023-01-31,1.1426
2023-02-03,1.1623
2023-02-10,1.172
2023-02-17,1.1527
2023-02-24,1.1724999999999999
2023-02-28,1.1751
2023-03-03,1.1795
2023-03-10,1.1496
2023-03-17,1.1364
2023-03-24,1.1687
2023-03-31,1.1669
2023-04-07,1.1862
2023-04-14,1.1884000000000001
2023-04-21,1.1481
2023-04-28,1.1522000000000001
2023-05-05,1.1458
2023-05-12,1.1324
2023-05-19,1.1486
2023-05-26,1.1398
2023-05-31,1.1467
2023-06-02,1.1633
2023-06-09,1.1588
2023-06-16,1.1977
2023-06-21,1.1736
2023-06-30,1.1884000000000001
2023-07-07,1.1789
2023-07-14,1.194
2023-07-21,1.1623
2023-07-28,1.1741
2023-07-31,1.1833
2023-08-04,1.1898
2023-08-11,1.1565
2023-08-18,1.139
2023-08-25,1.1015
2023-08-31,1.1559
2023-09-01,1.1553
2023-09-08,1.1498
2023-09-15,1.1408
2023-09-22,1.1508
2023-09-28,1.1559
2023-10-13,1.1441
2023-10-20,1.1037
2023-10-27,1.1311
2023-10-31,1.1368
2023-11-03,1.1438
2023-11-10,1.173
2023-11-17,1.2024
2023-11-24,1.1993
2023-11-30,1.1945999999999999
2023-12-01,1.208
2023-12-08,1.1811
2023-12-15,1.1903000000000001
2023-12-22,1.1566
2023-12-29,1.1837
2024-01-05,1.165
2024-01-12,1.1509
2024-01-19,1.0921
2024-01-26,1.0884
2024-01-31,0.9568
