日期,单位净值,累计净值,复权净值
2017-03-01,1.0,1.0,1.0
2017-03-02,1.0001,1.0001,1.0001
2017-03-03,1.0,1.0,1.0
2017-03-06,1.0002,1.0002,1.0002
2017-03-07,1.0002,1.0002,1.0002
2017-03-08,1.0002,1.0002,1.0002
2017-03-09,1.0003,1.0003,1.0003
2017-03-10,1.0,1.0,1.0
2017-03-13,1.0004,1.0004,1.0004
2017-03-14,1.0004,1.0004,1.0004
2017-03-15,1.0004,1.0004,1.0004
2017-03-16,1.0005,1.0005,1.0005
2017-03-17,1.001,1.001,1.001
2017-03-20,1.0006,1.0006,1.0006
2017-03-21,1.0006,1.0006,1.0006
2017-03-22,1.0006,1.0006,1.0006
2017-03-23,1.0009,1.0009,1.0009
2017-03-24,1.002,1.002,1.002
2017-03-27,1.003,1.003,1.003
2017-03-28,1.0034,1.0034,1.0034
2017-03-29,1.001,1.001,1.001
2017-03-30,1.001,1.001,1.001
2017-03-31,1.002,1.002,1.002
2017-04-05,1.0026,1.0026,1.0026
2017-04-06,1.0031,1.0031,1.0031
2017-04-07,0.999,0.999,0.999
2017-04-10,0.9977,0.9977,0.9977
2017-04-11,0.9938,0.9938,0.9938
2017-04-12,0.9911,0.9911,0.9911
2017-04-13,0.9897,0.9897,0.9897
2017-04-14,0.99,0.99,0.99
2017-04-17,0.9872,0.9872,0.9872
2017-04-18,0.9856,0.9856,0.9856
2017-04-19,0.9837,0.9837,0.9837
2017-04-20,0.9857,0.9857,0.9857
2017-04-21,0.989,0.989,0.989
2017-04-24,0.9891,0.9891,0.9891
2017-04-25,0.9895,0.9895,0.9895
2017-04-26,0.9885,0.9885,0.9885
2017-04-27,0.9885,0.9885,0.9885
2017-04-28,0.989,0.989,0.989
2017-05-02,0.9912,0.9912,0.9912
2017-05-03,0.9901,0.9901,0.9901
2017-05-04,0.9895,0.9895,0.9895
2017-05-05,0.991,0.991,0.991
2017-05-08,0.9954,0.9954,0.9954
2017-05-09,0.9973,0.9973,0.9973
2017-05-10,0.997,0.997,0.997
2017-05-11,0.9944,0.9944,0.9944
2017-05-12,0.997,0.997,0.997
2017-05-15,0.993,0.993,0.993
2017-05-16,0.9973,0.9973,0.9973
2017-05-17,0.9987,0.9987,0.9987
2017-05-18,1.0013,1.0013,1.0013
2017-05-19,1.002,1.002,1.002
2017-05-22,1.0012,1.0012,1.0012
2017-05-23,0.9988,0.9988,0.9988
2017-05-24,0.9915,0.9915,0.9915
2017-05-25,0.9958,0.9958,0.9958
2017-05-26,0.995,0.995,0.995
2017-05-31,0.995,0.995,0.995
2017-06-01,0.9952,0.9952,0.9952
2017-06-02,0.99,0.99,0.99
2017-06-05,0.9921,0.9921,0.9921
2017-06-06,0.9905,0.9905,0.9905
