复权净值,累计净值,最大回撤,单位净值,涨跌幅,日期,管理人名称,产品代码,产品名称,产品简称,管理人规模,策略类型
1.0,1.0,0.0,1.0,-,2017-05-12,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.0,1.0,0.0,1.0,0.0,2017-05-15,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.0,1.0,0.0,1.0,0.0,2017-05-16,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.0,1.0,0.0,1.0,0.0,2017-05-17,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.0,1.0,0.0,1.0,0.0,2017-05-18,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.0,1.0,0.0,1.0,0.0,2017-05-19,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.0,1.0,0.0,1.0,0.0,2017-05-22,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.0,1.0,0.0,1.0,0.0,2017-05-23,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.0,1.0,0.0,1.0,0.0,2017-05-24,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.0,1.0,0.0,1.0,0.0,2017-05-25,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.0,1.0,0.0,1.0,0.0,2017-05-26,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.0,1.0,0.0,1.0,0.0,2017-05-31,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.0,1.0,0.0,1.0,0.0,2017-06-01,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.0,1.0,0.0,1.0,0.0,2017-06-02,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.0,1.0,0.0,1.0,0.0,2017-06-05,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.0,1.0,0.0,1.0,0.0,2017-06-06,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.0,1.0,0.0,1.0,0.0,2017-06-07,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.0,1.0,0.0,1.0,0.0,2017-06-08,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.0,1.0,0.0,1.0,0.0,2017-06-09,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.0,1.0,0.0,1.0,0.0,2017-06-12,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.0,1.0,0.0,1.0,0.0,2017-06-13,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.0,1.0,0.0,1.0,0.0,2017-06-14,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.0,1.0,0.0,1.0,0.0,2017-06-15,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.0,1.0,0.0,1.0,0.0,2017-06-16,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.001,1.001,0.0,1.001,0.0009999999999998899,2017-06-19,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.001,1.001,0.0,1.001,0.0,2017-06-20,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.001,1.001,0.0,1.001,0.0,2017-06-21,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.001,1.001,0.0,1.001,0.0,2017-06-22,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.001,1.001,0.0,1.001,0.0,2017-06-23,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.001,1.001,0.0,1.001,0.0,2017-06-26,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.001,1.001,0.0,1.001,0.0,2017-06-27,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.001,1.001,0.0,1.001,0.0,2017-06-28,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.001,1.001,0.0,1.001,0.0,2017-06-29,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
