日期,单位净值,累计净值
2017-05-12,1.0,1.0
2017-05-15,1.0,1.0
2017-05-16,1.0,1.0
2017-05-17,1.0,1.0
2017-05-18,1.0,1.0
2017-05-19,1.0,1.0
2017-05-22,1.0,1.0
2017-05-23,1.0,1.0
2017-05-24,1.0,1.0
2017-05-25,1.0,1.0
2017-05-26,1.0,1.0
2017-05-31,1.0,1.0
2017-06-01,1.0,1.0
2017-06-02,1.0,1.0
2017-06-05,1.0,1.0
2017-06-06,1.0,1.0
2017-06-07,1.0,1.0
2017-06-08,1.0,1.0
2017-06-09,1.0,1.0
2017-06-12,1.0,1.0
2017-06-13,1.0,1.0
2017-06-14,1.0,1.0
2017-06-15,1.0,1.0
2017-06-16,1.0,1.0
2017-06-19,1.001,1.001
2017-06-20,1.001,1.001
2017-06-21,1.001,1.001
2017-06-22,1.001,1.001
2017-06-23,1.001,1.001
2017-06-26,1.001,1.001
2017-06-27,1.001,1.001
2017-06-28,1.001,1.001
2017-06-29,1.001,1.001
2017-06-30,1.001,1.001
2017-07-03,1.001,1.001
2017-07-04,1.001,1.001
2017-07-05,1.001,1.001
2017-07-06,1.001,1.001
2017-07-07,0.998,0.998
2017-07-10,1.001,1.001
2017-07-11,1.008,1.008
2017-07-12,1.012,1.012
2017-07-13,1.012,1.012
2017-07-14,1.01,1.01
2017-07-17,1.011,1.011
2017-07-18,1.015,1.015
2017-07-19,1.019,1.019
2017-07-20,1.018,1.018
2017-07-21,1.017,1.017
2017-07-24,1.014,1.014
2017-07-25,1.013,1.013
2017-07-26,1.016,1.016
2017-07-27,1.015,1.015
2017-07-28,1.011,1.011
2017-07-31,1.015,1.015
2017-08-01,1.02,1.02
2017-08-02,1.018,1.018
2017-08-03,1.017,1.017
2017-08-04,1.017,1.017
2017-08-07,1.019,1.019
2017-08-08,1.019,1.019
2017-08-09,1.021,1.021
2017-08-10,1.023,1.023
2017-08-11,1.018,1.018
2017-08-14,1.02,1.02
2017-08-15,1.019,1.019
2017-08-16,1.021,1.021
2017-08-17,1.018,1.018
2017-08-18,1.017,1.017
2017-08-21,1.018,1.018
2017-08-22,1.019,1.019
2017-08-23,1.016,1.016
2017-08-24,1.016,1.016
2017-08-25,1.019,1.019
2017-08-28,1.009,1.009
2017-08-29,1.009,1.009
2017-08-30,1.009,1.009
2017-08-31,1.003,1.003
2017-09-01,1.012,1.012
2017-09-04,1.017,1.017
2017-09-05,1.02,1.02
2017-09-06,1.017,1.017
2017-09-07,1.017,1.017
2017-09-08,1.017,1.017
2017-09-11,1.019,1.019
2017-09-12,1.02,1.02
2017-09-13,1.02,1.02
2017-09-14,1.021,1.021
2017-09-15,1.021,1.021
2017-09-18,1.023,1.023
2017-09-19,1.023,1.023
2017-09-20,1.024,1.024
2017-09-21,1.023,1.023
2017-09-22,1.036,1.036
2017-09-25,1.038,1.038
2017-09-26,1.038,1.038
2017-09-27,1.037,1.037
2017-09-28,1.042,1.042
2017-09-29,1.046,1.046
2017-10-09,1.052,1.052
2017-10-10,1.052,1.052
2017-10-11,1.052,1.052
2017-10-12,1.053,1.053
2017-10-13,1.047,1.047
2017-10-16,1.039,1.039
2017-10-17,1.048,1.048
2017-10-18,1.048,1.048
