日期,复权净值
2017-05-15,1.0
2017-05-19,1.0
2017-05-26,1.0
2017-05-31,0.998
2017-06-02,1.007
2017-06-09,1.005
2017-06-16,0.992
2017-06-23,0.985
2017-06-30,0.999
2017-07-07,1.004
2017-07-14,1.021
2017-07-21,1.037
2017-07-28,1.03
2017-07-31,1.042
2017-08-04,1.051
2017-08-11,1.062
2017-08-18,1.056
2017-08-25,1.08
2017-08-31,1.067
2017-09-01,1.076
2017-09-08,1.068
2017-09-15,1.058
2017-09-22,1.083
2017-09-29,1.095
2017-10-13,1.089
2017-10-20,1.076
2017-10-27,1.072
2017-10-31,1.078
2017-11-03,1.064
2017-11-10,1.067
2017-11-17,1.056
2017-11-24,1.069
2017-11-30,1.071
2017-12-01,1.072
2017-12-08,1.057
2017-12-15,1.047
2017-12-22,1.041
2017-12-29,1.032
2018-01-05,1.031
2018-01-12,1.03
2018-01-19,1.024
2018-01-26,1.026
2018-01-31,1.029
2018-02-02,1.033
2018-02-09,1.057
2018-02-14,1.046
2018-02-23,1.038
2018-02-28,1.045
2018-03-02,1.042
2018-03-09,1.049
2018-03-16,1.058
2018-03-23,1.099
2018-03-30,1.106
2018-04-04,1.097
2018-04-13,1.093
2018-04-20,1.079
2018-04-27,1.079
2018-05-04,1.087
2018-05-11,1.088
2018-05-18,1.098
2018-05-25,1.076
2018-05-31,1.066
2018-06-01,1.069
2018-06-08,1.062
2018-06-15,1.079
2018-06-22,1.078
2018-06-29,1.066
2018-07-06,1.068
2018-07-13,1.069
2018-07-20,1.066
2018-07-27,1.087
2018-07-31,1.104
2018-08-03,1.124
2018-08-10,1.141
2018-08-17,1.168
2018-08-24,1.15
2018-08-31,1.147
2018-09-07,1.138
2018-09-14,1.129
2018-09-21,1.126
2018-09-28,1.126
2018-10-12,1.13
2018-10-19,1.121
2018-10-26,1.127
2018-10-31,1.13
2018-11-02,1.133
2018-11-09,1.134
2018-11-16,1.137
2018-11-23,1.161
2018-11-30,1.18
2018-12-07,1.151
2018-12-14,1.145
2018-12-21,1.15
2018-12-28,1.149
2019-01-04,1.141
2019-01-11,1.135
2019-01-18,1.145
2019-01-25,1.149
2019-01-31,1.161
2019-02-01,1.166
2019-02-15,1.157
2019-02-22,1.152
2019-02-28,1.143
2019-03-01,1.149
2019-03-08,1.101
2019-03-15,1.118
2019-03-22,1.113
2019-03-29,1.131
2019-04-04,1.1400000000000001
2019-04-12,1.159
2019-04-19,1.155
2019-04-26,1.168
2019-04-30,1.179
2019-05-10,1.179
2019-05-17,1.201
2019-05-24,1.223
2019-05-31,1.208
2019-06-06,1.207
2019-06-14,1.202
2019-06-21,1.206
2019-06-28,1.234
2019-07-05,1.2469999999999999
2019-07-12,1.271
2019-07-19,1.251
2019-07-26,1.229
2019-07-31,1.22
2019-08-02,1.221
2019-08-09,1.23
2019-08-16,1.216
2019-08-23,1.215
2019-08-30,1.214
2019-09-06,1.192
2019-09-12,1.187
2019-09-20,1.166
2019-09-27,1.162
2019-09-30,1.163
2019-10-11,1.156
2019-10-18,1.168
2019-10-25,1.168
2019-10-31,1.173
2019-11-01,1.174
2019-11-08,1.177
2019-11-15,1.187
2019-11-22,1.192
2019-11-29,1.189
2019-12-06,1.187
2019-12-13,1.2
2019-12-20,1.193
2019-12-27,1.182
2019-12-31,1.186
2020-01-03,1.188
2020-01-10,1.188
2020-01-17,1.174
2020-01-23,1.171
2020-02-07,1.224
2020-02-14,1.226
2020-02-21,1.2429999999999999
2020-02-28,1.234
2020-03-06,1.236
2020-03-13,1.236
2020-03-20,1.275
2020-03-27,1.289
2020-03-31,1.305
2020-04-03,1.302
2020-04-10,1.277
2020-04-17,1.276
2020-04-24,1.2810000000000001
2020-04-30,1.2650000000000001
2020-05-08,1.284
2020-05-15,1.283
2020-05-22,1.315
2020-05-29,1.32
2020-06-05,1.355
2020-06-12,1.339
2020-06-19,1.339
2020-06-24,1.337
2020-06-30,1.3279999999999998
2020-07-03,1.337
2020-07-10,1.373
2020-07-17,1.381
2020-07-24,1.412
2020-07-31,1.407
