日期,复权净值
2021-10-28,1.0
2021-10-29,1.0
2021-11-05,1.0001
2021-11-12,0.9997
2021-11-19,0.9997
2021-11-26,0.9998
2021-11-30,0.9998
2021-12-03,0.9998
2021-12-10,0.9999
2021-12-17,0.9999
2021-12-24,0.9999
2021-12-31,1.0
2022-01-07,1.0
2022-01-14,1.0001
2022-01-21,0.9764
2022-01-28,0.9729
2022-02-11,0.971
2022-02-18,0.9899
2022-02-25,0.9977
2022-02-28,0.9946
2022-03-04,1.004
2022-03-11,1.0223
2022-03-18,1.0385
2022-03-25,1.0507
2022-03-31,1.0403
2022-04-01,1.031
2022-04-08,1.039
2022-04-15,1.0209
2022-04-22,1.0242
2022-04-29,1.0105
2022-05-06,1.0269
2022-05-13,1.049
2022-05-20,1.0527
2022-05-27,1.0549
2022-05-31,1.0534
2022-06-02,1.052
2022-06-10,1.0445
2022-06-17,1.0498
2022-06-24,1.0558
2022-06-30,1.0614
2022-07-01,1.0612
2022-07-08,1.0607
2022-07-15,1.0781
2022-07-22,1.1068
2022-07-29,1.1112
2022-08-05,1.1082
2022-08-12,1.114
2022-08-19,1.1275
2022-08-26,1.1146
2022-08-31,1.108
2022-09-02,1.1187
2022-09-09,1.114
2022-09-16,1.1185
2022-09-23,1.116
2022-09-30,1.105
2022-10-14,1.1118999999999999
2022-10-21,1.1204
2022-10-28,1.1133
2022-10-31,1.1141
2022-11-04,1.1343
2022-11-11,1.1415
2022-11-18,1.1474
2022-11-25,1.1608
2022-11-30,1.1734
2022-12-02,1.1808
2022-12-09,1.1821
2022-12-16,1.1831
2022-12-23,1.1831
2022-12-30,1.1779
2023-01-06,1.1886
2023-01-13,1.1826
2023-01-20,1.1724999999999999
2023-01-31,1.1824
2023-02-03,1.1902
2023-02-10,1.1872
2023-02-17,1.1898
2023-02-24,1.1872
2023-02-28,1.1832
2023-03-03,1.1901
2023-03-10,1.181
2023-03-17,1.1873
2023-03-24,1.1926999999999999
2023-03-31,1.1856
2023-04-07,1.1928
2023-04-14,1.2032
2023-04-21,1.209
2023-04-28,1.2134
2023-05-05,1.2153
2023-05-12,1.2253
2023-05-19,1.2304
2023-05-26,1.234
2023-05-31,1.24
2023-06-02,1.2417
2023-06-09,1.2599
2023-06-16,1.2689
2023-06-21,1.2747
2023-06-30,1.2799
2023-07-07,1.278
2023-07-14,1.2757
2023-07-21,1.2709
2023-07-28,1.2732999999999999
2023-07-31,1.2734
2023-08-04,1.2717
2023-08-11,1.2719
2023-08-18,1.2692999999999999
2023-08-25,1.2695
2023-08-31,1.2715
2023-09-01,1.2731
2023-09-08,1.2764
2023-09-15,1.2757
2023-09-22,1.2757
2023-09-28,1.2746
2023-10-13,1.2872
2023-10-20,1.2911
2023-10-27,1.2995
2023-10-31,1.3052
2023-11-03,1.2974999999999999
2023-11-10,1.3078
2023-11-17,1.3195000000000001
2023-11-24,1.3153000000000001
2023-11-30,1.3186
2023-12-01,1.3142
2023-12-08,1.3071
2023-12-15,1.3141
2023-12-22,1.3201
2023-12-29,1.321
2024-01-05,1.3325
2024-01-12,1.3525
2024-01-19,1.3716
2024-01-26,1.3604
2024-01-31,1.3621
2024-02-02,1.3728
2024-02-08,1.2423
2024-02-23,1.2681
2024-02-29,1.2671000000000001
2024-03-01,1.2663
2024-03-08,1.2726
2024-03-15,1.2696
2024-03-22,1.2747
2024-03-29,1.292
2024-04-03,1.2852999999999999
2024-04-12,1.2795
2024-04-19,1.2387000000000001
2024-04-26,1.2416
2024-04-30,1.2346
2024-05-10,1.2385
2024-05-17,1.2462
2024-05-24,1.2494
2024-05-31,1.2458
2024-06-07,1.2426
2024-06-14,1.2412
2024-06-21,1.2454
2024-06-28,1.2569
2024-07-05,1.258
2024-07-12,1.254
2024-07-19,1.2564
2024-07-26,1.2559
2024-07-31,1.2451
2024-08-02,1.2481
2024-08-09,1.2512
2024-08-16,1.2619
2024-08-23,1.2592
2024-08-30,1.2499
2024-09-06,1.2574
2024-09-13,1.2527
2024-09-20,1.2610000000000001
2024-09-27,1.2035
2024-09-30,1.2426
2024-10-11,1.2518
2024-10-18,1.2368000000000001
2024-10-25,1.2772000000000001
2024-10-31,1.2752
2024-11-01,1.2718
2024-11-08,1.2967
2024-11-15,1.2997
2024-11-22,1.3127
2024-11-29,1.3314
2024-12-06,1.3449
2024-12-13,1.3588
2024-12-20,1.3547
2024-12-27,1.3463
2024-12-31,1.3465
2025-01-03,1.3442
2025-01-10,1.3446
2025-01-17,1.3497999999999999
2025-01-24,1.3532
2025-01-27,1.3521
2025-02-07,1.3594
2025-02-14,1.3628
2025-02-21,1.3807
2025-02-28,1.3852
2025-03-07,1.4139
2025-03-14,1.4202
2025-03-21,1.4298
2025-03-28,1.428
2025-03-31,1.4325
2025-04-03,1.419
2025-04-11,1.4431
2025-04-18,1.4399
2025-04-25,1.4288
2025-04-30,1.4333
2025-05-09,1.4293
2025-05-16,1.4494
2025-05-23,1.4548
2025-05-30,1.4557
2025-06-06,1.4616
2025-06-13,1.4616
2025-06-20,1.4537
2025-06-27,1.4586999999999999
2025-06-30,1.4624000000000001
2025-07-04,1.4644
2025-07-11,1.4583
2025-07-18,1.4642
2025-07-25,1.4516
2025-07-31,1.4739
2025-08-01,1.4745
2025-08-08,1.4732
2025-08-15,1.4675
2025-08-22,1.4819
2025-08-29,1.4766
2025-09-05,1.4855
2025-09-12,1.4938
2025-09-19,1.5067
2025-09-26,1.4990999999999999
2025-09-30,1.4914
2025-10-10,1.4848
2025-10-17,1.4915
2025-10-24,1.4968
2025-10-31,1.4913
2025-11-07,1.5059
2025-11-14,1.5088
2025-11-21,1.506
