日期,复权净值
2022-01-14,1.0
2022-01-17,1.0
2022-01-18,1.0
2022-01-19,1.0
2022-01-20,1.0
2022-01-21,1.0
2022-01-24,1.0
2022-01-25,1.0
2022-01-26,1.0
2022-01-27,1.0
2022-01-28,1.0
2022-02-07,1.0
2022-02-08,1.0
2022-02-09,1.0
2022-02-10,1.0
2022-02-11,1.0
2022-02-14,0.999
2022-02-15,1.0
2022-02-16,1.002
2022-02-17,1.003
2022-02-18,1.005
2022-02-21,1.0
2022-02-22,0.998
2022-02-23,1.001
2022-02-24,1.002
2022-02-25,1.003
2022-02-28,1.003
2022-03-01,0.997
2022-03-02,0.984
2022-03-03,0.976
2022-03-04,0.98
2022-03-07,0.988
2022-03-08,0.982
2022-03-09,0.979
2022-03-10,0.989
2022-03-11,0.991
2022-03-14,0.988
2022-03-15,0.989
2022-03-16,0.987
2022-03-17,0.989
2022-03-18,0.985
2022-03-21,0.98
2022-03-22,0.973
2022-03-23,0.969
2022-03-24,0.966
2022-03-25,0.972
2022-03-28,0.972
2022-03-29,0.982
2022-03-30,0.982
2022-03-31,0.986
2022-04-01,0.98
2022-04-06,0.996
2022-04-07,0.999
2022-04-08,1.004
2022-04-11,1.01
2022-04-12,1.011
2022-04-13,1.011
2022-04-14,1.015
2022-04-15,1.003
2022-04-18,1.016
2022-04-19,1.011
2022-04-20,1.013
2022-04-21,1.014
2022-04-22,1.016
2022-04-25,1.027
2022-04-26,1.03
2022-04-27,1.034
2022-04-28,1.027
2022-04-29,1.035
2022-05-05,1.04
2022-05-06,1.055
2022-05-09,1.051
2022-05-10,1.048
2022-05-11,1.05
2022-05-12,1.055
2022-05-13,1.057
2022-05-16,1.056
2022-05-17,1.058
2022-05-18,1.059
2022-05-19,1.062
2022-05-20,1.063
2022-05-23,1.062
2022-05-24,1.061
2022-05-25,1.065
2022-05-26,1.06
2022-05-27,1.065
2022-05-30,1.054
2022-05-31,1.066
2022-06-01,1.075
2022-06-02,1.061
2022-06-06,1.073
2022-06-07,1.066
2022-06-08,1.058
2022-06-09,1.079
2022-06-10,1.08
2022-06-13,1.08
2022-06-14,1.081
2022-06-15,1.084
2022-06-16,1.085
2022-06-17,1.085
2022-06-20,1.09
2022-06-21,1.089
2022-06-22,1.09
2022-06-23,1.088
2022-06-24,1.094
2022-06-27,1.083
2022-06-28,1.086
2022-06-29,1.097
2022-06-30,1.093
2022-07-01,1.098
2022-07-04,1.099
2022-07-05,1.099
2022-07-06,1.101
2022-07-07,1.106
2022-07-08,1.1
2022-07-11,1.092
2022-07-12,1.088
2022-07-13,1.073
2022-07-14,1.079
2022-07-15,1.078
2022-07-18,1.09
2022-07-19,1.084
2022-07-20,1.074
2022-07-21,1.084
2022-07-22,1.085
2022-07-25,1.087
2022-07-26,1.088
2022-07-27,1.086
2022-07-28,1.087
2022-07-29,1.098
2022-08-01,1.101
2022-08-02,1.097
2022-08-03,1.102
2022-08-04,1.105
2022-08-05,1.107
2022-08-08,1.111
2022-08-09,1.113
2022-08-10,1.115
2022-08-11,1.115
2022-08-12,1.113
2022-08-15,1.113
2022-08-16,1.11
2022-08-17,1.112
2022-08-18,1.112
2022-08-19,1.109
2022-08-22,1.114
2022-08-23,1.107
2022-08-24,1.117
2022-08-25,1.121
2022-08-26,1.114
2022-08-29,1.107
2022-08-30,1.112
2022-08-31,1.114
2022-09-01,1.117
2022-09-02,1.1219999999999999
2022-09-05,1.123
2022-09-06,1.126
2022-09-07,1.1280000000000001
2022-09-08,1.1320000000000001
2022-09-09,1.127
2022-09-13,1.131
2022-09-14,1.131
2022-09-15,1.1299000000000001
2022-09-16,1.1255
2022-09-19,1.1244
2022-09-20,1.1244
2022-09-21,1.1277
2022-09-22,1.1288
2022-09-23,1.1266
2022-09-26,1.1244
2022-09-27,1.1211
2022-09-28,1.1189
2022-09-29,1.1134
2022-09-30,1.1167
2022-10-10,1.1332
2022-10-11,1.1332
2022-10-12,1.131
2022-10-13,1.1266
2022-10-14,1.1365
2022-10-17,1.1365
2022-10-18,1.1398
2022-10-19,1.1354
2022-10-20,1.1354
2022-10-21,1.1442
2022-10-24,1.1464
2022-10-25,1.1464
2022-10-26,1.1507
2022-10-27,1.1529
2022-10-28,1.1529
2022-10-31,1.154
2022-11-01,1.1562000000000001
2022-11-02,1.1551
2022-11-03,1.1551
2022-11-04,1.1595
2022-11-07,1.1595
2022-11-08,1.1583999999999999
2022-11-09,1.1606
2022-11-10,1.1617
2022-11-11,1.1617
2022-11-14,1.1617
2022-11-15,1.1617
2022-11-16,1.1617
2022-11-17,1.1617
2022-11-18,1.1617
2022-11-21,1.1617
2022-11-22,1.1639
2022-11-23,1.1617
2022-11-24,1.1595
2022-11-25,1.1606
2022-11-28,1.1551
2022-11-29,1.1551
2022-11-30,1.1409
2022-12-01,1.1409
2022-12-02,1.1409
2022-12-05,1.1409
2022-12-06,1.1486
2022-12-07,1.154
2022-12-08,1.1529
2022-12-09,1.1551
2022-12-12,1.1562000000000001
2022-12-13,1.1573
2022-12-14,1.1464
2022-12-15,1.1628
2022-12-16,1.1683
2022-12-19,1.1683
2022-12-20,1.1716
2022-12-21,1.1694
2022-12-22,1.1716
2022-12-23,1.1694
2022-12-26,1.1749
2022-12-27,1.1782
2022-12-28,1.1771
2022-12-29,1.1727
2022-12-30,1.176
2023-01-03,1.1705
2023-01-04,1.1716
2023-01-05,1.1716
2023-01-06,1.1694
2023-01-09,1.1694
2023-01-10,1.176
2023-01-11,1.1749
2023-01-12,1.1749
2023-01-13,1.1804000000000001
2023-01-16,1.1782
2023-01-17,1.176
2023-01-18,1.1804000000000001
2023-01-19,1.1793
2023-01-20,1.1815
2023-01-30,1.1826
2023-01-31,1.1837
2023-02-01,1.1826
2023-02-02,1.1869
2023-02-03,1.1924
2023-02-06,1.1968
2023-02-07,1.1935
2023-02-08,1.1945999999999999
2023-02-09,1.1957
2023-02-10,1.1945999999999999
2023-02-13,1.199
2023-02-14,1.199
2023-02-15,1.1968
2023-02-16,1.1945999999999999
2023-02-17,1.199
2023-02-20,1.199
2023-02-21,1.1968
2023-02-22,1.1945999999999999
2023-02-23,1.1913
2023-02-24,1.1902
2023-02-27,1.1891
2023-02-28,1.1891
2023-03-01,1.1924
2023-03-02,1.1945999999999999
2023-03-03,1.199
2023-03-06,1.199
2023-03-07,1.2023
2023-03-08,1.2012
2023-03-09,1.2045
2023-03-10,1.2034
2023-03-13,1.2023
2023-03-14,1.2023
2023-03-15,1.2023
2023-03-16,1.2034
2023-03-17,1.2067
2023-03-20,1.2023
2023-03-21,1.2023
2023-03-22,1.2045
2023-03-23,1.2012
2023-03-24,1.2034
2023-03-27,1.2001
2023-03-28,1.2012
2023-03-29,1.2034
2023-03-30,1.2001
2023-03-31,1.1957
2023-04-03,1.2034
2023-04-04,1.2089
2023-04-06,1.2089
2023-04-07,1.2078
2023-04-10,1.2078
2023-04-11,1.2078
2023-04-12,1.2111
2023-04-13,1.2133
