日期,单位净值,累计净值,复权净值
2022-08-25,1.0,1.0,1.0
2022-08-26,1.0001,1.0001,1.0001
2022-09-02,0.9998,0.9998,0.9998
2022-09-09,1.0006,1.0006,1.0006
2022-09-16,0.9728,0.9728,0.9728
2022-09-23,0.9808,0.9808,0.9808
2022-09-30,0.9577,0.9577,0.9577
2022-10-10,0.9826,0.9826,0.9826
2022-10-14,0.9743,0.9743,0.9743
2022-10-21,0.9864,0.9864,0.9864
2022-10-28,1.0369,1.0369,1.0369
2022-11-04,1.0487,1.0487,1.0487
2022-11-11,1.0493,1.0493,1.0493
2022-11-18,1.0608,1.0608,1.0608
2022-11-25,1.0823,1.0823,1.0823
2022-12-02,1.0196,1.0196,1.0196
2022-12-09,1.0108,1.0108,1.0108
2022-12-14,1.0103,1.0103,1.0103
2022-12-16,0.9975,0.9975,0.9975
2022-12-23,1.0586,1.0586,1.0586
2022-12-30,1.0324,1.0324,1.0324
2023-01-06,1.025,1.025,1.025
2023-01-12,1.0284,1.0284,1.0284
2023-01-13,1.0545,1.0545,1.0545
2023-01-20,1.0928,1.0928,1.0928
2023-01-30,1.1083,1.1083,1.1083
2023-02-03,1.1164,1.1164,1.1164
2023-02-10,1.0977,1.0977,1.0977
2023-02-17,1.0607,1.0607,1.0607
2023-02-24,1.037,1.037,1.037
2023-03-03,1.0334,1.0334,1.0334
2023-03-10,1.0033,1.0033,1.0033
2023-03-17,0.953,0.953,0.953
2023-03-24,0.9651,0.9651,0.9651
2023-03-31,0.9569,0.9569,0.9569
2023-04-06,0.9751,0.9751,0.9751
2023-04-07,0.9929,0.9929,0.9929
2023-04-14,0.9867,0.9867,0.9867
2023-04-21,1.0256,1.0256,1.0256
2023-04-28,1.0765,1.0765,1.0765
2023-05-05,1.0766,1.0766,1.0766
2023-05-12,1.0581,1.0581,1.0581
2023-05-19,1.0604,1.0604,1.0604
2023-05-26,1.0404,1.0404,1.0404
2023-06-02,1.0412,1.0412,1.0412
2023-06-09,1.052,1.052,1.052
2023-06-16,1.1001,1.1001,1.1001
2023-06-21,1.0897,1.0897,1.0897
2023-06-26,1.1195,1.1195,1.1195
2023-06-30,1.0835,1.0835,1.0835
2023-07-07,1.0521,1.0521,1.0521
2023-07-14,1.0652,1.0652,1.0652
2023-07-21,1.0384,1.0384,1.0384
2023-07-28,1.0676,1.0676,1.0676
2023-08-04,1.0684,1.0684,1.0684
2023-08-11,1.1036,1.1036,1.1036
2023-08-16,1.1036,1.1036,1.1036
2023-08-17,1.1036,1.1036,1.1036
