日期,复权净值
2022-08-25,1.0
2022-08-26,1.0
2022-08-31,0.9997
2022-09-02,0.9997
2022-09-09,1.0005
2022-09-16,0.9723
2022-09-23,0.9803
2022-09-30,0.9573
2022-10-14,0.9733
2022-10-21,0.9854
2022-10-28,1.0359
2022-10-31,1.0464
2022-11-04,1.0477
2022-11-11,1.0482
2022-11-18,1.0597
2022-11-25,1.0813
2022-11-30,1.0366
2022-12-02,1.0185
2022-12-09,1.0098
2022-12-16,0.9962
2022-12-23,1.0572
2022-12-30,1.0311
2023-01-06,1.0236
2023-01-13,1.0531
2023-01-20,1.0907
2023-01-31,1.0819
2023-02-03,1.1143
2023-02-10,1.0956
2023-02-17,1.0587
2023-02-24,1.0351
2023-02-28,1.0342
2023-03-03,1.0315
2023-03-10,1.0014
2023-03-17,0.9512
2023-03-24,0.9633
2023-03-31,0.9551
2023-04-07,0.9917
2023-04-14,0.9857
2023-04-21,1.0245
2023-04-28,1.0754
2023-05-05,1.0755
2023-05-12,1.057
2023-05-19,1.0596
2023-05-26,1.0395
2023-05-31,1.0349
2023-06-02,1.0404
2023-06-09,1.0512
2023-06-16,1.0992
2023-06-21,1.0888
2023-06-30,1.0826
2023-07-07,1.0513
2023-07-14,1.0643
2023-07-21,1.0376
2023-07-28,1.0668
2023-07-31,1.0569
2023-08-04,1.0675
2023-08-11,1.1027
2023-08-18,1.1511
2023-08-25,1.2118
2023-08-31,1.1762000000000001
2023-09-01,1.1813
2023-09-08,1.1643
2023-09-15,1.1432
2023-09-22,1.1745
2023-09-28,1.1567
2023-10-13,1.1557
2023-10-20,1.2006000000000001
2023-10-27,1.1683
2023-10-31,1.1885
2023-11-03,1.1855
2023-11-10,1.1961
2023-11-17,1.182
2023-11-24,1.2094
2023-11-30,1.2358
2023-12-01,1.209
2023-12-08,1.2449
2023-12-15,1.2514
2023-12-22,1.3048
2023-12-29,1.3091
2024-01-05,1.3202
2024-01-12,1.3517000000000001
2024-01-19,1.3812
2024-01-26,1.4011
2024-01-31,1.4424000000000001
2024-02-02,1.4749
2024-02-08,1.6122999999999998
2024-02-23,1.619
2024-02-27,1.6212
2024-02-29,1.6009
2024-03-01,1.6158000000000001
2024-03-08,1.6206
2024-03-15,1.6075
2024-03-22,1.6273
2024-03-29,1.6097000000000001
2024-04-03,1.5984
2024-04-12,1.5804
2024-04-19,1.577
2024-04-26,1.603
2024-04-30,1.6360999999999999
2024-05-10,1.5909
2024-05-17,1.6004999999999998
2024-05-24,1.6467
2024-05-31,1.6162
2024-06-07,1.6206
2024-06-14,1.5657
2024-06-21,1.6139999999999999
2024-06-28,1.6148
2024-07-05,1.6134
2024-07-12,1.5882
2024-07-19,1.6261
2024-07-26,1.6873
2024-07-31,1.6848
2024-08-02,1.6646999999999998
2024-08-09,1.6724
2024-08-16,1.6568
2024-08-23,1.6653
2024-08-30,1.7163
2024-09-06,1.8245999999999998
2024-09-13,1.8109000000000002
2024-09-20,1.8369
2024-09-27,1.9148
2024-09-30,2.0575
2024-10-11,2.1841999999999997
2024-10-18,2.1135
2024-10-25,2.0957
2024-10-31,2.0071
2024-11-01,1.9857
2024-11-08,1.9753
2024-11-15,1.9751
2024-11-22,1.9577
2024-11-29,1.9017
2024-12-06,1.9139
2024-12-13,1.8425
2024-12-20,1.9492
2024-12-27,1.9272
2024-12-31,1.9616
2025-01-03,2.0739
2025-01-10,2.0895
2025-01-17,2.0799
2025-01-24,2.0296
2025-01-27,2.0218
2025-02-07,2.0423
2025-02-14,2.0372
2025-02-21,2.0454
2025-02-28,2.0289
2025-03-07,2.0102
2025-03-14,2.0195
2025-03-21,2.028
2025-03-28,1.9794
2025-03-31,2.0143
2025-04-03,1.9773
2025-04-11,2.1215
2025-04-18,2.1228
2025-04-25,2.0802
2025-04-30,2.115
2025-05-09,2.1394
2025-05-16,2.0202
2025-05-23,2.0156
2025-05-30,2.1035
2025-06-06,2.1119
2025-06-13,2.1209
2025-06-20,2.1008
2025-06-27,2.1417
2025-06-30,2.1390000000000002
2025-07-04,2.0856000000000003
2025-07-11,2.0808
2025-07-18,2.0917000000000003
2025-07-25,2.1711
2025-07-31,2.0616
2025-08-01,2.0593000000000004
2025-08-08,2.075
2025-08-15,2.153
2025-08-22,2.214
2025-08-29,2.238
2025-09-05,2.2478
2025-09-12,2.3237
