日期,复权净值
2022-03-24,1.0
2022-03-25,1.0001
2022-03-31,1.0003
2022-04-01,1.0004
2022-04-08,1.0007
2022-04-15,1.0009
2022-04-22,1.0024
2022-04-29,1.006
2022-05-06,1.0067
2022-05-13,1.0084
2022-05-20,1.0092
2022-05-27,1.0149
2022-05-31,1.0168
2022-06-02,1.0171
2022-06-10,1.0176
2022-06-17,1.0173
2022-06-24,1.0189
2022-06-30,1.0175
2022-07-01,1.0212
2022-07-08,1.0262
2022-07-15,1.0319
2022-07-22,1.0345
2022-07-29,1.0292
2022-08-05,1.0377
2022-08-12,1.041
2022-08-19,1.0479
2022-08-26,1.0502
2022-08-31,1.0478
2022-09-02,1.0492
2022-09-09,1.0568
2022-09-16,1.063
2022-09-23,1.063
2022-09-30,1.0731
2022-10-14,1.0855
2022-10-21,1.0771
2022-10-28,1.077
2022-10-31,1.0794
2022-11-04,1.0793
2022-11-11,1.0756000000000001
2022-11-18,1.0786
2022-11-25,1.0765
2022-11-30,1.0769
2022-12-02,1.0759
2022-12-09,1.0819
2022-12-16,1.0776
2022-12-23,1.0792
2022-12-30,1.0813
2023-01-06,1.0852
2023-01-13,1.087
2023-01-20,1.0916
2023-01-31,1.0876
2023-02-03,1.09
2023-02-10,1.093
2023-02-17,1.0932
2023-02-24,1.0923
2023-02-28,1.0928
2023-03-03,1.0933
2023-03-10,1.0935
2023-03-17,1.0882
2023-03-24,1.0937
2023-03-31,1.0956
2023-04-07,1.0953
2023-04-14,1.0954
2023-04-21,1.0901
2023-04-28,1.081
2023-05-05,1.0814
2023-05-12,1.0803
2023-05-19,1.0846
2023-05-26,1.0847
2023-05-31,1.087
2023-06-02,1.0925
2023-06-09,1.0965
2023-06-16,1.1005
2023-06-21,1.1005
2023-06-30,1.0984
2023-07-07,1.0995
2023-07-14,1.101
2023-07-21,1.0957
2023-07-28,1.0988
2023-07-31,1.0997
2023-08-04,1.102
2023-08-11,1.0994
2023-08-18,1.0979
2023-08-25,1.0987
2023-08-31,1.1028
2023-09-01,1.1019
2023-09-08,1.1015
2023-09-15,1.1
2023-09-22,1.0996
2023-09-28,1.1
2023-10-13,1.1033
2023-10-20,1.1036
2023-10-27,1.1035
2023-10-31,1.1054
2023-11-03,1.1028
2023-11-10,1.1047
2023-11-17,1.1056
2023-11-24,1.1073
2023-11-30,1.1099
2023-12-01,1.1064
2023-12-08,1.1161
2023-12-15,1.1333
2023-12-22,1.129
2023-12-29,1.1292
2024-01-05,1.1265
2024-01-12,1.1329
2024-01-19,1.1328
2024-01-26,1.1318
2024-01-31,1.1304
2024-02-02,1.1305
2024-02-08,1.1323
2024-02-23,1.1341
2024-02-29,1.1357
2024-03-01,1.1356
2024-03-08,1.1373
2024-03-15,1.1400000000000001
2024-03-22,1.1400000000000001
2024-03-29,1.1414
2024-04-03,1.1442
2024-04-12,1.1433
2024-04-19,1.1449
2024-04-26,1.151
2024-04-30,1.1525
2024-05-10,1.1601
2024-05-17,1.1609
2024-05-24,1.1635
2024-05-31,1.1629
2024-06-07,1.1699
2024-06-14,1.1691
2024-06-21,1.1713
2024-06-28,1.1702
2024-07-05,1.1705
2024-07-12,1.1716
2024-07-19,1.1731
2024-07-26,1.1779
2024-07-31,1.1789
2024-08-02,1.1776
2024-08-09,1.1753
2024-08-16,1.1855
2024-08-23,1.183
2024-08-30,1.1814
2024-09-06,1.1852
2024-09-13,1.1862
2024-09-20,1.1872
2024-09-27,1.1902
2024-09-30,1.195
2024-10-11,1.2046999999999999
2024-10-18,1.2065
2024-10-25,1.2092
2024-10-31,1.2099
2024-11-01,1.2095
2024-11-08,1.2086000000000001
2024-11-15,1.2096
2024-11-22,1.2115
2024-11-29,1.2117
2024-12-06,1.2117
2024-12-13,1.2116
2024-12-20,1.2117
2024-12-27,1.2143
2024-12-31,1.2141
2025-01-03,1.2158
2025-01-10,1.2199
2025-01-17,1.2206
2025-01-24,1.2208999999999999
2025-01-27,1.2216
2025-02-07,1.2192
2025-02-14,1.2191
2025-02-21,1.2206
2025-02-28,1.2182
2025-03-07,1.2219
2025-03-14,1.2187999999999999
2025-03-21,1.2234
2025-03-28,1.2273
2025-03-31,1.2284
2025-04-03,1.2262
2025-04-11,1.2286
2025-04-18,1.2324
2025-04-25,1.2341
2025-04-30,1.2342
2025-05-09,1.2377
2025-05-16,1.2389999999999999
2025-05-23,1.2405
2025-05-30,1.2424
2025-06-06,1.2396
2025-06-13,1.2410999999999999
2025-06-20,1.2419
2025-06-27,1.2446
2025-06-30,1.2455
2025-07-04,1.2471999999999999
2025-07-11,1.2511
2025-07-18,1.2514
2025-07-25,1.2503
2025-07-31,1.2517
2025-08-01,1.2516
2025-08-08,1.2545
2025-08-15,1.2558
2025-08-22,1.2619
2025-08-29,1.2612
2025-09-05,1.262
2025-09-12,1.2650000000000001
2025-09-19,1.2636
2025-09-26,1.2654
2025-09-30,1.2657
2025-10-10,1.2719
2025-10-17,1.2664
2025-10-24,1.2715
