日期,复权净值
2022-09-20,1.0
2022-09-23,0.9999
2022-09-30,0.999
2022-10-14,1.0164
2022-10-21,1.0186
2022-10-28,0.9992
2022-10-31,0.9981
2022-11-04,1.0168
2022-11-11,1.0048
2022-11-18,1.0019
2022-11-25,1.0083
2022-11-30,1.0012
2022-12-02,0.992
2022-12-09,0.989
2022-12-16,0.9919
2022-12-23,1.0047
2022-12-30,1.0075
2023-01-06,1.0138
2023-01-13,1.0152
2023-01-20,1.0204
2023-01-31,1.0198
2023-02-03,1.0207
2023-02-10,1.0199
2023-02-17,1.0086
2023-02-24,1.0209
2023-02-28,1.0166
2023-03-03,1.0106
2023-03-10,1.021
2023-03-17,1.0181
2023-03-24,1.0236
2023-03-31,1.0203
2023-04-07,1.0143
2023-04-14,1.0119
2023-04-21,1.0359
2023-04-28,1.0376
2023-05-05,1.0376
2023-05-12,1.0311
2023-05-19,1.0389
2023-05-26,1.0219
2023-05-31,1.0175
2023-06-02,1.0141
2023-06-09,1.0156
2023-06-16,1.0357
2023-06-21,1.0383
2023-06-30,1.0355
2023-07-07,1.0151
2023-07-14,1.0218
2023-07-21,1.0232
2023-07-28,1.0404
2023-07-31,1.0445
2023-08-04,1.0483
2023-08-11,1.0612
2023-08-18,1.0751
2023-08-25,1.0697
2023-08-31,1.0966
2023-09-01,1.0986
2023-09-08,1.1005
2023-09-15,1.1034
2023-09-22,1.1115
2023-09-28,1.115
2023-10-13,1.0997
2023-10-20,1.0975
2023-10-27,1.1135
2023-10-31,1.1168
2023-11-03,1.1206
2023-11-10,1.1241
2023-11-17,1.1197
2023-11-24,1.1233
2023-11-30,1.124
2023-12-01,1.119
2023-12-08,1.1256
2023-12-14,1.1226
2023-12-15,1.1174
2023-12-22,1.1135
2023-12-29,1.1185
2024-01-05,1.1184
2024-01-12,1.1197
2024-01-19,1.1202
2024-01-26,1.1436
2024-01-31,1.1229
2024-02-02,1.1144
2024-02-08,1.1547
2024-02-23,1.1672
2024-02-29,1.1844000000000001
2024-03-01,1.188
2024-03-08,1.1881
2024-03-15,1.1802
2024-03-22,1.1907
2024-03-29,1.2008
2024-04-03,1.2025000000000001
2024-04-12,1.2015
2024-04-19,1.2056
2024-04-26,1.2015
2024-04-30,1.2088
2024-05-10,1.2073
2024-05-17,1.2094
2024-05-24,1.2077
2024-05-29,1.204
2024-05-31,1.1999
2024-06-07,1.1781
2024-06-14,1.1813
2024-06-21,1.1791
2024-06-28,1.1671
2024-07-05,1.1739
2024-07-12,1.1785
2024-07-19,1.1693
2024-07-26,1.18
2024-07-31,1.1976
2024-08-02,1.1955
2024-08-09,1.1833
2024-08-16,1.1945999999999999
2024-08-23,1.1885
2024-08-30,1.1824
2024-09-06,1.1774
2024-09-13,1.1599
2024-09-20,1.1642000000000001
2024-09-27,1.2189999999999999
2024-09-30,1.2422
2024-10-11,1.277
2024-10-18,1.3218
2024-10-25,1.3164
2024-10-31,1.3014000000000001
2024-11-01,1.3052
2024-11-08,1.3101
2024-11-15,1.2974999999999999
2024-11-22,1.2939
2024-11-27,1.2924
2024-11-29,1.2993000000000001
2024-12-06,1.3094000000000001
2024-12-13,1.3169
2024-12-20,1.3226
2024-12-27,1.3206
2024-12-31,1.3175
2025-01-03,1.3201
2025-01-10,1.3157999999999999
2025-01-17,1.3121
2025-01-24,1.3107
2025-01-27,1.307
2025-02-07,1.327
2025-02-14,1.333
2025-02-21,1.3306
2025-02-28,1.3299
2025-03-07,1.3342
2025-03-14,1.3436
2025-03-21,1.3458
2025-03-28,1.3399
2025-03-31,1.3401
2025-04-03,1.3459
2025-04-11,1.3157
2025-04-18,1.3198
2025-04-25,1.3301
2025-04-30,1.3326
2025-05-09,1.3334000000000001
2025-05-16,1.3368
2025-05-22,1.3306
2025-05-23,1.3271
2025-05-30,1.3235000000000001
2025-06-06,1.3307
2025-06-13,1.334
2025-06-20,1.3346
2025-06-27,1.3458
2025-06-30,1.3423
2025-07-04,1.3389
2025-07-11,1.3404
2025-07-18,1.3452
2025-07-25,1.3705
2025-07-31,1.366
2025-08-01,1.3666
2025-08-08,1.3894
2025-08-15,1.4043999999999999
2025-08-22,1.4301
2025-08-29,1.4383
2025-09-05,1.4447999999999999
2025-09-12,1.4672
2025-09-19,1.4485000000000001
2025-09-26,1.4622
2025-09-30,1.4799
