日期,复权净值
2023-03-31,1.0
2023-04-07,1.0001
2023-04-14,0.9999
2023-04-21,0.9986
2023-04-28,1.004
2023-05-05,1.0063
2023-05-12,0.9723
2023-05-19,0.9345
2023-05-26,0.9405
2023-05-31,0.9436
2023-06-02,0.9276
2023-06-09,0.9366
2023-06-16,0.95
2023-06-21,0.9299999999999999
2023-06-30,0.9236
2023-07-07,0.9317
2023-07-14,0.9604
2023-07-21,0.9489
2023-07-28,0.9642
2023-07-31,0.9678
2023-08-04,0.9613
2023-08-11,0.9542
2023-08-18,0.963
2023-08-25,0.9724
2023-08-31,0.9717
2023-09-01,0.9851
2023-09-08,0.9669
2023-09-15,0.9892
2023-09-22,0.9562
2023-09-28,0.933
2023-10-13,0.8904
2023-10-20,0.8923
2023-10-27,0.9003
2023-10-31,0.9114
2023-11-03,0.9165
2023-11-10,0.9615
2023-11-17,0.9652000000000001
2023-11-24,0.9623
2023-11-30,0.956
2023-12-01,0.9601
2023-12-08,0.9588
2023-12-15,0.9592
2023-12-22,0.9755
2023-12-29,0.9743
2024-01-05,0.9878
2024-01-12,0.9769
2024-01-19,0.9561
2024-01-26,0.9923
2024-01-31,0.9706
2024-02-02,0.9535
2024-02-08,1.0059
2024-02-23,1.0235
2024-02-29,1.023
2024-03-01,1.027
2024-03-08,1.0258
2024-03-15,1.023
2024-03-22,0.9915
2024-03-29,0.9843
2024-04-03,1.0432
2024-04-12,1.0251
2024-04-19,1.1199
2024-04-26,1.0845
2024-04-30,1.0813
2024-05-10,1.1373
2024-05-17,1.141
2024-05-24,1.1522000000000001
2024-05-31,1.129
2024-06-07,1.1437
2024-06-14,1.1128
2024-06-21,1.1343
2024-06-28,1.161
2024-07-05,1.1653
2024-07-12,1.1943
2024-07-19,1.1844999999999999
2024-07-26,1.1862
2024-07-31,1.2069
2024-08-02,1.198
2024-08-09,1.2003
2024-08-16,1.2483
2024-08-23,1.2541
2024-08-30,1.2403
2024-09-06,1.2703
2024-09-13,1.278
2024-09-20,1.2952
2024-09-27,1.3256000000000001
2024-09-30,1.336
2024-10-11,1.3269
2024-10-18,1.3137
2024-10-25,1.2777
2024-10-31,1.2607
2024-11-01,1.2709
2024-11-08,1.2424
2024-11-15,1.2551
2024-11-22,1.2539
2024-11-29,1.2523
2024-12-06,1.2922
2024-12-13,1.2823
2024-12-20,1.3069
2024-12-27,1.315
2024-12-31,1.3166
2025-01-03,1.3271
2025-01-10,1.3482
2025-01-17,1.3286
2025-01-24,1.3152
2025-01-27,1.3111
2025-02-07,1.3217
2025-02-14,1.3373
2025-02-21,1.311
2025-02-28,1.3057
2025-03-07,1.3371
2025-03-14,1.3688
2025-03-21,1.3792
2025-03-28,1.3622
2025-03-31,1.3771
2025-04-03,1.3687
2025-04-11,1.3599
2025-04-18,1.3935
2025-04-25,1.3938000000000001
2025-04-30,1.4085
2025-05-09,1.4262
2025-05-16,1.4181
2025-05-23,1.4349
2025-05-30,1.4804
2025-06-06,1.4978
2025-06-13,1.5074999999999998
2025-06-20,1.5099
2025-06-27,1.4889999999999999
2025-06-30,1.4868999999999999
2025-07-04,1.4644
2025-07-11,1.4406
2025-07-18,1.4467
2025-07-25,1.3864
2025-07-31,1.3949
2025-08-01,1.4075
2025-08-08,1.4056
2025-08-15,1.3906
2025-08-22,1.4226
2025-08-29,1.4304999999999999
2025-09-05,1.4443
2025-09-12,1.4402
2025-09-19,1.41
2025-09-26,1.429
2025-09-30,1.4601
2025-10-10,1.4832
2025-10-17,1.5266
2025-10-24,1.4818
2025-10-31,1.4795
2025-11-07,1.4764
2025-11-14,1.5030000000000001
2025-11-21,1.5333
2025-11-28,1.5303
