日期,单位净值,累计净值,复权净值
2023-04-26,1.0,1.0,1.0
2023-04-28,1.0001,1.0001,1.0001
2023-05-05,1.0002,1.0002,1.0002
2023-05-12,1.0003,1.0003,1.0003
2023-05-19,1.0003,1.0003,1.0003
2023-05-26,1.0005,1.0005,1.0005
2023-05-31,1.0006,1.0006,1.0006
2023-06-02,1.0007,1.0007,1.0007
2023-06-09,1.0009,1.0009,1.0009
2023-06-16,1.0018,1.0018,1.0018
2023-06-21,0.9982,0.9982,0.9982
2023-06-30,1.0049,1.0049,1.0049
2023-07-07,1.0047,1.0047,1.0047
2023-07-14,0.9979,0.9979,0.9979
2023-07-21,0.9984,0.9984,0.9984
2023-07-28,0.9993,0.9993,0.9993
2023-07-31,0.9998,0.9998,0.9998
2023-08-04,1.0011,1.0011,1.0011
2023-08-11,1.0013,1.0013,1.0013
2023-08-18,1.0018,1.0018,1.0018
2023-08-25,1.003,1.003,1.003
2023-08-31,1.0073,1.0073,1.0073
2023-09-01,1.0078,1.0078,1.0078
2023-09-08,1.0094,1.0094,1.0094
2023-09-15,1.0128,1.0128,1.0128
2023-09-22,1.0121,1.0121,1.0121
2023-09-28,1.0118,1.0118,1.0118
2023-10-13,1.017,1.017,1.017
2023-10-20,1.0186,1.0186,1.0186
2023-10-27,1.0197,1.0197,1.0197
2023-10-31,1.021,1.021,1.021
2023-11-03,1.0208,1.0208,1.0208
2023-11-10,1.0226,1.0226,1.0226
2023-11-17,1.0222,1.0222,1.0222
2023-11-24,1.0228,1.0228,1.0228
2023-11-30,1.0228,1.0228,1.0228
2023-12-01,1.0233,1.0233,1.0233
2023-12-08,1.0216,1.0216,1.0216
2023-12-15,1.021,1.021,1.021
2023-12-22,1.0198,1.0198,1.0198
2023-12-26,1.0143,1.0197,1.0197
2023-12-29,1.0144,1.0198,1.01980053
2024-01-05,1.0148,1.0202,1.02020266
2024-01-12,1.0155,1.0209,1.02090639
2024-01-19,1.0187,1.0241,1.02412343
2024-01-26,1.0221,1.0275,1.02754153
2024-01-31,1.023,1.0284,1.02844632
2024-02-02,1.0257,1.0311,1.03116069
2024-02-08,1.0634,1.0688,1.0690614
2024-02-23,1.0676,1.073,1.07328376
2024-02-29,1.0707,1.0761,1.07640027
2024-03-01,1.0695,1.0749,1.07519388
2024-03-08,1.0706,1.076,1.07629973
2024-03-15,1.0707,1.0761,1.07640027
2024-03-22,1.0703,1.0757,1.07599814
2024-03-29,1.0717,1.0771,1.07740559
2024-04-03,1.071,1.0764,1.07670186
2024-04-12,1.0709,1.0763,1.07660133
2024-04-19,1.0716,1.077,1.07730506
2024-04-26,1.0706,1.076,1.07629973
2024-04-30,1.0707,1.0761,1.07640027
2024-05-10,1.0708,1.0762,1.0765008
2024-05-17,1.0716,1.077,1.07730506
2024-05-24,1.072,1.0774,1.07770719
2024-05-31,1.0723,1.0777,1.07800878
2024-06-07,1.0734,1.0788,1.07911464
2024-06-14,1.073,1.0784,1.07871251
2024-06-21,1.0738,1.0792,1.07951677
2024-06-28,1.074,1.0794,1.07971783
2024-07-05,1.0749,1.0803,1.08062263
2024-07-12,1.0744,1.0798,1.08011996
2024-07-19,1.0747,1.0801,1.08042156
2024-07-26,1.0747,1.0801,1.08042156
2024-07-31,1.0744,1.0798,1.08011996
2024-08-02,1.0736,1.079,1.07931571
2024-08-09,1.0746,1.08,1.08032103
2024-08-16,1.076,1.0814,1.08172848
2024-08-23,1.0765,1.0819,1.08223114
2024-08-30,1.0751,1.0805,1.08082369
2024-09-06,1.0756,1.081,1.08132635
2024-09-13,1.073,1.0784,1.07871251
2024-09-20,1.0741,1.0795,1.07981837
2024-09-27,1.0668,1.0722,1.0724795
2024-09-30,1.1175,1.1229,1.12344942
2024-10-11,1.2752,1.2806,1.281989
2024-10-18,1.2801,1.2855,1.28691508
2024-10-25,1.2842,1.2896,1.29103691
2024-10-31,1.2846,1.29,1.29143904
2024-11-01,1.2849,1.2903,1.29174064
2024-11-08,1.2836,1.289,1.29043372
2024-11-15,1.2824,1.2878,1.28922733
2024-11-22,1.2813,1.2867,1.28812147
2024-11-29,1.2838,1.2892,1.29063478
2024-12-06,1.2839,1.2893,1.29073531
2024-12-13,1.2857,1.2911,1.2925449
2024-12-20,1.2869,1.2923,1.29375129
2024-12-23,1.2865,1.2919,1.29334916
2024-12-24,1.2874,1.2928,1.29425395
2024-12-25,1.2875,1.2929,1.29435448
2024-12-26,1.2869,1.2923,1.29375129
2024-12-27,1.2864,1.2918,1.29324862
2024-12-30,1.287,1.2924,1.29385182
2024-12-31,1.2862,1.2916,1.29304756
2025-01-02,1.1763,1.2917,1.29314809
2025-01-03,1.174,1.2894,1.29061962
2025-01-06,1.1752,1.2906,1.29193882
2025-01-07,1.1749,1.2903,1.29160902
2025-01-08,1.1751,1.2905,1.29182889
2025-01-09,1.1755,1.2909,1.29226862
2025-01-10,1.1745,1.2899,1.29116929
2025-01-13,1.1762,1.2916,1.29303816
2025-01-14,1.1748,1.2902,1.29149909
2025-01-15,1.1749,1.2903,1.29160902
2025-01-16,1.1756,1.291,1.29237856
2025-01-17,1.1755,1.2909,1.29226862
2025-01-20,1.1755,1.2909,1.29226862
2025-01-21,1.1756,1.291,1.29237856
2025-01-22,1.1756,1.291,1.29237856
2025-01-23,1.1769,1.2923,1.29380769
2025-01-24,1.177,1.2924,1.29391763
2025-01-27,1.1773,1.2927,1.29424743
2025-02-05,1.1776,1.293,1.29457723
2025-02-06,1.1771,1.2925,1.29402756
2025-02-07,1.1808,1.2962,1.2980951
2025-02-10,1.1766,1.292,1.29347789
2025-02-11,1.1773,1.2927,1.29424743
2025-02-12,1.1778,1.2932,1.2947971
2025-02-13,1.1763,1.2917,1.29314809
2025-02-14,1.1777,1.2931,1.29468716
2025-02-17,1.1782,1.2936,1.29523683
2025-02-18,1.1777,1.2931,1.29468716
2025-02-19,1.1779,1.2933,1.29490703
2025-02-20,1.1782,1.2936,1.29523683
2025-02-21,1.1784,1.2938,1.2954567
2025-02-24,1.1786,1.294,1.29567656
2025-02-25,1.1781,1.2935,1.2951269
2025-02-26,1.1798,1.2952,1.29699577
2025-02-27,1.1798,1.2952,1.29699577
2025-02-28,1.179,1.2944,1.2961163
2025-03-03,1.1793,1.2947,1.2964461
2025-03-04,1.18,1.2954,1.29721563
2025-03-05,1.1804,1.2958,1.29765537
2025-03-06,1.1796,1.295,1.2967759
2025-03-07,1.1809,1.2963,1.29820503
2025-03-10,1.1807,1.2961,1.29798517
2025-03-11,1.1805,1.2959,1.2977653
2025-03-12,1.1804,1.2958,1.29765537
