日期,单位净值,累计净值,复权净值
2023-12-25,1.1063,1.1063,1.1063
2023-12-29,1.1063,1.1063,1.1063
2024-01-05,1.0,1.1061,1.1061
2024-01-12,0.9944,1.1005,1.09990584
2024-01-19,0.9945,1.1006,1.10001645
2024-01-26,1.0139,1.12,1.12147479
2024-02-02,1.0032,1.1093,1.10963952
2024-02-08,1.0112,1.1173,1.11848832
2024-02-23,1.0018,1.1079,1.10809098
2024-03-01,0.9823,1.0884,1.08652203
2024-03-08,1.0093,1.1154,1.11638673
2024-03-15,1.0449,1.151,1.15576389
2024-03-22,1.0519,1.158,1.16350659
2024-03-29,1.0609,1.167,1.17346149
2024-04-03,1.0788,1.1849,1.19326068
2024-04-12,1.0718,1.1779,1.18551798
2024-04-19,1.0767,1.1828,1.19093787
2024-04-26,1.0747,1.1808,1.18872567
2024-04-30,1.0673,1.1734,1.18054053
2024-05-10,1.069,1.1751,1.1824209
2024-05-17,1.0688,1.1749,1.18219968
2024-05-24,1.0923,1.1984,1.20819303
2024-05-31,1.0866,1.1927,1.20188826
2024-06-07,1.0646,1.1707,1.17755406
2024-06-14,1.0551,1.1612,1.16704611
2024-06-21,1.0759,1.182,1.19005299
2024-06-28,1.0847,1.1908,1.19978667
2024-07-05,1.0849,1.191,1.20000789
2024-07-12,1.0748,1.1809,1.18883628
2024-07-19,1.0697,1.1758,1.18319517
2024-07-26,1.0954,1.2015,1.21162194
2024-08-02,1.1198,1.2259,1.23861078
2024-08-09,1.1362,1.2423,1.25675082
2024-08-16,1.1632,1.2693,1.28661552
2024-08-23,1.1622,1.2683,1.28550942
2024-08-30,1.1421,1.2482,1.26327681
2024-09-06,1.1513,1.2574,1.27345293
2024-09-13,1.1444,1.2505,1.26582084
2024-09-20,1.1434,1.2495,1.26471474
2024-09-27,1.2261,1.3322,1.35618921
2024-09-30,1.2425,1.3486,1.37432925
2024-10-11,1.2837,1.3898,1.41990057
2024-10-18,1.2807,1.3868,1.41658227
2024-10-25,1.2868,1.3929,1.42332948
2024-11-01,1.278,1.3841,1.4135958
2024-11-08,1.3055,1.4116,1.44401355
2024-11-15,1.2939,1.4,1.43118279
2024-11-22,1.2919,1.398,1.42897059
2024-11-29,1.2778,1.3839,1.41337458
2024-12-06,1.3082,1.4143,1.44700002
2024-12-13,1.303,1.4091,1.4412483
2024-12-20,1.3098,1.4159,1.44876978
2024-12-27,1.3033,1.4094,1.44158013
2025-01-03,1.3627,1.4688,1.50728247
2025-01-10,1.3758,1.4819,1.52177238
2025-01-17,1.3792,1.4853,1.52553312
2025-01-24,1.3581,1.4642,1.50219441
2025-01-27,1.351,1.4571,1.4943411
2025-02-07,1.3678,1.4739,1.51292358
2025-02-14,1.3754,1.4815,1.52132994
2025-02-21,1.3753,1.4814,1.52121933
2025-02-28,1.3601,1.4662,1.50440661
2025-03-07,1.3704,1.4765,1.51579944
