日期,单位净值,累计净值,复权净值
2017-06-27,1.0,1.0,1.0
2017-06-30,1.0,1.0,1.0
2017-07-07,1.0,1.0,1.0
2017-07-14,1.011,1.011,1.011
2017-07-21,1.012,1.012,1.012
2017-07-28,1.011,1.011,1.011
2017-08-04,1.028,1.028,1.028
2017-08-11,1.035,1.035,1.035
2017-08-18,1.033,1.033,1.033
2017-08-25,1.037,1.037,1.037
2017-09-01,1.044,1.044,1.044
2017-09-08,1.051,1.051,1.051
2017-09-15,1.05,1.05,1.05
2017-09-22,1.051,1.051,1.051
2017-09-29,1.054,1.054,1.054
2017-10-13,1.054,1.054,1.054
2017-10-20,1.056,1.056,1.056
2017-10-27,1.054,1.054,1.054
2017-11-03,1.057,1.057,1.057
2017-11-10,1.065,1.065,1.065
2017-11-17,1.063,1.063,1.063
2017-11-24,1.059,1.059,1.059
2017-12-01,1.065,1.065,1.065
2017-12-08,1.072,1.072,1.072
2017-12-15,1.07,1.07,1.07
2017-12-22,1.076,1.076,1.076
2017-12-29,1.077,1.077,1.077
2018-01-05,1.082,1.082,1.082
2018-01-12,1.081,1.081,1.081
2018-01-19,1.078,1.078,1.078
2018-01-26,1.085,1.085,1.085
2018-02-02,1.083,1.083,1.083
2018-02-09,1.069,1.069,1.069
2018-02-14,1.072,1.072,1.072
2018-02-23,1.075,1.075,1.075
2018-03-02,1.072,1.072,1.072
2018-03-09,1.066,1.066,1.066
2018-03-16,1.057,1.057,1.057
2018-03-23,1.05,1.05,1.05
2018-03-30,1.057,1.057,1.057
2018-04-04,1.059,1.059,1.059
2018-04-13,1.066,1.066,1.066
2018-04-20,1.047,1.047,1.047
2018-04-27,1.04,1.04,1.04
2018-05-04,1.037,1.037,1.037
2018-05-11,1.038,1.038,1.038
2018-05-18,1.038,1.038,1.038
2018-05-25,1.026,1.026,1.026
2018-06-01,1.038,1.038,1.038
2018-06-08,1.04,1.04,1.04
2018-06-15,1.04,1.04,1.04
2018-06-22,1.03,1.03,1.03
2018-06-29,1.033,1.033,1.033
2018-07-06,1.04,1.04,1.04
2018-07-13,1.059,1.059,1.059
2018-07-20,1.006,1.0617,1.0620342
2018-07-27,1.001,1.0567,1.0567557
2018-08-03,1.014,1.0697,1.0704798
2018-08-10,1.019,1.0747,1.0757583
2018-08-17,1.032,1.0877,1.0894824
2018-08-24,1.031,1.0867,1.0884267
2018-08-31,1.036,1.0917,1.0937052
2018-09-07,1.043,1.0987,1.1010951
2018-09-14,1.048,1.1037,1.1063736
2018-09-21,1.042,1.0977,1.1000394
2018-09-28,1.056,1.1117,1.1148192
2018-10-12,1.064,1.1197,1.1232648
2018-10-19,1.061,1.1167,1.1200977
2018-10-22,1.061,1.1167,1.1200977
2018-10-26,1.06,1.1157,1.119042
2018-11-02,1.069,1.1247,1.1285433
2018-11-09,1.073,1.1287,1.1327661
2018-11-16,1.075,1.1307,1.1348775
2018-11-23,1.066,1.1217,1.1253762
2018-11-30,1.062,1.1177,1.1211534
2018-12-07,1.061,1.1167,1.1200977
2018-12-14,1.06,1.1157,1.119042
2018-12-21,1.062,1.1177,1.1211534
2018-12-28,1.073,1.1287,1.1327661
2019-01-04,1.077,1.1327,1.1369889
2019-01-11,1.07,1.1257,1.129599
2019-01-15,1.0,1.1145,1.11777516
2019-01-18,1.0,1.1145,1.11777516
2019-01-25,1.005,1.1195,1.12336404
2019-02-01,1.007,1.1215,1.12559959
2019-02-15,1.006,1.1205,1.12448181
2019-02-22,1.016,1.1305,1.13565956
2019-03-01,1.014,1.1285,1.13342401
2019-03-08,1.016,1.1305,1.13565956
2019-03-15,1.012,1.1265,1.13118846
2019-03-22,1.02,1.1345,1.14013066
2019-03-29,1.027,1.1415,1.14795509
2019-04-04,1.026,1.1405,1.14683731
2019-04-12,1.018,1.1325,1.13789511
2019-04-19,1.013,1.1275,1.13230624
2019-04-26,0.998,1.1125,1.11553961
2019-04-30,0.99,1.1045,1.10659741
2019-05-10,0.986,1.1005,1.10212631
2019-05-17,1.006,1.1205,1.12448181
2019-05-24,1.017,1.1315,1.13677734
2019-05-31,1.03,1.1445,1.15130841
2019-06-06,1.006,1.1205,1.12448181
2019-06-14,1.04,1.1545,1.16248617
2019-06-21,1.043,1.1575,1.16583949
2019-06-28,1.049,1.1635,1.17254614
2019-07-05,1.047,1.1615,1.17031059
2019-07-12,1.055,1.1695,1.17925279
2019-07-15,1.0,1.1685,1.17813502
2019-07-19,1.018,1.1865,1.19934145
2019-07-26,1.009,1.1775,1.18873823
2019-08-02,1.001,1.1695,1.17931315
2019-08-09,0.987,1.1555,1.16281926
2019-08-16,0.971,1.1395,1.1439691
2019-08-23,0.984,1.1525,1.15928486
2019-08-30,1.012,1.1805,1.19227264
2019-09-06,1.039,1.2075,1.22408228
2019-09-12,1.031,1.1995,1.2146572
2019-09-20,1.011,1.1795,1.1910945
2019-09-27,0.996,1.1645,1.17342248
2019-09-30,0.995,1.1635,1.17224434
2019-10-11,1.019,1.1875,1.20051958
2019-10-18,0.999,1.1675,1.17695688
2019-10-25,0.993,1.1615,1.16988807
2019-11-01,0.975,1.1435,1.14868164
2019-11-08,0.973,1.1415,1.14632537
2019-11-15,0.944,1.1125,1.11215946
2019-11-22,0.938,1.1065,1.10509065
2019-11-29,0.927,1.0955,1.09213116
2019-12-06,0.924,1.0925,1.08859676
2019-12-13,0.914,1.0825,1.07681541
2019-12-20,0.914,1.0825,1.07681541
2019-12-27,0.906,1.0745,1.06739033
2020-01-03,0.917,1.0855,1.08034981
2020-01-10,0.921,1.0895,1.08506235
2020-01-17,0.939,1.1075,1.10626878
2020-01-23,0.945,1.1135,1.11333759
2020-02-07,0.938,1.1065,1.10509065
2020-02-14,0.969,1.1375,1.14161283
2020-02-21,1.003,1.1715,1.18166942
2020-02-28,0.952,1.1205,1.12158454
2020-03-06,0.987,1.1555,1.16281926
2020-03-13,0.966,1.1345,1.13807843
2020-03-20,0.955,1.1235,1.12511894
2020-03-27,0.956,1.1245,1.12629708
2020-04-03,0.98,1.1485,1.15457232
2020-04-10,0.985,1.1535,1.16046299
2020-04-17,1.009,1.1775,1.18873823
2020-04-24,0.991,1.1595,1.1675318
2020-04-30,0.994,1.1625,1.17106621
2020-05-08,1.006,1.1745,1.18520383
2020-05-15,1.033,1.2015,1.21701347
2020-05-22,1.05,1.2185,1.23704177
2020-05-29,1.065,1.2335,1.25471379
2020-06-05,1.064,1.2325,1.25353566
2020-06-12,1.066,1.2345,1.25589193
2020-06-19,1.073,1.2415,1.26413888
2020-06-24,1.07,1.2385,1.26060447
2020-07-03,1.092,1.2605,1.28652344
2020-07-10,1.123,1.2915,1.32304563
2020-07-15,1.0,1.2595,1.28534531
2020-07-17,0.982,1.2415,1.26220909
2020-07-24,0.997,1.2565,1.28148927
2020-07-31,1.005,1.2645,1.29177203
2020-08-07,1.001,1.2605,1.28663065
2020-08-14,1.012,1.2715,1.30076945
2020-08-21,1.028,1.2875,1.32133497
2020-08-28,1.028,1.2875,1.32133497
2020-09-04,1.003,1.2625,1.28920134
2020-09-11,1.009,1.2685,1.29691341
2020-09-18,1.043,1.3025,1.34061515
2020-09-25,1.035,1.2945,1.33033239
2020-09-30,1.064,1.3235,1.3676074
2020-10-09,1.073,1.3325,1.37917551
2020-10-16,1.074,1.3335,1.38046086
2020-10-23,1.08,1.3395,1.38817293
2020-10-30,1.101,1.3605,1.41516518
2020-11-06,1.113,1.3725,1.43058932
2020-11-13,1.109,1.3685,1.42544794
2020-11-20,1.085,1.3445,1.39459966
2020-11-27,1.092,1.3515,1.40359707
2020-12-04,1.09,1.3495,1.40102638
2020-12-11,1.094,1.3535,1.40616776
2020-12-18,1.103,1.3625,1.41773587
2020-12-25,1.143,1.4025,1.46914968
2020-12-31,1.172,1.4315,1.5064247
2021-01-08,1.212,1.4715,1.55783851
2021-01-15,1.02,1.4495,1.52956091
2021-01-18,1.035,1.4645,1.55205446
2021-01-22,1.049,1.4785,1.57304843
2021-01-29,1.014,1.4435,1.5205635
2021-02-05,1.027,1.4565,1.5400579
2021-02-10,1.057,1.4865,1.58504499
2021-02-19,1.08,1.5095,1.61953508
2021-02-26,1.072,1.5015,1.60753853
2021-03-05,1.075,1.5045,1.61203724
2021-03-12,1.009,1.4385,1.51306565
2021-03-19,0.957,1.3865,1.43508803
2021-03-26,0.955,1.3845,1.43208889
2021-04-02,0.944,1.3735,1.41559363
