日期,单位净值,累计净值,复权净值
2021-08-10,1.0,1.0,1.0
2021-08-13,0.9999,0.9999,0.9999
2021-08-20,1.0,1.0,1.0
2021-08-27,0.9996,0.9996,0.9996
2021-09-03,1.0012,1.0012,1.0012
2021-09-10,1.0056,1.0056,1.0056
2021-09-17,1.0072,1.0072,1.0072
2021-09-24,1.0076,1.0076,1.0076
2021-09-30,1.0064,1.0064,1.0064
2021-10-08,1.0277,1.0277,1.0277
2021-10-15,1.0387,1.0387,1.0387
2021-10-22,1.0387,1.0387,1.0387
2021-10-29,1.0391,1.0391,1.0391
2021-11-05,1.0468,1.0468,1.0468
2021-11-12,1.0529,1.0529,1.0529
2021-11-19,1.0612,1.0612,1.0612
2021-11-26,1.0613,1.0613,1.0613
2021-12-03,1.0678,1.0678,1.0678
2021-12-10,1.0628,1.0628,1.0628
2021-12-17,1.0,1.0638,1.0638
2021-12-24,1.0,1.0638,1.0638
2021-12-31,1.0002,1.064,1.06401276
2022-01-07,1.0047,1.0685,1.06879986
2022-01-14,1.0028,1.0666,1.06677864
2022-01-21,1.0083,1.0721,1.07262954
2022-01-28,0.9987,1.0625,1.06241706
2022-02-11,1.0267,1.0905,1.09220346
2022-02-18,1.0292,1.093,1.09486296
2022-02-25,1.0292,1.093,1.09486296
2022-03-04,1.0303,1.0941,1.09603314
2022-03-11,0.9859,1.0497,1.04880042
2022-03-18,0.9832,1.047,1.04592816
2022-03-25,0.9832,1.047,1.04592816
2022-04-01,0.9838,1.0476,1.04656644
2022-04-08,0.9879,1.0517,1.05092802
2022-04-15,0.9776,1.0414,1.03997088
2022-04-22,0.9781,1.0419,1.04050278
2022-04-29,0.9787,1.0425,1.04114106
2022-05-06,0.9758,1.0396,1.03805604
2022-05-13,0.9813,1.0451,1.04390694
2022-05-20,0.9933,1.0571,1.05667254
2022-05-27,0.9932,1.057,1.05656616
2022-06-02,0.9964,1.0602,1.05997032
2022-06-10,0.9991,1.0629,1.06284258
2022-06-17,0.9922,1.056,1.05550236
2022-06-24,0.9921,1.0559,1.05539598
2022-07-01,0.9922,1.056,1.05550236
2022-07-08,1.0008,1.0646,1.06465104
2022-07-15,1.0139,1.0777,1.07858682
2022-07-22,1.0238,1.0876,1.08911844
2022-07-29,1.0236,1.0874,1.08890568
2022-08-05,1.0337,1.0975,1.09965006
2022-08-12,1.0386,1.1024,1.10486268
2022-08-19,1.0445,1.1083,1.1111391
2022-08-26,1.0442,1.108,1.11081996
2022-09-02,1.0439,1.1077,1.11050082
2022-09-09,1.0464,1.1102,1.11316032
2022-09-16,1.0388,1.1026,1.10507544
2022-09-23,1.0528,1.1166,1.11996864
2022-09-30,1.0558,1.1196,1.12316004
2022-10-14,1.0549,1.1187,1.12220262
