日期,单位净值,累计净值,复权净值
2017-02-17,1.0,1.0,1.0
2017-02-20,1.0001,1.0001,1.0001
2017-02-21,1.0001,1.0001,1.0001
2017-02-22,1.0001,1.0001,1.0001
2017-02-23,1.0001,1.0001,1.0001
2017-02-24,1.0001,1.0001,1.0001
2017-02-27,1.0001,1.0001,1.0001
2017-02-28,1.0012,1.0012,1.0012
2017-03-01,0.9967,0.9967,0.9967
2017-03-02,1.0038,1.0038,1.0038
2017-03-03,0.9852,0.9852,0.9852
2017-03-06,0.9894,0.9894,0.9894
2017-03-07,0.987,0.987,0.987
2017-03-08,0.976,0.976,0.976
2017-03-09,0.982,0.982,0.982
2017-03-10,0.9857,0.9857,0.9857
2017-03-13,0.983,0.983,0.983
2017-03-14,0.9801,0.9801,0.9801
2017-03-15,0.9792,0.9792,0.9792
2017-03-16,0.9622,0.9622,0.9622
2017-03-17,0.9531,0.9531,0.9531
2017-03-20,0.9558,0.9558,0.9558
2017-03-21,0.9512,0.9512,0.9512
2017-03-22,0.9518,0.9518,0.9518
2017-03-23,0.9607,0.9607,0.9607
2017-03-24,0.9613,0.9613,0.9613
2017-03-27,0.9937,0.9937,0.9937
2017-03-28,0.9981,0.9981,0.9981
2017-03-29,0.9772,0.9772,0.9772
2017-03-30,0.9723,0.9723,0.9723
2017-03-31,0.9654,0.9654,0.9654
2017-04-05,0.9564,0.9564,0.9564
2017-04-06,0.9574,0.9574,0.9574
2017-04-07,0.9562,0.9562,0.9562
2017-04-10,0.9601,0.9601,0.9601
2017-04-11,0.9533,0.9533,0.9533
2017-04-12,0.9715,0.9715,0.9715
2017-04-13,0.9886,0.9886,0.9886
2017-04-14,0.9932,0.9932,0.9932
2017-04-17,0.9907,0.9907,0.9907
2017-04-18,0.9999,0.9999,0.9999
2017-04-19,1.0275,1.0275,1.0275
2017-04-20,1.0242,1.0242,1.0242
2017-04-21,0.9966,0.9966,0.9966
2017-04-24,1.0053,1.0053,1.0053
2017-04-25,1.0012,1.0012,1.0012
2017-04-26,0.9993,0.9993,0.9993
2017-04-27,1.0021,1.0021,1.0021
2017-04-28,0.9895,0.9895,0.9895
2017-05-02,0.972,0.972,0.972
2017-05-03,0.9768,0.9768,0.9768
2017-05-04,0.9881,0.9881,0.9881
2017-05-05,1.0163,1.0163,1.0163
2017-05-08,1.0023,1.0023,1.0023
2017-05-09,1.0086,1.0086,1.0086
2017-05-10,0.9976,0.9976,0.9976
2017-05-11,1.0019,1.0019,1.0019
2017-05-12,1.0001,1.0001,1.0001
2017-05-15,0.9903,0.9903,0.9903
2017-05-16,0.9876,0.9876,0.9876
2017-05-17,0.9665,0.9665,0.9665
2017-05-18,0.9661,0.9661,0.9661
2017-05-19,0.9575,0.9575,0.9575
2017-05-22,0.9492,0.9492,0.9492
2017-05-23,0.948,0.948,0.948
2017-05-24,0.9394,0.9394,0.9394
2017-05-25,0.9398,0.9398,0.9398
2017-05-26,0.9354,0.9354,0.9354
2017-05-31,0.9436,0.9436,0.9436
2017-06-01,0.9671,0.9671,0.9671
2017-06-02,0.9694,0.9694,0.9694
2017-06-05,0.9695,0.9695,0.9695
2017-06-06,0.9725,0.9725,0.9725
2017-06-07,0.9697,0.9697,0.9697
2017-06-08,0.9677,0.9677,0.9677
2017-06-09,0.9524,0.9524,0.9524
2017-06-12,0.9353,0.9353,0.9353
2017-06-13,0.9349,0.9349,0.9349
2017-06-14,0.9283,0.9283,0.9283
2017-06-15,0.9264,0.9264,0.9264
2017-06-16,0.9267,0.9267,0.9267
2017-06-19,0.9299,0.9299,0.9299
2017-06-20,0.9333,0.9333,0.9333
2017-06-21,0.9309,0.9309,0.9309
2017-06-22,0.9378,0.9378,0.9378
2017-06-23,0.9329,0.9329,0.9329
2017-06-26,0.932,0.932,0.932
2017-06-27,0.9389,0.9389,0.9389
2017-06-28,0.9505,0.9505,0.9505
2017-06-29,0.9648,0.9648,0.9648
2017-06-30,0.9674,0.9674,0.9674
2017-07-03,0.9745,0.9745,0.9745
2017-07-04,0.9629,0.9629,0.9629
2017-07-05,0.9631,0.9631,0.9631
2017-07-06,0.9579,0.9579,0.9579
2017-07-07,0.9606,0.9606,0.9606
2017-07-10,0.9675,0.9675,0.9675
2017-07-11,0.9765,0.9765,0.9765
2017-07-12,0.9792,0.9792,0.9792
2017-07-13,0.9764,0.9764,0.9764
2017-07-14,0.9754,0.9754,0.9754
2017-07-17,0.9837,0.9837,0.9837
2017-07-18,0.9911,0.9911,0.9911
2017-07-19,1.0007,1.0007,1.0007
2017-07-20,1.0089,1.0089,1.0089
2017-07-21,0.9953,0.9953,0.9953
2017-07-24,0.9868,0.9868,0.9868
2017-07-25,0.9979,0.9979,0.9979
2017-07-26,1.0218,1.0218,1.0218
2017-07-27,1.0186,1.0186,1.0186
2017-07-28,1.0092,1.0092,1.0092
2017-07-31,1.028,1.028,1.028
2017-08-01,1.0344,1.0344,1.0344
