日期,单位净值,累计净值,复权净值
2019-06-03,1.0,1.0,1.0
2019-06-06,1.0,1.0,1.0
2019-06-14,0.9998,0.9998,0.9998
2019-06-17,0.9998,0.9998,0.9998
2019-06-21,0.9997,0.9997,0.9997
2019-06-28,0.9997,0.9997,0.9997
2019-07-01,0.9992,0.9992,0.9992
2019-07-05,0.9996,0.9996,0.9996
2019-07-12,0.9995,0.9995,0.9995
2019-07-19,0.9994,0.9994,0.9994
2019-07-26,0.9993,0.9993,0.9993
2019-08-01,0.9463,0.9463,0.9463
2019-08-02,0.9992,0.9992,0.9992
2019-08-09,0.9991,0.9991,0.9991
2019-08-16,0.9886,0.9886,0.9886
2019-08-23,0.9909,0.9909,0.9909
2019-08-30,0.9463,0.9463,0.9463
2019-09-06,0.9431,0.9431,0.9431
2019-09-12,0.9524,0.9524,0.9524
2019-09-16,0.9526,0.9526,0.9526
2019-09-20,0.955,0.955,0.955
2019-09-27,0.9543,0.9543,0.9543
2019-09-30,0.959,0.959,0.959
2019-10-11,0.9614,0.9614,0.9614
2019-10-18,0.9612,0.9612,0.9612
2019-10-22,0.9611,0.9611,0.9611
2019-10-25,0.986,0.986,0.986
2019-11-01,0.9645,0.9645,0.9645
2019-11-08,0.9603,0.9603,0.9603
2019-11-15,0.9475,0.9475,0.9475
2019-11-22,0.9362,0.9362,0.9362
2019-11-29,0.9501,0.9501,0.9501
2019-12-06,0.9499,0.9499,0.9499
2019-12-13,0.9496,0.9496,0.9496
2019-12-20,0.9494,0.9494,0.9494
2019-12-27,0.9415,0.9415,0.9415
2020-01-03,0.9413,0.9413,0.9413
2020-01-10,0.9602,0.9602,0.9602
2020-01-17,0.9692,0.9692,0.9692
2020-01-23,0.9607,0.9607,0.9607
2020-02-06,0.9571,0.9571,0.9571
2020-02-07,0.9741,0.9741,0.9741
2020-02-14,1.0021,1.0021,1.0021
2020-02-21,1.0609,1.0609,1.0609
2020-02-27,1.1242,1.1242,1.1242
2020-02-28,1.1106,1.1106,1.1106
2020-03-06,1.1249,1.1249,1.1249
2020-03-13,1.2571,1.2571,1.2571
2020-03-20,1.3504,1.3504,1.3504
2020-03-27,1.371,1.371,1.371
2020-04-01,1.3686,1.3686,1.3686
2020-04-03,1.3886,1.3886,1.3886
2020-04-10,1.4145,1.4145,1.4145
2020-04-17,1.3991,1.3991,1.3991
2020-04-24,1.3705,1.3705,1.3705
2020-04-30,1.3686,1.3686,1.3686
2020-05-08,1.4218,1.4218,1.4218
2020-05-11,1.4124,1.4124,1.4124
2020-05-15,1.4208,1.4208,1.4208
2020-05-22,1.4717,1.4717,1.4717
2020-05-29,1.4792,1.4792,1.4792
2020-06-01,1.506,1.506,1.506
2020-06-05,1.5637,1.5637,1.5637
2020-06-12,1.5436,1.5436,1.5436
2020-06-19,1.5352,1.5352,1.5352
2020-06-24,1.5355,1.5355,1.5355
2020-06-30,1.506,1.506,1.506
2020-07-02,1.5462,1.5462,1.5462
2020-07-03,1.5492,1.5492,1.5492
2020-07-10,1.726,1.726,1.726
2020-07-17,1.7868,1.7868,1.7868
2020-07-24,1.783,1.783,1.783
2020-07-31,1.765,1.765,1.765
2020-08-07,1.8475,1.8475,1.8475
2020-08-14,1.7676,1.7676,1.7676
2020-08-21,1.7737,1.7737,1.7737
2020-08-28,1.7375,1.7375,1.7375
2020-09-01,1.6122,1.6122,1.6122
2020-09-04,1.6983,1.6983,1.6983
2020-09-11,1.7133,1.7133,1.7133
2020-09-18,1.666,1.666,1.666
2020-09-25,1.6311,1.6311,1.6311
2020-09-30,1.6122,1.6122,1.6122
2020-10-09,1.5575,1.5575,1.5575
2020-10-13,1.6142,1.6142,1.6142
2020-10-16,1.6072,1.6072,1.6072
2020-10-23,1.6315,1.6315,1.6315
2020-10-30,1.6009,1.6009,1.6009
2020-11-06,1.6151,1.6151,1.6151
2020-11-13,1.614,1.614,1.614
2020-11-20,1.6381,1.6381,1.6381
2020-11-27,1.6535,1.6535,1.6535
2020-12-01,1.7085,1.7085,1.7085
2020-12-04,1.6545,1.6545,1.6545
2020-12-11,1.7279,1.7279,1.7279
2020-12-18,1.7028,1.7028,1.7028
2020-12-25,1.6705,1.6705,1.6705
2020-12-31,1.7085,1.7085,1.7085
2021-01-08,1.7614,1.7614,1.7614
2021-01-15,1.7458,1.7458,1.7458
2021-01-22,1.7518,1.7518,1.7518
2021-01-29,1.795,1.795,1.795
2021-02-05,1.7713,1.7713,1.7713
2021-02-10,1.7921,1.7921,1.7921
2021-02-19,1.8427,1.8427,1.8427
2021-02-26,1.9516,1.9516,1.9516
2021-03-01,1.9168,1.9168,1.9168
2021-03-05,1.9008,1.9008,1.9008
2021-03-12,1.9676,1.9676,1.9676
2021-03-19,1.9217,1.9217,1.9217
2021-03-26,1.9487,1.9487,1.9487
2021-04-01,1.8613,1.8613,1.8613
2021-04-02,1.9033,1.9033,1.9033
2021-04-09,1.8819,1.8819,1.8819
2021-04-16,1.8358,1.8358,1.8358
2021-04-23,1.8489,1.8489,1.8489
2021-04-30,1.8613,1.8613,1.8613
2021-05-07,1.9362,1.9362,1.9362
2021-05-14,1.8834,1.8834,1.8834
2021-05-21,1.8704,1.8704,1.8704
2021-05-28,1.8362,1.8362,1.8362
2021-06-01,1.7503,1.7503,1.7503
2021-06-04,1.7777,1.7777,1.7777
2021-06-11,1.7575,1.7575,1.7575
2021-06-18,1.7945,1.7945,1.7945
2021-06-25,1.7889,1.7889,1.7889
2021-07-01,1.848,1.848,1.848
2021-07-02,1.7503,1.7503,1.7503
2021-07-09,1.7396,1.7396,1.7396
2021-07-16,1.7703,1.7703,1.7703
2021-07-23,1.7756,1.7756,1.7756
2021-07-30,1.848,1.848,1.848
2021-08-06,1.7605,1.7605,1.7605
2021-08-13,1.8,1.8,1.8
2021-08-20,1.786,1.786,1.786
2021-08-27,1.7427,1.7427,1.7427
2021-09-03,1.7103,1.7103,1.7103
2021-09-10,1.8121,1.8121,1.8121
2021-09-17,1.8008,1.8008,1.8008
2021-09-24,1.8641,1.8641,1.8641
2021-09-30,2.0014,2.0014,2.0014
2021-10-08,2.0744,2.0744,2.0744
2021-10-15,2.1466,2.1466,2.1466
2021-10-22,2.0706,2.0706,2.0706
2021-10-29,2.1271,2.1271,2.1271
2021-11-01,2.1471,2.1471,2.1471
2021-11-05,2.1902,2.1902,2.1902
2021-11-12,2.1613,2.1613,2.1613
2021-11-19,2.1522,2.1522,2.1522
2021-11-26,2.1332,2.1332,2.1332
2021-12-01,2.0893,2.0893,2.0893
2021-12-03,2.1471,2.1471,2.1471
2021-12-10,2.1272,2.1272,2.1272
2021-12-17,2.119,2.119,2.119
2021-12-24,2.1273,2.1273,2.1273
2021-12-31,2.0893,2.0893,2.0893
2022-01-07,2.0926,2.0926,2.0926
2022-01-14,2.1282,2.1282,2.1282
2022-01-21,2.153,2.153,2.153
2022-01-28,2.1587,2.1587,2.1587
2022-02-11,2.1287,2.1287,2.1287
2022-02-18,2.1161,2.1161,2.1161
2022-02-25,2.087,2.087,2.087
2022-03-01,1.9928,1.9928,1.9928
2022-03-04,2.14,2.14,2.14
2022-03-11,2.2143,2.2143,2.2143
2022-03-18,2.0159,2.0159,2.0159
2022-03-25,1.9564,1.9564,1.9564
2022-04-01,1.9928,1.9928,1.9928
2022-04-08,1.965,1.965,1.965
2022-04-15,1.9169,1.9169,1.9169
2022-04-22,1.9191,1.9191,1.9191
2022-04-29,1.9566,1.9566,1.9566
2022-05-06,1.9298,1.9298,1.9298
2022-05-13,1.9821,1.9821,1.9821
2022-05-20,1.9195,1.9195,1.9195
2022-05-27,1.9438,1.9438,1.9438
2022-06-01,2.0219,2.0219,2.0219
2022-06-02,1.9457,1.9457,1.9457
2022-06-10,1.9948,1.9948,1.9948
2022-06-17,1.9093,1.9093,1.9093
2022-06-24,2.0245,2.0245,2.0245
2022-07-01,2.0219,2.0219,2.0219
2022-07-08,2.0524,2.0524,2.0524
2022-07-15,2.2299,2.2299,2.2299
2022-07-22,2.2112,2.2112,2.2112
2022-07-29,2.1457,2.1457,2.1457
2022-08-05,2.0661,2.0661,2.0661
2022-08-12,2.0743,2.0743,2.0743
2022-08-19,2.0168,2.0168,2.0168
2022-08-26,2.0146,2.0146,2.0146
2022-09-01,1.954,1.954,1.954
2022-09-02,1.933,1.933,1.933
2022-09-09,1.9378,1.9378,1.9378
2022-09-16,1.9599,1.9599,1.9599
2022-09-23,1.9617,1.9617,1.9617
2022-09-30,1.954,1.954,1.954
2022-10-14,1.8879,1.8879,1.8879
2022-10-21,1.8502,1.8502,1.8502
2022-10-28,1.8254,1.8254,1.8254
2022-11-01,1.8454,1.8454,1.8454
2022-11-04,1.8799,1.8799,1.8799
2022-11-11,1.8365,1.8365,1.8365
2022-11-18,1.8344,1.8344,1.8344
2022-11-25,1.8248,1.8248,1.8248
2022-12-01,1.931,1.931,1.931
2022-12-02,1.8454,1.8454,1.8454
2022-12-09,1.9015,1.9015,1.9015
2022-12-16,1.9255,1.9255,1.9255
2022-12-23,1.945,1.945,1.945
2022-12-30,1.931,1.931,1.931
2023-01-06,1.9668,1.9668,1.9668
2023-01-13,1.9695,1.9695,1.9695
2023-01-20,2.0565,2.0565,2.0565
2023-02-01,1.9801,1.9801,1.9801
2023-02-03,2.0611,2.0611,2.0611
2023-02-10,2.0241,2.0241,2.0241
2023-02-17,1.9934,1.9934,1.9934
2023-02-24,2.0154,2.0154,2.0154
2023-03-01,2.0194,2.0194,2.0194
2023-03-03,1.9801,1.9801,1.9801
2023-03-10,2.0076,2.0076,2.0076
2023-03-17,1.9975,1.9975,1.9975
2023-03-24,2.0557,2.0557,2.0557
2023-03-31,2.0194,2.0194,2.0194
2023-04-07,2.0555,2.0555,2.0555
2023-04-14,2.0666,2.0666,2.0666
2023-04-21,2.125,2.125,2.125
2023-04-28,2.2049,2.2049,2.2049
2023-05-05,2.2289,2.2289,2.2289
2023-05-12,2.194,2.194,2.194
2023-05-19,2.164,2.164,2.164
2023-05-26,2.2153,2.2153,2.2153
2023-06-01,2.1728,2.1728,2.1728
2023-06-02,2.1728,2.1728,2.1728
2023-06-09,2.1481,2.1481,2.1481
2023-06-16,2.1783,2.1783,2.1783
2023-06-21,2.1871,2.1871,2.1871
2023-06-30,2.1904,2.1904,2.1904
2023-07-07,2.157,2.157,2.157
2023-07-14,2.2318,2.2318,2.2318
2023-07-21,2.2098,2.2098,2.2098
2023-07-28,2.3074,2.3074,2.3074
2023-08-04,2.2681,2.2681,2.2681
2023-08-11,2.267,2.267,2.267
2023-08-18,2.268,2.268,2.268
2023-08-25,2.292,2.292,2.292
2023-09-01,2.2994,2.2994,2.2994
2023-09-08,2.2918,2.2918,2.2918
2023-09-15,2.2972,2.2972,2.2972
2023-09-22,2.2953,2.2953,2.2953
2023-09-28,2.264,2.264,2.264
2023-10-13,2.2779,2.2779,2.2779
2023-10-20,2.2888,2.2888,2.2888
2023-10-27,2.3363,2.3363,2.3363
2023-11-03,2.3079,2.3079,2.3079
2023-11-10,2.3443,2.3443,2.3443
2023-11-17,2.3522,2.3522,2.3522
2023-11-24,2.2958,2.2958,2.2958
2023-12-01,2.3099,2.3099,2.3099
2023-12-08,2.3171,2.3171,2.3171
2023-12-15,2.2947,2.2947,2.2947
2023-12-22,2.3001,2.3001,2.3001
2023-12-29,2.2746,2.2746,2.2746
2024-01-05,2.2532,2.2532,2.2532
2024-01-12,2.2556,2.2556,2.2556
2024-01-19,2.2069,2.2069,2.2069
2024-01-26,2.2782,2.2782,2.2782
2024-02-02,2.1854,2.1854,2.1854
2024-02-08,2.2519,2.2519,2.2519
2024-02-23,2.2768,2.2768,2.2768
2024-03-01,2.3577,2.3577,2.3577
2024-03-08,2.3497,2.3497,2.3497
2024-03-15,2.3977,2.3977,2.3977
2024-03-22,2.431,2.431,2.431
2024-03-29,2.5516,2.5516,2.5516
2024-04-03,2.5889,2.5889,2.5889
