日期,单位净值,累计净值,复权净值
2020-11-04,1.0,1.0,1.0
2020-11-06,1.0,1.0,1.0
2020-11-13,1.0,1.0,1.0
2020-11-20,1.003,1.003,1.003
2020-11-27,1.014,1.014,1.014
2020-12-04,0.99,0.99,0.99
2020-12-11,0.992,0.992,0.992
2020-12-18,0.988,0.988,0.988
2020-12-25,0.992,0.992,0.992
2020-12-31,0.998,0.998,0.998
2021-01-04,1.001,1.001,1.001
2021-01-08,0.997,0.997,0.997
2021-01-15,1.014,1.014,1.014
2021-01-22,1.006,1.006,1.006
2021-01-29,1.001,1.001,1.001
2021-02-05,1.007,1.007,1.007
2021-02-10,0.979,0.979,0.979
2021-02-18,0.979,0.979,0.979
2021-02-19,0.987,0.987,0.987
2021-02-26,0.991,0.991,0.991
2021-03-05,0.959,0.959,0.959
2021-03-12,0.952,0.952,0.952
2021-03-19,0.962,0.962,0.962
2021-03-26,0.973,0.973,0.973
2021-04-02,0.971,0.971,0.971
2021-04-09,0.955,0.955,0.955
2021-04-16,0.924,0.924,0.924
2021-04-23,0.924,0.924,0.924
2021-04-30,0.922,0.922,0.922
2021-05-07,0.913,0.913,0.913
2021-05-14,0.917,0.917,0.917
2021-05-21,0.923,0.923,0.923
2021-05-28,0.917,0.917,0.917
2021-06-04,0.938,0.938,0.938
2021-06-11,0.962,0.962,0.962
2021-06-18,0.947,0.947,0.947
2021-06-25,0.96,0.96,0.96
2021-07-02,0.979,0.979,0.979
2021-07-09,0.996,0.996,0.996
2021-07-16,0.982,0.982,0.982
2021-07-23,1.017,1.017,1.017
2021-07-30,0.975,0.975,0.975
2021-08-06,1.012,1.012,1.012
2021-08-13,1.04,1.04,1.04
2021-08-20,1.083,1.083,1.083
2021-08-27,1.158,1.158,1.158
2021-09-03,1.25,1.25,1.25
2021-09-10,1.345,1.345,1.345
2021-09-17,1.32,1.32,1.32
2021-09-24,1.388,1.388,1.388
2021-09-30,1.336,1.336,1.336
2021-10-08,1.322,1.322,1.322
2021-10-15,1.239,1.239,1.239
2021-10-22,1.09,1.09,1.09
2021-10-29,1.04,1.04,1.04
2021-11-05,1.06,1.06,1.06
2021-11-12,1.068,1.068,1.068
2021-11-19,1.053,1.053,1.053
2021-11-26,1.038,1.038,1.038
2021-12-03,1.118,1.118,1.118
2021-12-10,1.177,1.177,1.177
2021-12-17,1.185,1.185,1.185
2021-12-24,0.993,1.149,1.149
2021-12-31,0.986,1.142,1.1409003
2022-01-07,0.965,1.121,1.11660121
2022-01-14,0.97,1.126,1.12238671
2022-01-21,0.987,1.143,1.1420574
2022-01-28,1.023,1.179,1.18371299
2022-02-07,1.163,1.319,1.34570695
2022-02-11,1.277,1.433,1.47761631
2022-02-18,1.294,1.45,1.49728701
2022-02-25,1.397,1.553,1.61646828
2022-03-04,1.39,1.546,1.60836858
2022-03-11,1.53,1.686,1.77036254
2022-03-18,1.563,1.719,1.80854683
2022-03-25,1.699,1.855,1.96591239
2022-04-01,1.638,1.794,1.89532931
2022-04-08,1.623,1.779,1.87797281
2022-04-15,1.606,1.762,1.85830211
2022-04-22,1.746,1.902,2.02029607
2022-04-29,1.823,1.979,2.10939275
2022-05-06,1.821,1.977,2.10707855
2022-05-13,1.973,2.129,2.2829577
2022-05-20,2.073,2.229,2.39866767
2022-05-27,2.053,2.209,2.37552568
2022-06-02,2.02,2.176,2.33734139
2022-06-06,2.068,2.224,2.39288218
2022-06-10,2.084,2.24,2.41139577
2022-06-17,2.04,2.196,2.36048338
2022-06-24,2.112,2.268,2.44379456
2022-07-01,2.154,2.31,2.49239275
2022-07-08,2.473,2.629,2.86150755
2022-07-15,2.344,2.5,2.71224169
2022-07-22,2.35,2.506,2.71918429
2022-07-29,2.306,2.462,2.6682719
2022-08-05,2.25,2.406,2.60347432
2022-08-12,2.154,2.31,2.49239275
2022-08-19,2.306,2.462,2.6682719
2022-08-26,2.319,2.475,2.6833142
2022-09-02,2.227,2.383,2.57686103
2022-09-09,2.166,2.322,2.50627795
2022-09-16,2.044,2.2,2.36511178
2022-09-23,2.0,2.156,2.3141994
2022-09-30,2.003,2.159,2.31767069
2022-10-10,2.06,2.216,2.38362538
2022-10-14,2.094,2.25,2.42296677
2022-10-21,2.135,2.291,2.47040785
2022-10-28,2.029,2.185,2.34775529
2022-11-04,2.093,2.249,2.42180967
2022-11-11,2.007,2.163,2.32229909
2022-11-18,1.932,2.088,2.23551662
2022-11-25,1.973,2.129,2.2829577
2022-12-02,2.036,2.192,2.35585498
2022-12-09,1.988,2.144,2.3003142
2022-12-16,2.005,2.161,2.31998489
2022-12-23,1.114,2.169,2.32924169
2022-12-30,1.073,2.128,2.24351556
2023-01-06,1.082,2.137,2.26233349
2023-01-13,1.081,2.136,2.26024261
2023-01-20,1.091,2.146,2.28115142
2023-01-30,1.089,2.144,2.27696966
2023-02-03,1.072,2.127,2.24142468
2023-02-10,1.078,2.133,2.25396997
2023-02-17,1.028,2.083,2.14942591
2023-02-24,1.017,2.072,2.12642621
2023-03-03,1.025,2.08,2.14315326
2023-03-10,1.07,2.125,2.23724292
2023-03-17,1.089,2.144,2.27696966
2023-03-24,1.088,2.143,2.27487878
2023-03-31,1.077,2.132,2.25187909
2023-04-07,1.084,2.139,2.26651525
2023-04-14,1.089,2.144,2.27696966
2023-04-21,1.035,2.09,2.16406207
2023-04-28,1.081,2.136,2.26024261
2023-05-05,1.093,2.148,2.28533319
2023-05-12,1.088,2.143,2.27487878
2023-05-19,1.127,2.182,2.35642315
2023-05-26,1.122,2.177,2.34596874
2023-06-02,1.116,2.171,2.33342345
2023-06-09,1.11,2.165,2.32087817
2023-06-16,1.086,2.141,2.27069702
2023-06-21,1.061,2.116,2.21842499
2023-06-26,1.052,2.107,2.19960706
2023-06-30,1.049,2.104,2.19333441
2023-07-07,1.061,2.116,2.21842499
2023-07-14,1.117,2.172,2.33551434
2023-07-21,1.12,2.175,2.34178698
2023-07-28,1.083,2.138,2.26442437
2023-08-04,1.095,2.15,2.28951495
2023-08-11,1.02,2.075,2.13269886
2023-08-18,1.042,2.097,2.17869824
2023-08-25,1.076,2.131,2.24978821
2023-09-01,1.075,2.13,2.24769732
2023-09-08,1.064,2.119,2.22469763
2023-09-15,1.061,2.116,2.21842499
2023-09-22,1.095,2.15,2.28951495
2023-09-28,1.058,2.113,2.21215234
2023-10-13,1.141,2.196,2.38569549
2023-10-20,1.104,2.159,2.30833288
2023-10-27,1.135,2.19,2.3731502
2023-11-03,1.119,2.174,2.3396961
2023-11-10,1.143,2.198,2.38987725
2023-11-17,1.092,2.147,2.2832423
2023-11-24,1.139,2.194,2.38151372
2023-12-01,1.209,2.264,2.52787541
2023-12-08,1.377,2.432,2.87914346
2023-12-15,1.377,2.432,2.87914346
2023-12-22,1.151,2.469,2.95650606
2023-12-29,1.13,2.448,2.9025646
2024-01-05,1.202,2.52,3.08750676
2024-01-12,1.331,2.649,3.41886148
2024-01-19,1.378,2.696,3.53958762
2024-01-26,1.409,2.727,3.6192155
2024-02-02,1.357,2.675,3.48564616
2024-02-08,1.375,2.693,3.5318817
2024-02-23,1.376,2.694,3.53445034
2024-03-01,1.444,2.762,3.70911794
2024-03-08,1.559,2.877,4.00451169
2024-03-15,1.697,3.015,4.35898418
2024-03-22,1.713,3.031,4.40008244
2024-03-29,1.603,2.921,4.1175319
2024-04-03,1.645,2.963,4.22541483
2024-04-12,1.565,2.883,4.01992353
2024-04-19,1.536,2.854,3.94543294
2024-04-26,1.546,2.864,3.97111935
2024-04-30,1.567,2.885,4.02506081
2024-05-10,1.668,2.986,4.28449358
2024-05-17,1.695,3.013,4.35384689
2024-05-24,1.708,3.026,4.38723923
2024-05-31,1.761,3.079,4.52337721
2024-06-07,1.723,3.041,4.42576885
2024-06-14,1.651,2.969,4.24082668
2024-06-21,1.552,2.87,3.9865312
2024-06-28,1.549,2.867,3.97882527
2024-07-05,1.55,2.868,3.98139391
2024-07-12,1.517,2.835,3.89662875
2024-07-19,1.53,2.848,3.93002109
2024-07-26,1.542,2.86,3.96084478
2024-07-31,1.463,2.781,3.75792213
2024-08-02,1.452,2.77,3.72966707
2024-08-09,1.419,2.737,3.64490191
2024-08-16,1.399,2.717,3.59352909
