日期,单位净值,累计净值,复权净值
2023-02-09,1.0,1.0,1.0
2023-02-10,1.0,1.0,1.0
2023-02-17,1.0,1.0,1.0
2023-02-24,1.0,1.0,1.0
2023-03-03,0.9999,0.9999,0.9999
2023-03-10,1.0007,1.0007,1.0007
2023-03-17,1.0024,1.0024,1.0024
2023-03-24,1.0045,1.0045,1.0045
2023-03-31,1.0065,1.0065,1.0065
2023-04-07,1.0098,1.0098,1.0098
2023-04-14,1.0129,1.0129,1.0129
2023-04-21,1.0147,1.0147,1.0147
2023-04-28,1.0159,1.0159,1.0159
2023-05-05,1.0169,1.0169,1.0169
2023-05-12,1.0238,1.0238,1.0238
2023-05-19,1.0235,1.0235,1.0235
2023-05-26,1.026,1.026,1.026
2023-06-02,1.0259,1.0259,1.0259
2023-06-09,1.0285,1.0285,1.0285
2023-06-16,1.031,1.031,1.031
2023-06-21,1.0317,1.0317,1.0317
2023-06-30,1.036,1.036,1.036
2023-07-07,1.0382,1.0382,1.0382
2023-07-14,1.0418,1.0418,1.0418
2023-07-21,1.0453,1.0453,1.0453
2023-07-28,1.0497,1.0497,1.0497
2023-08-04,1.0511,1.0511,1.0511
2023-08-11,1.0531,1.0531,1.0531
2023-08-18,1.0564,1.0564,1.0564
2023-08-25,1.0594,1.0594,1.0594
2023-09-01,1.0619,1.0619,1.0619
2023-09-08,1.0603,1.0603,1.0603
2023-09-15,1.0641,1.0641,1.0641
2023-09-22,1.067,1.067,1.067
2023-09-28,1.0694,1.0694,1.0694
2023-10-13,1.073,1.073,1.073
2023-10-20,1.0731,1.0731,1.0731
2023-10-27,1.0821,1.0821,1.0821
2023-11-03,1.0799,1.0799,1.0799
2023-11-10,1.0823,1.0823,1.0823
2023-11-17,1.0848,1.0848,1.0848
2023-11-24,1.0866,1.0866,1.0866
2023-12-01,1.0887,1.0887,1.0887
2023-12-08,1.0871,1.0871,1.0871
2023-12-15,1.0986,1.0986,1.0986
2023-12-22,1.1023,1.1023,1.1023
2023-12-29,1.1036,1.1036,1.1036
2024-01-05,1.1054,1.1054,1.1054
2024-01-12,1.1022,1.1022,1.1022
2024-01-19,1.1076,1.1076,1.1076
2024-01-26,1.1094,1.1094,1.1094
2024-02-02,1.1113,1.1113,1.1113
2024-02-08,1.1133,1.1133,1.1133
2024-02-23,1.1143,1.1143,1.1143
2024-03-01,1.1163,1.1163,1.1163
2024-03-08,1.1178,1.1178,1.1178
2024-03-15,1.1194,1.1194,1.1194
2024-03-22,1.1207,1.1207,1.1207
2024-03-29,1.1229,1.1229,1.1229
2024-04-03,1.1237,1.1237,1.1237
2024-04-12,1.125,1.125,1.125
2024-04-19,1.1286,1.1286,1.1286
2024-04-26,1.1311,1.1311,1.1311
2024-04-30,1.1306,1.1306,1.1306
2024-05-10,1.1327,1.1327,1.1327
2024-05-17,1.1331,1.1331,1.1331
2024-05-24,1.1374,1.1374,1.1374
2024-05-31,1.1376,1.1376,1.1376
2024-06-07,1.1404,1.1404,1.1404
2024-06-14,1.1409,1.1409,1.1409
2024-06-21,1.1444,1.1444,1.1444
2024-06-28,1.1451,1.1451,1.1451
2024-07-05,1.146,1.146,1.146
2024-07-12,1.1466,1.1466,1.1466
2024-07-19,1.1474,1.1474,1.1474
2024-07-26,1.1482,1.1482,1.1482
2024-08-02,1.1515,1.1515,1.1515
2024-08-09,1.1557,1.1557,1.1557
2024-08-16,1.1572,1.1572,1.1572
2024-08-23,1.1567,1.1567,1.1567
2024-08-30,1.157,1.157,1.157
2024-09-06,1.1596,1.1596,1.1596
2024-09-13,1.1609,1.1609,1.1609
2024-09-20,1.1617,1.1617,1.1617
2024-09-27,1.164,1.164,1.164
2024-09-30,1.1642,1.1642,1.1642
2024-10-11,1.1663,1.1663,1.1663
2024-10-18,1.1694,1.1694,1.1694
2024-10-25,1.1734,1.1734,1.1734
2024-11-01,1.1726,1.1726,1.1726
2024-11-08,1.1786,1.1786,1.1786
2024-11-15,1.1811,1.1811,1.1811
2024-11-22,1.1795,1.1795,1.1795
2024-11-29,1.1787,1.1787,1.1787
2024-12-06,1.1824,1.1824,1.1824
2024-12-13,1.1823,1.1823,1.1823
2024-12-20,1.1894,1.1894,1.1894
2024-12-27,1.1891,1.1891,1.1891
2025-01-03,1.1894,1.1894,1.1894
2025-01-10,1.1918,1.1918,1.1918
2025-01-17,1.1918,1.1918,1.1918
2025-01-24,1.1922,1.1922,1.1922
