日期,单位净值,累计净值
2017/5/12,1,1
2017/5/15,1,1
2017/5/16,1,1
2017/5/17,1,1
2017/5/18,1,1
2017/5/19,1,1
2017/5/22,1,1
2017/5/23,1,1
2017/5/24,1,1
2017/5/25,1,1
2017/5/26,1,1
2017/5/31,1,1
2017/6/1,1,1
2017/6/2,1,1
2017/6/5,1,1
2017/6/6,1,1
2017/6/7,1,1
2017/6/8,1,1
2017/6/9,1,1
2017/6/12,1,1
2017/6/13,1,1
2017/6/14,1,1
2017/6/15,1,1
2017/6/16,1,1
2017/6/19,1.001,1.001
2017/6/20,1.001,1.001
2017/6/21,1.001,1.001
2017/6/22,1.001,1.001
2017/6/23,1.001,1.001
2017/6/26,1.001,1.001
2017/6/27,1.001,1.001
2017/6/28,1.001,1.001
2017/6/29,1.001,1.001
2017/6/30,1.001,1.001
2017/7/3,1.001,1.001
2017/7/4,1.001,1.001
2017/7/5,1.001,1.001
2017/7/6,1.001,1.001
2017/7/7,0.998,0.998
2017/7/10,1.001,1.001
2017/7/11,1.008,1.008
2017/7/12,1.012,1.012
2017/7/13,1.012,1.012
2017/7/14,1.01,1.01
2017/7/17,1.011,1.011
2017/7/18,1.015,1.015
2017/7/19,1.019,1.019
2017/7/20,1.018,1.018
2017/7/21,1.017,1.017
2017/7/24,1.014,1.014
2017/7/25,1.013,1.013
2017/7/26,1.016,1.016
2017/7/27,1.015,1.015
2017/7/28,1.011,1.011
2017/7/31,1.015,1.015
2017/8/1,1.02,1.02
2017/8/2,1.018,1.018
2017/8/3,1.017,1.017
2017/8/4,1.017,1.017
2017/8/7,1.019,1.019
2017/8/8,1.019,1.019
2017/8/9,1.021,1.021
2017/8/10,1.023,1.023
2017/8/11,1.018,1.018
2017/8/14,1.02,1.02
2017/8/15,1.019,1.019
2017/8/16,1.021,1.021
2017/8/17,1.018,1.018
2017/8/18,1.017,1.017
2017/8/21,1.018,1.018
2017/8/22,1.019,1.019
2017/8/23,1.016,1.016
2017/8/24,1.016,1.016
2017/8/25,1.019,1.019
2017/8/28,1.009,1.009
2017/8/29,1.009,1.009
2017/8/30,1.009,1.009
2017/8/31,1.003,1.003
2017/9/1,1.012,1.012
2017/9/4,1.017,1.017
2017/9/5,1.02,1.02
2017/9/6,1.017,1.017
2017/9/7,1.017,1.017
2017/9/8,1.017,1.017
2017/9/11,1.019,1.019
2017/9/12,1.02,1.02
2017/9/13,1.02,1.02
2017/9/14,1.021,1.021
2017/9/15,1.021,1.021
2017/9/18,1.023,1.023
2017/9/19,1.023,1.023
2017/9/20,1.024,1.024
2017/9/21,1.023,1.023
2017/9/22,1.036,1.036
2017/9/25,1.038,1.038
2017/9/26,1.038,1.038
2017/9/27,1.037,1.037
2017/9/28,1.042,1.042
2017/9/29,1.046,1.046
2017/10/9,1.052,1.052
2017/10/10,1.052,1.052
2017/10/11,1.052,1.052
2017/10/12,1.053,1.053
2017/10/13,1.047,1.047
2017/10/16,1.039,1.039
2017/10/17,1.048,1.048
2017/10/18,1.048,1.048
2017/10/19,1.047,1.047
2017/10/20,1.045,1.045
2017/10/23,1.043,1.043
2017/10/24,1.044,1.044
2017/10/25,1.04,1.04
2017/10/26,1.04,1.04
2017/10/27,1.04,1.04
2017/10/30,1.041,1.041
2017/10/31,1.042,1.042
2017/11/1,1.037,1.037
2017/11/2,1.034,1.034
2017/11/3,1.032,1.032
2017/11/6,1.032,1.032
2017/11/7,1.034,1.034
2017/11/8,1.032,1.032
2017/11/9,1.035,1.035
2017/11/10,1.031,1.031
2017/11/13,1.03,1.03
2017/11/14,1.032,1.032
2017/11/15,1.022,1.022
