日期,复权净值
2024-07-30,1.0
2024-07-31,1.0
2024-08-02,1.0
2024-08-09,1.0
2024-08-16,1.0
2024-08-23,1.001
2024-08-30,1.001
2024-09-06,1.001
2024-09-13,1.001
2024-09-20,1.003
2024-09-27,0.975
2024-09-30,0.999
2024-10-11,1.02
2024-10-18,1.009
2024-10-25,1.031
2024-10-31,1.038
2024-11-01,1.035
2024-11-08,1.048
2024-11-15,1.045
2024-11-22,1.061
2024-11-29,1.082
2024-12-06,1.1
2024-12-13,1.099
2024-12-20,1.09
2024-12-27,1.072
2024-12-31,1.068
2025-01-03,1.062
2025-01-10,1.067
2025-01-17,1.084
2025-01-24,1.086
2025-01-27,1.088
2025-02-07,1.088
2025-02-14,1.077
2025-02-21,1.093
2025-02-28,1.089
2025-03-07,1.106
2025-03-14,1.104
2025-03-21,1.107
2025-03-28,1.101
2025-03-31,1.102
2025-04-03,1.1
2025-04-11,1.096
2025-04-18,1.099
2025-04-25,1.116
2025-04-30,1.1219999999999999
2025-05-09,1.127
2025-05-16,1.1280000000000001
2025-05-23,1.127
2025-05-30,1.127
2025-06-06,1.137
2025-06-13,1.134
2025-06-20,1.134
2025-06-27,1.139
2025-06-30,1.1440000000000001
2025-07-04,1.152
2025-07-11,1.152
2025-07-18,1.159
2025-07-25,1.158
2025-07-31,1.166
2025-08-01,1.167
2025-08-08,1.171
2025-08-15,1.167
2025-08-22,1.165
2025-08-29,1.165
2025-09-05,1.162
2025-09-12,1.163
2025-09-19,1.168
2025-09-26,1.165
2025-09-30,1.166
2025-10-10,1.164
2025-10-17,1.16
2025-10-24,1.167
2025-10-31,1.159
2025-11-07,1.158
2025-11-14,1.158
2025-11-21,1.145
