日期,单位净值,累计净值,复权净值
2025-04-02,1.0001,1.0001,1.0001
2025-04-03,1.0001,1.0001,1.0001
2025-04-11,1.0004,1.0004,1.0004
2025-04-18,1.0005,1.0005,1.0005
2025-04-25,1.0005,1.0005,1.0005
2025-04-30,1.0005,1.0005,1.0005
2025-05-09,1.0004,1.0004,1.0004
2025-05-16,0.9944,0.9944,0.9944
2025-05-23,0.984,0.984,0.984
2025-05-30,0.9926,0.9926,0.9926
2025-06-06,1.018,1.018,1.018
2025-06-13,1.0178,1.0178,1.0178
2025-06-20,1.0062,1.0062,1.0062
2025-06-27,1.0479,1.0479,1.0479
2025-06-30,1.0611,1.0611,1.0611
2025-07-04,1.0657,1.0657,1.0657
2025-07-11,1.0924,1.0924,1.0924
2025-07-18,1.11,1.11,1.11
2025-07-25,1.1421,1.1421,1.1421
2025-07-31,1.1329,1.1329,1.1329
2025-08-01,1.1372,1.1372,1.1372
2025-08-08,1.1678,1.1678,1.1678
2025-08-15,1.2085,1.2085,1.2085
2025-08-22,1.2622,1.2622,1.2622
2025-08-29,1.268,1.268,1.268
2025-09-05,1.2559,1.2559,1.2559
2025-09-12,1.291,1.291,1.291
2025-09-19,1.2877,1.2877,1.2877
2025-09-26,1.2794,1.2794,1.2794
2025-09-30,1.3056,1.3056,1.3056
2025-10-10,1.3079,1.3079,1.3079
2025-10-17,1.2571,1.2571,1.2571
2025-10-24,1.3101,1.3101,1.3101
2025-10-31,1.3229,1.3229,1.3229
2025-11-07,1.3315,1.3315,1.3315
2025-11-14,1.3405,1.3405,1.3405
2025-11-21,1.2567,1.2567,1.2567
