日期,复权净值
2019-03-18,1.0
2019-03-22,1.0
2019-03-29,1.0
2019-04-04,0.9999
2019-04-12,0.9999
2019-04-19,0.9998
2019-04-26,0.9997
2019-04-30,0.9995
2019-05-10,0.9994
2019-05-17,0.9993
2019-05-24,0.9996
2019-05-31,1.0108
2019-06-06,1.0046
2019-06-14,1.0045
2019-06-21,1.0
2019-06-28,0.9997
2019-07-05,1.0007
2019-07-12,1.0012
2019-07-19,0.9961
2019-07-26,0.9962
2019-07-31,0.9928
2019-08-02,0.9921
2019-08-09,0.9984
2019-08-16,1.0031
2019-08-23,1.0089
2019-08-30,1.0075
2019-09-06,1.0113
2019-09-12,1.0151
2019-09-20,1.0184
2019-09-27,1.0151
2019-09-30,1.0132
2019-10-11,1.012
2019-10-18,1.0164
2019-10-25,1.024
2019-10-31,1.0321
2019-11-01,1.0358
2019-11-08,1.0311
2019-11-15,1.0335
2019-11-22,1.0271
2019-11-29,1.0071
2019-12-06,1.0125
2019-12-13,1.009
2019-12-20,1.0092
2019-12-27,1.0126
2019-12-31,1.0069
2020-01-03,1.0075
2020-01-10,1.0097
2020-01-17,1.0061
2020-01-23,1.0146
2020-02-07,1.0176
2020-02-14,1.0241
2020-02-21,1.0477
2020-02-28,1.0574
2020-03-06,1.0793
2020-03-13,1.0743
2020-03-20,1.074
2020-03-27,1.0787
2020-03-31,1.0834
2020-04-03,1.0901
2020-04-10,1.0966
2020-04-17,1.0922
2020-04-24,1.0918
2020-04-30,1.0765
2020-05-08,1.0801
2020-05-15,1.0794
2020-05-22,1.0792
2020-05-29,1.0961
2020-06-05,1.1031
2020-06-12,1.1065
2020-06-19,1.1068
2020-06-24,1.1062
2020-06-30,1.1124
2020-07-03,1.096
2020-07-10,1.0949
2020-07-17,1.1014
2020-07-24,1.1095
2020-07-31,1.1284
2020-08-07,1.134
2020-08-14,1.1245
2020-08-21,1.1452
2020-08-28,1.154
2020-08-31,1.1637
2020-09-04,1.1578
2020-09-11,1.1457
2020-09-18,1.1409
2020-09-25,1.1407
2020-09-30,1.1474
2020-10-09,1.1534
2020-10-16,1.1648
2020-10-23,1.1455
2020-10-30,1.1553
2020-11-06,1.1455
2020-11-13,1.1327
2020-11-20,1.1219
2020-11-27,1.1072
2020-11-30,1.1055
2020-12-04,1.1049
2020-12-11,1.1113
2020-12-18,1.1161
2020-12-25,1.1243
2020-12-31,1.1188
2021-01-08,1.1166
2021-01-15,1.1142
2021-01-22,1.1363
2021-01-29,1.1323
2021-02-05,1.141
2021-02-10,1.1421000000000001
2021-02-19,1.1345
2021-02-26,1.1369
2021-03-05,1.1401
2021-03-12,1.1476
2021-03-19,1.1536
2021-03-26,1.151
2021-03-31,1.1553
2021-04-02,1.1595
2021-04-09,1.1583
2021-04-16,1.1408
2021-04-23,1.1478
2021-04-30,1.1447
2021-05-07,1.1415
2021-05-14,1.1238
2021-05-21,1.1194
2021-05-28,1.1247
2021-05-31,1.1288
2021-06-04,1.1354
2021-06-11,1.1367
2021-06-18,1.1328
2021-06-25,1.1401
2021-06-30,1.1606
2021-07-02,1.1583999999999999
2021-07-09,1.1723
2021-07-16,1.1754
2021-07-23,1.1806
2021-07-30,1.1831
2021-08-06,1.1884000000000001
2021-08-13,1.2058
2021-08-20,1.2136
2021-08-27,1.225
2021-08-31,1.2328999999999999
2021-09-03,1.2168
2021-09-10,1.2315
2021-09-17,1.246
2021-09-24,1.2263
2021-09-30,1.2158
2021-10-08,1.2146
2021-10-15,1.1926
2021-10-22,1.2018
2021-10-29,1.1897
2021-11-05,1.1851
2021-11-12,1.1948
2021-11-19,1.2006999999999999
2021-11-26,1.2006999999999999
2021-11-30,1.1969
2021-12-03,1.1937
2021-12-10,1.1832
2021-12-17,1.1767
2021-12-24,1.1795
2021-12-31,1.1817
2022-01-07,1.1793
2022-01-14,1.1874
2022-01-21,1.1853
2022-01-28,1.1913
2022-02-11,1.1769
2022-02-18,1.1894
2022-02-25,1.2019
2022-02-28,1.205
2022-03-04,1.201
2022-03-11,1.2043
2022-03-18,1.2078
2022-03-25,1.2121
2022-03-31,1.2156
2022-04-01,1.2194
2022-04-08,1.226
2022-04-15,1.2279
2022-04-22,1.2401
2022-04-29,1.2422
2022-05-06,1.2511
2022-05-13,1.2514
2022-05-20,1.2610000000000001
2022-05-27,1.2581
2022-05-31,1.2553
2022-06-02,1.2564
2022-06-10,1.2650000000000001
2022-06-17,1.2688
2022-06-24,1.2765
2022-06-30,1.2817
2022-07-01,1.2866
2022-07-08,1.3
2022-07-15,1.2953000000000001
2022-07-22,1.2999
2022-07-29,1.3096999999999999
2022-08-05,1.3122
2022-08-12,1.3256000000000001
2022-08-19,1.3385
2022-08-26,1.3386
2022-08-31,1.3454
2022-09-02,1.3503
2022-09-09,1.3412
2022-09-16,1.3289
2022-09-23,1.3235999999999999
2022-09-30,1.3211
2022-10-14,1.3284
2022-10-21,1.3283
2022-10-28,1.332
2022-10-31,1.3253
2022-11-04,1.3333
2022-11-11,1.3279999999999998
2022-11-18,1.3279
2022-11-25,1.3352
2022-11-30,1.3363
2022-12-02,1.3382
2022-12-09,1.3395000000000001
2022-12-16,1.3372
2022-12-23,1.3373
2022-12-30,1.3344
2023-01-06,1.3408
2023-01-13,1.3375
2023-01-20,1.3182
2023-01-31,1.3186
2023-02-03,1.3152
2023-02-10,1.3136
2023-02-17,1.3042
2023-02-24,1.3062
2023-02-28,1.3067
2023-03-03,1.3059
2023-03-10,1.304
2023-03-17,1.2988
2023-03-24,1.2951000000000001
2023-03-31,1.2937
2023-04-07,1.2812999999999999
2023-04-14,1.2832
2023-04-21,1.2814
2023-04-28,1.2887
2023-05-05,1.2912
2023-05-12,1.2903
2023-05-19,1.294
2023-05-26,1.2963
2023-05-31,1.3162
2023-06-02,1.3191
2023-06-09,1.3255
2023-06-16,1.3266
2023-06-21,1.3292
2023-06-30,1.3447
2023-07-07,1.3472
2023-07-14,1.3449
2023-07-21,1.3459
2023-07-28,1.3447
2023-07-31,1.3423
2023-08-04,1.3377000000000001
2023-08-11,1.3386
2023-08-18,1.3489
2023-08-25,1.3566
2023-08-31,1.3548
2023-09-01,1.3592
2023-09-08,1.3599
2023-09-15,1.3617
2023-09-22,1.3625
2023-09-28,1.3664
2023-10-13,1.3674
2023-10-20,1.3687
2023-10-27,1.3687
2023-10-31,1.3707
2023-11-03,1.3713
2023-11-10,1.3716
2023-11-17,1.3756
2023-11-24,1.3808
2023-11-30,1.3828
2023-12-01,1.3820000000000001
2023-12-08,1.3797
2023-12-15,1.372
2023-12-22,1.3746
2023-12-29,1.3749
2024-01-05,1.3881000000000001
2024-01-12,1.391
2024-01-19,1.3998
2024-01-26,1.4107
2024-01-31,1.4089
2024-02-02,1.4
2024-02-08,1.3948
2024-02-23,1.4163999999999999
2024-02-29,1.4136
2024-03-01,1.4141
2024-03-08,1.4297
2024-03-15,1.4303
2024-03-22,1.4373
2024-03-29,1.4384000000000001
2024-04-03,1.4402
2024-04-12,1.4451
2024-04-19,1.4453
2024-04-26,1.4473
2024-04-30,1.4492
2024-05-10,1.4539
2024-05-17,1.4575
2024-05-24,1.4655
2024-05-31,1.4709
2024-06-07,1.4572
2024-06-14,1.4502000000000002
2024-06-21,1.457
2024-06-28,1.4678
2024-07-05,1.4725
2024-07-12,1.4741
2024-07-19,1.4656
2024-07-26,1.4688
2024-07-31,1.4634
2024-08-02,1.4674
2024-08-09,1.4702
2024-08-16,1.4797
2024-08-23,1.475
2024-08-30,1.4723
2024-09-06,1.4806
2024-09-13,1.4766
2024-09-20,1.4814
2024-09-27,1.4234
2024-09-30,1.4215
2024-10-11,1.4381
2024-10-18,1.4191
2024-10-25,1.4304000000000001
2024-10-31,1.4331
2024-11-01,1.4328
2024-11-08,1.4467
2024-11-15,1.4505
2024-11-22,1.4675
2024-11-29,1.4788999999999999
2024-12-06,1.4921
2024-12-13,1.4905
2024-12-20,1.4954
2024-12-27,1.4896
2024-12-31,1.4907
2025-01-03,1.4892
2025-01-10,1.4918
2025-01-17,1.4967000000000001
2025-01-24,1.494
2025-01-27,1.4998
2025-02-07,1.5026
2025-02-14,1.4986
2025-02-21,1.4919
2025-02-28,1.5044
2025-03-07,1.5110999999999999
2025-03-14,1.5143
2025-03-21,1.5223
2025-03-28,1.5269
2025-03-31,1.5278
2025-04-03,1.5299
2025-04-11,1.5249000000000001
2025-04-18,1.5343
2025-04-25,1.5428000000000002
2025-04-30,1.55
2025-05-09,1.5615
2025-05-16,1.5687
2025-05-23,1.5728
2025-05-30,1.5735000000000001
2025-06-06,1.582
2025-06-13,1.5816
2025-06-20,1.585
2025-06-27,1.5870000000000002
2025-06-30,1.5916000000000001
2025-07-04,1.6026
2025-07-11,1.5946
2025-07-18,1.6046
2025-07-25,1.5960999999999999
2025-07-31,1.5992000000000002
2025-08-01,1.5995
2025-08-08,1.5995
2025-08-15,1.5811
2025-08-22,1.5795
2025-08-29,1.5794000000000001
2025-09-05,1.5811
2025-09-12,1.5795
2025-09-19,1.5809000000000002
2025-09-26,1.5786
2025-09-30,1.5769
2025-10-10,1.5766
2025-10-17,1.5793
2025-10-24,1.5817999999999999
2025-10-31,1.584
2025-11-07,1.5887
2025-11-14,1.5958
2025-11-21,1.5903
