日期,复权净值
2022-05-09,1.0
2022-05-13,0.9998
2022-05-20,0.999
2022-05-27,1.029
2022-05-31,1.0106
2022-06-02,1.0043
2022-06-10,1.0071
2022-06-17,0.9988
2022-06-24,0.9778
2022-06-30,0.9681
2022-07-01,0.9532
2022-07-08,0.8977999999999999
2022-07-15,0.9147000000000001
2022-07-22,0.9275
2022-07-29,0.9774
2022-08-05,0.9978
2022-08-12,0.9967
2022-08-19,1.0125
2022-08-26,1.0297
2022-08-31,1.0222
2022-09-02,1.0042
2022-09-09,1.0099
2022-09-16,0.9829
2022-09-23,0.9929
2022-09-30,0.9659
2022-10-14,1.002
2022-10-21,0.9865
2022-10-28,1.0206
2022-10-31,1.0169
2022-11-04,1.0032
2022-11-11,1.0709
2022-11-18,1.0334
2022-11-25,1.0386
2022-11-30,1.0281
2022-12-02,1.0454
2022-12-09,1.0207
2022-12-16,1.0157
2022-12-23,1.0533
2022-12-27,1.0456
2022-12-30,1.0638
2023-01-06,1.0622
2023-01-13,1.0678
2023-01-20,1.0674
2023-01-31,1.077
2023-02-03,1.0821
2023-02-10,1.0698
2023-02-17,1.0777
2023-02-24,1.085
2023-02-28,1.0897000000000001
2023-03-03,1.0962
2023-03-10,1.1095
2023-03-17,1.1625
2023-03-24,1.1722
2023-03-31,1.1914
2023-04-07,1.2023
2023-04-14,1.2306
2023-04-21,1.2169
2023-04-28,1.2286
2023-05-05,1.2771
2023-05-12,1.2728
2023-05-19,1.2483
2023-05-26,1.2388
2023-05-31,1.2606
2023-06-02,1.2857
2023-06-09,1.2852999999999999
2023-06-16,1.2654
2023-06-21,1.2687
2023-06-30,1.2705
2023-07-07,1.2734
2023-07-14,1.2965
2023-07-21,1.3366
2023-07-28,1.2972
2023-07-31,1.2934
2023-08-04,1.3009
2023-08-11,1.3076
2023-08-18,1.3444
2023-08-25,1.3698
2023-08-31,1.384
2023-09-01,1.3721
2023-09-08,1.3569
2023-09-15,1.4087
2023-09-22,1.3964
2023-09-28,1.337
2023-10-13,1.271
2023-10-20,1.333
2023-10-27,1.346
2023-10-31,1.3606
2023-11-03,1.3614
2023-11-10,1.3323
2023-11-17,1.3568
2023-11-24,1.2932000000000001
2023-11-30,1.365
2023-12-01,1.3647
2023-12-08,1.3879
2023-12-15,1.4184
2023-12-22,1.4397
2023-12-29,1.4586000000000001
2024-01-05,1.4624000000000001
2024-01-12,1.4526
2024-01-19,1.4522
2024-01-26,1.4491
2024-01-31,1.4929999999999999
2024-02-02,1.5
2024-02-08,1.4944
2024-02-23,1.4941
2024-02-29,1.5097
2024-03-01,1.5104
2024-03-08,1.6191
2024-03-15,1.6280999999999999
2024-03-22,1.6516
2024-03-29,1.6822
2024-04-03,1.6968
2024-04-12,1.7063
2024-04-19,1.7204000000000002
2024-04-26,1.7121
2024-04-30,1.7167
2024-05-10,1.7222
2024-05-17,1.7428
2024-05-24,1.7155
2024-05-31,1.7237
2024-06-07,1.7388
2024-06-14,1.7107999999999999
2024-06-21,1.7591
2024-06-28,1.7456999999999998
2024-07-05,1.7826
2024-07-12,1.8179
2024-07-19,1.8266
2024-07-26,1.7782
2024-07-31,1.8094000000000001
2024-08-02,1.8329
2024-08-09,1.8061
2024-08-16,1.8325
2024-08-23,1.8578000000000001
2024-08-30,1.8782999999999999
2024-09-06,1.8666
2024-09-13,1.8892
2024-09-20,1.9009
2024-09-27,1.9801000000000002
2024-09-30,1.9727999999999999
2024-10-11,1.9344000000000001
2024-10-18,1.9684
2024-10-25,1.983
2024-10-31,2.0041
2024-11-01,1.9951
2024-11-08,1.9796
2024-11-15,1.9362
2024-11-22,2.0229999999999997
2024-11-29,2.0098000000000003
2024-12-06,2.0126999999999997
2024-12-13,2.0269
2024-12-20,1.9954
2024-12-24,2.0113
2024-12-27,2.0221999999999998
2024-12-31,2.0095
2025-01-03,2.0252
2025-01-10,2.0517000000000003
2025-01-17,2.0678
2025-01-24,2.0799
2025-01-27,2.0833
2025-02-07,2.1394
2025-02-14,2.1806
2025-02-21,2.1826999999999996
2025-02-28,2.1746
2025-03-07,2.1849
2025-03-14,2.2042
2025-03-21,2.2161999999999997
2025-03-28,2.2546999999999997
2025-03-31,2.2724
2025-04-03,2.3319
2025-04-11,2.395
2025-04-18,2.4389
2025-04-25,2.4576000000000002
2025-04-30,2.4711
2025-05-09,2.4322999999999997
2025-05-16,2.5274
2025-05-23,2.5608000000000004
2025-05-30,2.5743
2025-06-06,2.5978000000000003
2025-06-13,2.6139
2025-06-20,2.5909
2025-06-27,2.5799000000000003
2025-06-30,2.5751
2025-07-04,2.5751
2025-07-11,2.5702
2025-07-18,2.563
2025-07-25,2.5328
2025-07-31,2.5304
2025-08-01,2.5304
2025-08-08,2.5177
2025-08-15,2.5213
2025-08-22,2.5268
2025-08-29,2.5318
2025-09-05,2.6119
2025-09-12,2.6233000000000004
2025-09-19,2.6231
2025-09-26,2.6416
2025-09-30,2.6523
2025-10-10,2.6668000000000003
2025-10-17,2.6587
2025-10-24,2.6406
2025-10-31,2.7084
2025-11-07,2.7164
2025-11-14,2.7319
