日期,复权净值
2023-01-12,1.0
2023-01-13,1.0
2023-01-20,1.0
2023-01-31,1.001
2023-02-03,1.001
2023-02-10,1.001
2023-02-17,1.001
2023-02-24,1.001
2023-02-28,1.001
2023-03-03,1.001
2023-03-10,1.002
2023-03-17,1.0
2023-03-24,1.003
2023-03-31,0.996
2023-04-07,0.984
2023-04-14,0.991
2023-04-21,0.986
2023-04-28,0.993
2023-05-05,0.999
2023-05-12,1.003
2023-05-19,1.003
2023-05-26,1.006
2023-05-31,1.002
2023-06-02,0.999
2023-06-09,1.01
2023-06-16,1.006
2023-06-21,1.003
2023-06-30,1.015
2023-07-07,1.022
2023-07-14,1.023
2023-07-21,1.023
2023-07-28,1.029
2023-07-31,1.032
2023-08-04,1.031
2023-08-11,1.034
2023-08-18,1.044
2023-08-25,1.05
2023-08-31,1.053
2023-09-01,1.055
2023-09-08,1.054
2023-09-15,1.053
2023-09-22,1.053
2023-09-28,1.054
2023-10-13,1.05
2023-10-20,1.053
2023-10-27,1.055
2023-10-31,1.058
2023-11-03,1.056
2023-11-10,1.055
2023-11-17,1.063
2023-11-24,1.069
2023-11-30,1.075
2023-12-01,1.072
2023-12-08,1.063
2023-12-15,1.077
2023-12-22,1.072
2023-12-29,1.069
2024-01-05,1.077
2024-01-12,1.081
2024-01-19,1.084
2024-01-26,1.09
2024-01-31,1.093
2024-02-02,1.102
2024-02-08,1.092
2024-02-23,1.1
2024-02-29,1.096
2024-03-01,1.096
2024-03-08,1.104
2024-03-15,1.106
2024-03-22,1.111
2024-03-29,1.1312
2024-04-03,1.1297
2024-04-12,1.1312
2024-04-19,1.1172
2024-04-26,1.1093
2024-04-30,1.1033
2024-05-10,1.115
2024-05-17,1.1261999999999999
2024-05-24,1.1257
2024-05-31,1.1278
2024-06-07,1.1201
2024-06-14,1.1148
2024-06-21,1.117
2024-06-28,1.1261
2024-07-05,1.1305
2024-07-12,1.1248
2024-07-19,1.1239
2024-07-26,1.125
2024-07-31,1.1185
2024-08-02,1.1209
2024-08-09,1.1204
2024-08-16,1.1252
2024-08-23,1.1273
2024-08-30,1.1217
2024-09-06,1.1308
2024-09-13,1.1295
2024-09-20,1.1379
2024-09-27,1.081
2024-09-30,1.0979
2024-10-11,1.0831
2024-10-18,1.0658
2024-10-25,1.101
2024-10-31,1.1075
2024-11-01,1.1086
2024-11-08,1.1259000000000001
2024-11-15,1.1293
2024-11-22,1.1599
2024-11-29,1.1702
2024-12-06,1.1828
2024-12-13,1.1846
2024-12-20,1.1826
2024-12-27,1.1741
2024-12-31,1.1763
2025-01-03,1.1721
2025-01-10,1.185
2025-01-17,1.1926999999999999
2025-01-24,1.188
2025-01-27,1.1873
2025-02-07,1.2002
2025-02-14,1.2036
2025-02-21,1.207
2025-02-28,1.2231
2025-03-07,1.2288000000000001
2025-03-14,1.2302
2025-03-21,1.2402
2025-03-28,1.2358
2025-03-31,1.236
2025-04-03,1.2391
2025-04-11,1.2367
2025-04-18,1.2407
2025-04-25,1.2431
2025-04-30,1.2424
2025-05-09,1.2473
2025-05-16,1.2556
2025-05-23,1.2563
2025-05-30,1.2564
2025-06-06,1.2568
2025-06-13,1.2551
2025-06-20,1.2488
2025-06-27,1.2423
2025-06-30,1.2458
2025-07-04,1.256
2025-07-11,1.2525
2025-07-18,1.2522
2025-07-25,1.2482
2025-07-31,1.2544
2025-08-01,1.2545
2025-08-08,1.2555
2025-08-15,1.231
2025-08-22,1.2226
2025-08-29,1.2163
2025-09-05,1.2247
2025-09-12,1.2241
2025-09-19,1.2274
2025-09-26,1.221
2025-09-30,1.2189999999999999
2025-10-10,1.2263
2025-10-17,1.2381
2025-10-24,1.2455
2025-10-31,1.2426
2025-11-07,1.2570999999999999
2025-11-14,1.2651
2025-11-21,1.2489
