日期,复权净值
2023-02-13,1.0
2023-02-17,1.0001
2023-02-24,1.0002
2023-02-28,1.0002
2023-03-03,1.0002
2023-03-10,1.0003
2023-03-17,1.0001
2023-03-24,0.9969
2023-03-31,0.9954
2023-04-07,0.9866
2023-04-14,0.9912
2023-04-21,0.9885
2023-04-28,0.993
2023-05-05,0.997
2023-05-12,0.9983
2023-05-19,1.0005
2023-05-26,1.009
2023-05-31,1.0094
2023-06-02,1.0068
2023-06-09,1.0129
2023-06-16,1.0121
2023-06-21,1.0132
2023-06-30,1.0236
2023-07-07,1.025
2023-07-14,1.0206
2023-07-21,1.0193
2023-07-28,1.0171
2023-07-31,1.0167
2023-08-04,1.0135
2023-08-11,1.013
2023-08-18,1.013
2023-08-25,1.0228
2023-08-31,1.0225
2023-09-01,1.0227
2023-09-08,1.0251
2023-09-15,1.0261
2023-09-22,1.023
2023-09-28,1.0282
2023-10-13,1.0301
2023-10-20,1.0239
2023-10-27,1.0282
2023-10-31,1.0284
2023-11-03,1.0297
2023-11-10,1.0299
2023-11-17,1.0385
2023-11-24,1.0435
2023-11-30,1.0455
2023-12-01,1.0457
2023-12-08,1.0352999999999999
2023-12-15,1.0432
2023-12-22,1.0401
2023-12-29,1.0426
2024-01-05,1.0508
2024-01-12,1.0515
2024-01-19,1.0564
2024-01-26,1.0566
2024-01-31,1.0566
2024-02-02,1.0567
2024-02-08,1.0568
2024-02-23,1.0835
2024-02-29,1.083
2024-03-01,1.0826
2024-03-08,1.0785
2024-03-15,1.0903
2024-03-22,1.0935
2024-03-29,1.1044
2024-04-03,1.1044
2024-04-12,1.0992
2024-04-19,1.0859
2024-04-26,1.0879
2024-04-30,1.0904
2024-05-10,1.094
2024-05-17,1.0942
2024-05-24,1.0965
2024-05-31,1.0995
2024-06-07,1.0924
2024-06-14,1.0942
2024-06-21,1.0954
2024-06-28,1.103
2024-07-05,1.1009
2024-07-12,1.0964
2024-07-19,1.0924
2024-07-26,1.0937
2024-07-31,1.0911
2024-08-02,1.0922
2024-08-09,1.1015
2024-08-16,1.1032
2024-08-23,1.1002
2024-08-30,1.0977
2024-09-06,1.1062
2024-09-13,1.1078
2024-09-20,1.1144
2024-09-27,1.0672
2024-09-30,1.1298
2024-10-11,1.1703999999999999
2024-10-18,1.1391
2024-10-25,1.162
2024-10-31,1.1616
2024-11-01,1.1635
2024-11-08,1.1764000000000001
2024-11-15,1.2403
2024-11-22,1.2635
2024-11-29,1.2847
2024-12-06,1.3054999999999999
2024-12-13,1.3133
2024-12-20,1.316
2024-12-27,1.2999
2024-12-31,1.2948
2025-01-03,1.2851
2025-01-10,1.2967
2025-01-17,1.3046
2025-01-24,1.2938
2025-01-27,1.294
2025-02-07,1.32
2025-02-14,1.3273
2025-02-21,1.3256000000000001
2025-02-28,1.3314
2025-03-07,1.3428
2025-03-14,1.3467
2025-03-21,1.357
2025-03-28,1.3494
2025-03-31,1.351
2025-04-03,1.3517000000000001
2025-04-11,1.3418
2025-04-18,1.3464
2025-04-25,1.356
2025-04-30,1.3593
2025-05-09,1.3698
2025-05-16,1.377
2025-05-23,1.383
2025-05-30,1.3828
2025-06-06,1.3883
2025-06-13,1.3835
2025-06-20,1.3739
2025-06-27,1.3806
2025-06-30,1.3903
2025-07-04,1.3942999999999999
2025-07-11,1.3886
2025-07-18,1.3925
2025-07-25,1.4006
2025-07-31,1.4041
2025-08-01,1.4061
2025-08-08,1.4077
2025-08-15,1.3965
2025-08-22,1.4095
2025-08-29,1.4104
2025-09-05,1.4122
2025-09-12,1.4158
2025-09-19,1.4197
2025-09-26,1.4194
2025-09-30,1.416
2025-10-10,1.4212
2025-10-17,1.417
2025-10-24,1.4245
2025-10-31,1.4149
2025-11-07,1.4205
2025-11-14,1.4273
2025-11-21,1.404
