日期,复权净值
2023-07-25,1.0
2023-07-28,1.0
2023-07-31,1.0
2023-08-04,1.0001
2023-08-11,1.0003
2023-08-18,1.0004
2023-08-25,0.9909
2023-08-31,0.9923
2023-09-01,0.9915
2023-09-08,0.9899
2023-09-15,0.9817
2023-09-22,0.9802
2023-09-28,0.9814
2023-10-13,0.991
2023-10-20,0.982
2023-10-27,0.9915
2023-10-31,0.9941
2023-11-03,0.9927
2023-11-10,1.0019
2023-11-17,1.0112
2023-11-24,1.0087
2023-11-30,1.0115
2023-12-01,1.0118
2023-12-08,0.9963
2023-12-15,1.0048
2023-12-22,1.0012
2023-12-29,1.0077
2024-01-05,1.0086
2024-01-12,1.008
2024-01-19,1.0117
2024-01-26,1.0142
2024-01-31,1.0061
2024-02-02,1.006
2024-02-08,0.9825
2024-02-23,0.9994
2024-02-29,0.9969
2024-03-01,0.9961
2024-03-08,0.9982
2024-03-15,1.0001
2024-03-22,1.0077
2024-03-29,1.0152
2024-04-03,1.0118
2024-04-12,1.0086
2024-04-19,0.9927
2024-04-26,1.0048
2024-04-30,1.0041
2024-05-10,1.0079
2024-05-17,1.0155
2024-05-24,1.0163
2024-05-31,1.0207
2024-06-07,1.0067
2024-06-14,1.0149
2024-06-21,1.0249
2024-06-28,1.0381
2024-07-05,1.0405
2024-07-12,1.0443
2024-07-19,1.0389
2024-07-26,1.0432
2024-07-31,1.0393
2024-08-02,1.0433
2024-08-09,1.0391
2024-08-16,1.0513
2024-08-23,1.0511
2024-08-30,1.046
2024-09-06,1.0464
2024-09-13,1.0451
2024-09-20,1.0466
2024-09-27,0.9983
2024-09-30,0.9991
2024-10-11,1.0199
2024-10-18,1.0263
2024-10-25,1.0505
2024-10-31,1.0524
2024-11-01,1.0442
2024-11-08,1.0555
2024-11-15,1.0526
2024-11-22,1.0707
2024-11-29,1.0875
2024-12-06,1.0936
2024-12-13,1.1035
2024-12-20,1.1015
2024-12-27,1.1013
2024-12-31,1.1047
2025-01-03,1.105
2025-01-10,1.1114
2025-01-15,1.1163
2025-01-17,1.1124
2025-01-24,1.1159
2025-01-27,1.1191
2025-02-07,1.1164
2025-02-14,1.1123
2025-02-21,1.1107
2025-02-28,1.126
2025-03-07,1.1383
2025-03-14,1.1348
2025-03-21,1.1521
2025-03-28,1.1491
2025-03-31,1.1521
2025-04-03,1.1502
2025-04-11,1.1546
2025-04-18,1.1582
2025-04-25,1.1654
2025-04-30,1.1619
2025-05-09,1.1697
2025-05-16,1.1784
2025-05-23,1.1817
2025-05-30,1.1815
2025-06-06,1.1848
2025-06-13,1.1811
2025-06-20,1.174
2025-06-27,1.1637
2025-06-30,1.1663999999999999
2025-07-04,1.1801
2025-07-11,1.1804000000000001
2025-07-18,1.1735
2025-07-25,1.1723
2025-07-31,1.1771
2025-08-01,1.1789
2025-08-08,1.1824
2025-08-15,1.1715
2025-08-22,1.1687
2025-08-29,1.168
2025-09-05,1.1708
2025-09-12,1.1673
2025-09-19,1.1729
2025-09-26,1.1723
2025-09-30,1.1683
2025-10-10,1.1778
2025-10-17,1.187
2025-10-24,1.1904
2025-10-31,1.1843
2025-11-07,1.1926
2025-11-14,1.1952
2025-11-21,1.1855
