日期,单位净值,累计净值,复权净值
2023-04-10,1.0,1.0,1.0
2023-04-11,1.0,1.0,1.0
2023-04-12,1.0,1.0,1.0
2023-04-13,1.0001,1.0001,1.0001
2023-04-14,1.0002,1.0002,1.0002
2023-04-17,1.0002,1.0002,1.0002
2023-04-18,1.0004,1.0004,1.0004
2023-04-19,1.0004,1.0004,1.0004
2023-04-20,1.0005,1.0005,1.0005
2023-04-21,1.0006,1.0006,1.0006
2023-04-24,1.0007,1.0007,1.0007
2023-04-25,1.0007,1.0007,1.0007
2023-04-26,1.0007,1.0007,1.0007
2023-04-27,0.9953,0.9953,0.9953
2023-04-28,1.0064,1.0064,1.0064
2023-05-04,1.0156,1.0156,1.0156
2023-05-05,1.0206,1.0206,1.0206
2023-05-08,1.0171,1.0171,1.0171
2023-05-09,1.0108,1.0108,1.0108
2023-05-10,1.0204,1.0204,1.0204
2023-05-11,1.0316,1.0316,1.0316
2023-05-12,1.0354,1.0354,1.0354
2023-05-15,1.0329,1.0329,1.0329
2023-05-16,1.0328,1.0328,1.0328
2023-05-17,1.0465,1.0465,1.0465
2023-05-18,1.0553,1.0553,1.0553
2023-05-19,1.0564,1.0564,1.0564
2023-05-22,1.0643,1.0643,1.0643
2023-05-23,1.0652,1.0652,1.0652
2023-05-24,1.0729,1.0729,1.0729
2023-05-25,1.0786,1.0786,1.0786
2023-05-26,1.0776,1.0776,1.0776
2023-05-29,1.0779,1.0779,1.0779
2023-05-30,1.0816,1.0816,1.0816
2023-05-31,1.0831,1.0831,1.0831
2023-06-01,1.0858,1.0858,1.0858
2023-06-02,1.087,1.087,1.087
2023-06-05,1.096,1.096,1.096
2023-06-06,1.0907,1.0907,1.0907
2023-06-07,1.098,1.098,1.098
2023-06-08,1.0968,1.0968,1.0968
2023-06-09,1.095,1.095,1.095
2023-06-12,1.1022,1.1022,1.1022
2023-06-13,1.1072,1.1072,1.1072
2023-06-14,1.1079,1.1079,1.1079
2023-06-15,1.1004,1.1004,1.1004
2023-06-16,1.1016,1.1016,1.1016
2023-06-19,1.1057,1.1057,1.1057
2023-06-20,1.1042,1.1042,1.1042
2023-06-21,1.0988,1.0988,1.0988
2023-06-26,1.0901,1.0901,1.0901
2023-06-27,1.0966,1.0966,1.0966
2023-06-28,1.093,1.093,1.093
2023-06-29,1.1009,1.1009,1.1009
2023-06-30,1.1041,1.1041,1.1041
2023-07-03,1.1004,1.1004,1.1004
2023-07-04,1.108,1.108,1.108
2023-07-05,1.1018,1.1018,1.1018
2023-07-06,1.1122,1.1122,1.1122
2023-07-07,1.1018,1.1018,1.1018
2023-07-10,1.0979,1.0979,1.0979
2023-07-11,1.0998,1.0998,1.0998
2023-07-12,1.0862,1.0862,1.0862
2023-07-13,1.0984,1.0984,1.0984
2023-07-14,1.119,1.119,1.119
2023-07-17,1.1232,1.1232,1.1232
2023-07-18,1.1161,1.1161,1.1161
2023-07-19,1.1205,1.1205,1.1205
2023-07-20,1.107,1.107,1.107
2023-07-21,1.0994,1.0994,1.0994
2023-07-24,1.1097,1.1097,1.1097
2023-07-25,1.1125,1.1125,1.1125
2023-07-26,1.0973,1.0973,1.0973
2023-07-27,1.0889,1.0889,1.0889
2023-07-28,1.0849,1.0849,1.0849
2023-07-31,1.0881,1.0881,1.0881
2023-08-01,1.0828,1.0828,1.0828
2023-08-02,1.091,1.091,1.091
2023-08-03,1.0848,1.0848,1.0848
2023-08-04,1.0997,1.0997,1.0997
2023-08-07,1.1086,1.1086,1.1086
2023-08-08,1.1111,1.1111,1.1111
2023-08-09,1.1036,1.1036,1.1036
2023-08-10,1.1089,1.1089,1.1089
2023-08-11,1.1016,1.1016,1.1016
2023-08-14,1.1201,1.1201,1.1201
2023-08-15,1.1116,1.1116,1.1116
2023-08-16,1.0981,1.0981,1.0981
2023-08-17,1.1083,1.1083,1.1083
2023-08-18,1.0957,1.0957,1.0957
2023-08-21,1.1068,1.1068,1.1068
2023-08-22,1.1287,1.1287,1.1287
2023-08-23,1.1285,1.1285,1.1285
2023-08-24,1.1282,1.1282,1.1282
2023-08-25,1.101,1.101,1.101
2023-08-28,1.0898,1.0898,1.0898
2023-08-29,1.1159,1.1159,1.1159
2023-08-30,1.1396,1.1396,1.1396
2023-08-31,1.1409,1.1409,1.1409
2023-09-01,1.134,1.134,1.134
2023-09-04,1.1387,1.1387,1.1387
2023-09-05,1.146,1.146,1.146
2023-09-06,1.1558,1.1558,1.1558
2023-09-07,1.161,1.161,1.161
2023-09-08,1.1646,1.1646,1.1646
2023-09-11,1.168,1.168,1.168
2023-09-12,1.1623,1.1623,1.1623
2023-09-13,1.1556,1.1556,1.1556
2023-09-14,1.149,1.149,1.149
2023-09-15,1.1437,1.1437,1.1437
2023-09-18,1.1433,1.1433,1.1433
2023-09-19,1.1311,1.1311,1.1311
2023-09-20,1.1306,1.1306,1.1306
2023-09-21,1.134,1.134,1.134
2023-09-22,1.1501,1.1501,1.1501
2023-09-25,1.1464,1.1464,1.1464
2023-09-26,1.1474,1.1474,1.1474
2023-09-27,1.1416,1.1416,1.1416
2023-09-28,1.1624,1.1624,1.1624
2023-10-09,1.1631,1.1631,1.1631
2023-10-10,1.1793,1.1793,1.1793
2023-10-11,1.1868,1.1868,1.1868
2023-10-12,1.1791,1.1791,1.1791
2023-10-13,1.178,1.178,1.178
2023-10-16,1.1811,1.1811,1.1811
2023-10-17,1.1842,1.1842,1.1842
2023-10-18,1.1693,1.1693,1.1693
2023-10-19,1.1754,1.1754,1.1754
2023-10-20,1.1674,1.1674,1.1674
2023-10-23,1.1619,1.1619,1.1619
2023-10-24,1.1876,1.1876,1.1876
2023-10-25,1.2043,1.2043,1.2043
2023-10-26,1.2067,1.2067,1.2067
2023-10-27,1.1971,1.1971,1.1971
2023-10-30,1.2092,1.2092,1.2092
2023-10-31,1.2136,1.2136,1.2136
2023-11-01,1.2219,1.2219,1.2219
2023-11-02,1.2215,1.2215,1.2215
2023-11-03,1.2288,1.2288,1.2288
2023-11-06,1.2406,1.2406,1.2406
2023-11-07,1.2459,1.2459,1.2459
2023-11-08,1.2546,1.2546,1.2546
2023-11-09,1.2518,1.2518,1.2518
2023-11-10,1.2543,1.2543,1.2543
2023-11-13,1.2692,1.2692,1.2692
2023-11-14,1.2718,1.2718,1.2718
2023-11-15,1.2714,1.2714,1.2714
2023-11-16,1.2756,1.2756,1.2756
2023-11-17,1.283,1.283,1.283
2023-11-20,1.2869,1.2869,1.2869
2023-11-21,1.2852,1.2852,1.2852
2023-11-22,1.2899,1.2899,1.2899
2023-11-23,1.2901,1.2901,1.2901
2023-11-24,1.2881,1.2881,1.2881
2023-11-27,1.292,1.292,1.292
2023-11-28,1.2979,1.2979,1.2979
2023-11-29,1.298,1.298,1.298
2023-11-30,1.2969,1.2969,1.2969
2023-12-01,1.3034,1.3034,1.3034
2023-12-04,1.3096,1.3096,1.3096
2023-12-05,1.305,1.305,1.305
2023-12-06,1.3089,1.3089,1.3089
2023-12-07,1.3078,1.3078,1.3078
2023-12-08,1.295,1.295,1.295
2023-12-11,1.2983,1.2983,1.2983
2023-12-12,1.3034,1.3034,1.3034
