,date,nav_unit,nav_accumulated,nav_adjusted,885007.WI
0,2024-10-16,1.0,1.0,1.0,1.0
1,2024-10-17,1.0,1.0,1.0,0.99931160528538
2,2024-10-18,1.0,1.0,1.0,1.0047206331214376
3,2024-10-21,1.0,1.0,1.0,1.006187057606069
4,2024-10-22,1.0,1.0,1.0,1.0066395639886434
5,2024-10-23,1.0,1.0,1.0,1.0066174690730287
6,2024-10-24,1.0,1.0,1.0,1.0043078180787504
7,2024-10-25,1.0,1.0,1.0,1.0060895344984175
8,2024-10-28,1.0001,1.0001,1.0001,1.0069306477632944
9,2024-10-29,1.0002,1.0002,1.0002,1.0045961818353806
10,2024-10-30,1.0002,1.0002,1.0002,1.003494574536978
11,2024-10-31,1.0002,1.0002,1.0002,1.0041492410281407
12,2024-11-01,1.0002,1.0002,1.0002,1.0041023521021062
13,2024-11-04,1.0003,1.0003,1.0003,1.0067750627325078
14,2024-11-05,1.0003,1.0003,1.0003,1.0108671833822132
15,2024-11-06,1.0022,1.0022,1.0022,1.0104059101723255
16,2024-11-07,1.0022,1.0022,1.0022,1.014206423966991
17,2024-11-08,1.0023,1.0023,1.0023,1.0135877454065643
18,2024-11-11,1.0043,1.0043,1.0043,1.0164265654451714
19,2024-11-12,1.0043,1.0043,1.0043,1.0147697815455188
20,2024-11-13,1.0044,1.0044,1.0044,1.0150015689273175
21,2024-11-14,1.0046,1.0046,1.0046,1.011162953957146
22,2024-11-15,1.0046,1.0046,1.0046,1.0084621016018374
23,2024-11-18,1.0047,1.0047,1.0047,1.0061775375429964
24,2024-11-19,1.0072,1.0072,1.0072,1.0087554450837672
25,2024-11-20,1.0072,1.0072,1.0072,1.0104139865335255
26,2024-11-21,1.0071,1.0071,1.0071,1.0109440134296914
27,2024-11-22,1.0071,1.0071,1.0071,1.00657463925081
28,2024-11-25,1.008,1.008,1.008,1.0066448366389606
29,2024-11-26,1.0079,1.0079,1.0079,1.0063393367687998
30,2024-11-27,1.0079,1.0079,1.0079,1.009508387918341
31,2024-11-28,1.0079,1.0079,1.0079,1.009204959446519
32,2024-11-29,1.0089,1.0089,1.0089,1.0121933386298358
33,2024-12-02,1.009,1.009,1.009,1.0153559663522054
34,2024-12-03,1.0095,1.0095,1.0095,1.015488054611936
35,2024-12-04,1.0096,1.0096,1.0096,1.014555109354035
36,2024-12-05,1.0101,1.0101,1.0101,1.0153954903063684
37,2024-12-06,1.0101,1.0101,1.0101,1.0174954069880318
38,2024-12-09,1.0102,1.0102,1.0102,1.0180827634947887
39,2024-12-10,1.0102,1.0102,1.0102,1.0213297117758011
40,2024-12-11,1.0102,1.0102,1.0102,1.023309340891301
41,2024-12-12,1.0102,1.0102,1.0102,1.0257616672923753
42,2024-12-13,1.0103,1.0103,1.0103,1.0234993655348734
43,2024-12-16,1.0104,1.0104,1.0104,1.022116947760652
44,2024-12-17,1.0104,1.0104,1.0104,1.0202449685891273
45,2024-12-18,1.0105,1.0105,1.0105,1.0209905882982606
46,2024-12-19,1.0106,1.0106,1.0106,1.0208381626730212
47,2024-12-20,1.0114,1.0114,1.0114,1.0223964191506758
48,2024-12-23,1.0115,1.0115,1.0115,1.0212232335318967
49,2024-12-24,1.0115,1.0115,1.0115,1.0228203653440326
50,2024-12-25,1.0114,1.0114,1.0114,1.0216585201080783
51,2024-12-26,1.0117,1.0117,1.0117,1.0227350823174746
52,2024-12-27,1.0118,1.0118,1.0118,1.0237375554206287
