日期,单位净值,累计净值,累计单位净值,基金id
2024-01-19,1.0,1.0,1.0,君享大类资产全天候2号
2024-02-23,1.0,1.0,1.0,君享大类资产全天候2号
2024-02-26,1.0,1.0,1.0,君享大类资产全天候2号
2024-02-27,1.0,1.0,1.0,君享大类资产全天候2号
2024-02-28,1.0,1.0,1.0,君享大类资产全天候2号
2024-02-29,1.0,1.0,1.0,君享大类资产全天候2号
2024-03-01,1.0,1.0,1.0,君享大类资产全天候2号
2024-03-04,1.0,1.0,1.0,君享大类资产全天候2号
2024-03-05,1.0,1.0,1.0,君享大类资产全天候2号
2024-03-06,1.0,1.0,1.0,君享大类资产全天候2号
2024-03-07,1.0,1.0,1.0,君享大类资产全天候2号
2024-03-08,1.0,1.0,1.0,君享大类资产全天候2号
2024-03-11,1.0,1.0,1.0,君享大类资产全天候2号
2024-03-12,1.0,1.0,1.0,君享大类资产全天候2号
2024-03-13,1.0,1.0,1.0,君享大类资产全天候2号
2024-03-14,1.0,1.0,1.0,君享大类资产全天候2号
2024-03-15,1.0,1.0,1.0,君享大类资产全天候2号
2024-03-18,1.0001,1.0001,1.0001,君享大类资产全天候2号
2024-03-19,1.0002,1.0002,1.0002,君享大类资产全天候2号
2024-03-20,1.0002,1.0002,1.0002,君享大类资产全天候2号
2024-03-21,1.0002,1.0002,1.0002,君享大类资产全天候2号
2024-03-22,1.0003,1.0003,1.0003,君享大类资产全天候2号
2024-03-25,1.0004,1.0004,1.0004,君享大类资产全天候2号
2024-03-26,1.0004,1.0004,1.0004,君享大类资产全天候2号
2024-03-27,1.0004,1.0004,1.0004,君享大类资产全天候2号
2024-03-28,1.0004,1.0004,1.0004,君享大类资产全天候2号
2024-03-29,1.0004,1.0004,1.0004,君享大类资产全天候2号
2024-04-01,1.0005,1.0005,1.0005,君享大类资产全天候2号
2024-04-02,1.0003,1.0003,1.0003,君享大类资产全天候2号
2024-04-03,1.0016,1.0016,1.0016,君享大类资产全天候2号
2024-04-08,1.0097,1.0097,1.0097,君享大类资产全天候2号
2024-04-09,1.0137,1.0137,1.0137,君享大类资产全天候2号
2024-04-10,1.013,1.013,1.013,君享大类资产全天候2号
2024-04-11,1.0106,1.0106,1.0106,君享大类资产全天候2号
2024-04-12,1.0157,1.0157,1.0157,君享大类资产全天候2号
2024-04-15,1.0204,1.0204,1.0204,君享大类资产全天候2号
2024-04-16,1.0139,1.0139,1.0139,君享大类资产全天候2号
2024-04-17,1.0164,1.0164,1.0164,君享大类资产全天候2号
2024-04-18,1.0181,1.0181,1.0181,君享大类资产全天候2号
2024-04-19,1.0205,1.0205,1.0205,君享大类资产全天候2号
2024-04-22,1.0215,1.0215,1.0215,君享大类资产全天候2号
2024-04-23,1.0153,1.0153,1.0153,君享大类资产全天候2号
2024-04-24,1.0125,1.0125,1.0125,君享大类资产全天候2号
2024-04-25,1.0142,1.0142,1.0142,君享大类资产全天候2号
2024-04-26,1.0136,1.0136,1.0136,君享大类资产全天候2号
2024-04-29,1.0124,1.0124,1.0124,君享大类资产全天候2号
2024-04-30,1.0153,1.0153,1.0153,君享大类资产全天候2号
2024-05-06,1.0116,1.0116,1.0116,君享大类资产全天候2号
2024-05-07,1.0156,1.0156,1.0156,君享大类资产全天候2号
2024-05-08,1.0136,1.0136,1.0136,君享大类资产全天候2号
2024-05-09,1.0118,1.0118,1.0118,君享大类资产全天候2号
2024-05-10,1.0153,1.0153,1.0153,君享大类资产全天候2号
2024-05-13,1.0199,1.0199,1.0198999999999998,君享大类资产全天候2号
2024-05-14,1.0207,1.0207,1.0206999999999997,君享大类资产全天候2号
2024-05-15,1.0216,1.0216,1.0215999999999998,君享大类资产全天候2号
2024-05-16,1.0245,1.0245,1.0244999999999997,君享大类资产全天候2号
2024-05-17,1.026,1.026,1.0259999999999998,君享大类资产全天候2号
2024-05-20,1.0346,1.0346,1.0345999999999997,君享大类资产全天候2号
2024-05-21,1.0344,1.0344,1.0343999999999998,君享大类资产全天候2号
2024-05-22,1.0352,1.0352,1.0351999999999997,君享大类资产全天候2号
2024-05-23,1.0287,1.0287,1.0286999999999997,君享大类资产全天候2号
2024-05-24,1.0223,1.0223,1.0222999999999998,君享大类资产全天候2号
2024-05-27,1.0244,1.0244,1.0243999999999998,君享大类资产全天候2号
2024-05-28,1.0274,1.0274,1.0273999999999999,君享大类资产全天候2号
2024-05-29,1.0275,1.0275,1.0274999999999996,君享大类资产全天候2号
2024-05-30,1.0225,1.0225,1.0224999999999995,君享大类资产全天候2号
2024-05-31,1.0193,1.0193,1.0192999999999997,君享大类资产全天候2号
2024-06-03,1.0218,1.0218,1.0217999999999996,君享大类资产全天候2号
2024-06-04,1.0247,1.0247,1.0246999999999995,君享大类资产全天候2号
2024-06-05,1.0256,1.0256,1.0255999999999996,君享大类资产全天候2号
