日期,单位净值,累计净值,累计单位净值,基金id
2023-09-08,1.0,1.0,1.0,甄盈中性FOF18号
2023-09-20,1.0,1.0,1.0,甄盈中性FOF18号
2023-09-21,1.0,1.0,1.0,甄盈中性FOF18号
2023-09-25,1.0,1.0,1.0,甄盈中性FOF18号
2023-09-26,1.0,1.0,1.0,甄盈中性FOF18号
2023-09-27,0.9999,0.9999,0.9999,甄盈中性FOF18号
2023-09-28,0.9999,0.9999,0.9999,甄盈中性FOF18号
2023-10-09,0.9999,0.9999,0.9999,甄盈中性FOF18号
2023-10-10,0.9999,0.9999,0.9999,甄盈中性FOF18号
2023-10-11,1.0001,1.0001,1.0001,甄盈中性FOF18号
2023-10-12,1.0001,1.0001,1.0001,甄盈中性FOF18号
2023-10-13,1.0001,1.0001,1.0001,甄盈中性FOF18号
2023-10-16,1.0001,1.0001,1.0001,甄盈中性FOF18号
2023-10-17,1.0001,1.0001,1.0001,甄盈中性FOF18号
2023-10-18,1.0003,1.0003,1.0003,甄盈中性FOF18号
2023-10-19,1.0002,1.0002,1.0002,甄盈中性FOF18号
2023-10-20,1.0,1.0,1.0,甄盈中性FOF18号
2023-10-23,1.0001,1.0001,1.0001,甄盈中性FOF18号
2023-10-24,1.0003,1.0003,1.0003,甄盈中性FOF18号
2023-10-25,1.0005,1.0005,1.0005,甄盈中性FOF18号
2023-10-26,1.0011,1.0011,1.0011,甄盈中性FOF18号
2023-10-27,1.0014,1.0014,1.0014,甄盈中性FOF18号
2023-10-30,1.0015,1.0015,1.0015,甄盈中性FOF18号
2023-10-31,1.0002,1.0002,1.0002,甄盈中性FOF18号
2023-11-01,1.0003,1.0003,1.0003,甄盈中性FOF18号
2023-11-02,1.0008,1.0008,1.0008,甄盈中性FOF18号
2023-11-03,1.0016,1.0016,1.0016,甄盈中性FOF18号
2023-11-06,1.0013,1.0013,1.0013,甄盈中性FOF18号
2023-11-07,1.001,1.001,1.001,甄盈中性FOF18号
2023-11-08,1.0011,1.0011,1.0011,甄盈中性FOF18号
2023-11-09,1.001,1.001,1.001,甄盈中性FOF18号
2023-11-10,1.001,1.001,1.001,甄盈中性FOF18号
2023-11-13,1.0006,1.0006,1.0006,甄盈中性FOF18号
2023-11-14,1.0013,1.0013,1.0013,甄盈中性FOF18号
2023-11-15,1.0026,1.0026,1.0026,甄盈中性FOF18号
2023-11-16,1.0046,1.0046,1.0046,甄盈中性FOF18号
2023-11-17,1.0047,1.0047,1.0047,甄盈中性FOF18号
2023-11-20,1.0048,1.0048,1.0048,甄盈中性FOF18号
2023-11-21,1.0065,1.0065,1.0065,甄盈中性FOF18号
2023-11-22,1.0073,1.0073,1.0073,甄盈中性FOF18号
2023-11-23,1.0076,1.0076,1.0076,甄盈中性FOF18号
2023-11-24,1.0084,1.0084,1.0084,甄盈中性FOF18号
2023-11-27,1.0085,1.0085,1.0085,甄盈中性FOF18号
2023-11-28,1.0094,1.0094,1.0094,甄盈中性FOF18号
2023-11-29,1.0104,1.0104,1.0104,甄盈中性FOF18号
2023-11-30,1.0128,1.0128,1.0128,甄盈中性FOF18号
2023-12-01,1.0122,1.0122,1.0122,甄盈中性FOF18号
2023-12-04,1.0128,1.0128,1.0128,甄盈中性FOF18号
2023-12-05,1.0132,1.0132,1.0132,甄盈中性FOF18号
2023-12-06,1.0154,1.0154,1.0154,甄盈中性FOF18号
2023-12-07,1.0146,1.0146,1.0146,甄盈中性FOF18号
2023-12-08,1.0153,1.0153,1.0153,甄盈中性FOF18号
2023-12-11,1.0128,1.0128,1.0128,甄盈中性FOF18号
2023-12-12,1.0076,1.0076,1.0076,甄盈中性FOF18号
2023-12-13,1.0077,1.0077,1.0077,甄盈中性FOF18号
2023-12-14,1.0095,1.0095,1.0095,甄盈中性FOF18号
