日期,单位净值,累计净值,累计单位净值,基金id
2024-04-15,1.0,1.0,1.0,上海宽德量化中性3号私募证券投资基金B
2024-04-16,1.0,1.0,1.0,上海宽德量化中性3号私募证券投资基金B
2024-04-17,1.0,1.0,1.0,上海宽德量化中性3号私募证券投资基金B
2024-04-18,1.0,1.0,1.0,上海宽德量化中性3号私募证券投资基金B
2024-04-19,1.0,1.0,1.0,上海宽德量化中性3号私募证券投资基金B
2024-04-22,1.0,1.0,1.0,上海宽德量化中性3号私募证券投资基金B
2024-04-23,1.0,1.0,1.0,上海宽德量化中性3号私募证券投资基金B
2024-04-24,1.0,1.0,1.0,上海宽德量化中性3号私募证券投资基金B
2024-04-25,1.0,1.0,1.0,上海宽德量化中性3号私募证券投资基金B
2024-04-26,1.0,1.0,1.0,上海宽德量化中性3号私募证券投资基金B
2024-04-29,1.0,1.0,1.0,上海宽德量化中性3号私募证券投资基金B
2024-04-30,1.0,1.0,1.0,上海宽德量化中性3号私募证券投资基金B
2024-05-06,1.0,1.0,1.0,上海宽德量化中性3号私募证券投资基金B
2024-05-09,1.0,1.0,1.0,上海宽德量化中性3号私募证券投资基金B
2024-05-14,1.0,1.0,1.0,上海宽德量化中性3号私募证券投资基金B
2024-05-16,1.0,1.0,1.0,上海宽德量化中性3号私募证券投资基金B
2024-05-17,1.0,1.0,1.0,上海宽德量化中性3号私募证券投资基金B
2024-05-21,1.0,1.0,1.0,上海宽德量化中性3号私募证券投资基金B
2024-05-23,1.0,1.0,1.0,上海宽德量化中性3号私募证券投资基金B
2024-05-28,1.0,1.0,1.0,上海宽德量化中性3号私募证券投资基金B
2024-05-30,1.0,1.0,1.0,上海宽德量化中性3号私募证券投资基金B
2024-06-04,0.998,0.998,0.998,上海宽德量化中性3号私募证券投资基金B
2024-06-12,0.996,0.996,0.996,上海宽德量化中性3号私募证券投资基金B
2024-06-14,0.999,0.999,0.999,上海宽德量化中性3号私募证券投资基金B
2024-06-18,0.997,0.997,0.997,上海宽德量化中性3号私募证券投资基金B
2024-06-20,0.998,0.998,0.9979999999999999,上海宽德量化中性3号私募证券投资基金B
2024-06-25,0.998,0.998,0.9979999999999999,上海宽德量化中性3号私募证券投资基金B
2024-07-02,1.005,1.005,1.005,上海宽德量化中性3号私募证券投资基金B
2024-07-09,1.012,1.012,1.012,上海宽德量化中性3号私募证券投资基金B
2024-07-11,1.009,1.009,1.009,上海宽德量化中性3号私募证券投资基金B
2024-07-16,1.011,1.011,1.011,上海宽德量化中性3号私募证券投资基金B
2024-07-18,1.014,1.014,1.014,上海宽德量化中性3号私募证券投资基金B
2024-07-23,1.014,1.014,1.014,上海宽德量化中性3号私募证券投资基金B
2024-07-25,1.015,1.015,1.015,上海宽德量化中性3号私募证券投资基金B
2024-07-30,1.02,1.02,1.02,上海宽德量化中性3号私募证券投资基金B
2024-08-06,1.024,1.024,1.024,上海宽德量化中性3号私募证券投资基金B
2024-08-08,1.031,1.031,1.031,上海宽德量化中性3号私募证券投资基金B
2024-08-13,1.027,1.027,1.027,上海宽德量化中性3号私募证券投资基金B
2024-08-14,1.026,1.026,1.026,上海宽德量化中性3号私募证券投资基金B
2024-08-20,1.031,1.031,1.031,上海宽德量化中性3号私募证券投资基金B
2024-08-27,1.027,1.027,1.027,上海宽德量化中性3号私募证券投资基金B
2024-09-03,1.019,1.019,1.019,上海宽德量化中性3号私募证券投资基金B
2024-09-10,1.029,1.029,1.029,上海宽德量化中性3号私募证券投资基金B
2024-09-19,1.023,1.023,1.023,上海宽德量化中性3号私募证券投资基金B
2024-09-24,1.029,1.029,1.029,上海宽德量化中性3号私募证券投资基金B
2024-10-08,0.987,0.987,0.987,上海宽德量化中性3号私募证券投资基金B
2024-10-09,0.995,0.995,0.9950000000000001,上海宽德量化中性3号私募证券投资基金B
2024-10-11,0.995,0.995,0.9950000000000001,上海宽德量化中性3号私募证券投资基金B
2024-10-15,1.018,1.018,1.018,上海宽德量化中性3号私募证券投资基金B
2024-10-17,1.02,1.02,1.02,上海宽德量化中性3号私募证券投资基金B
2024-10-22,1.007,1.007,1.007,上海宽德量化中性3号私募证券投资基金B
2024-10-24,1.031,1.031,1.031,上海宽德量化中性3号私募证券投资基金B
2024-10-29,1.036,1.036,1.036,上海宽德量化中性3号私募证券投资基金B
2024-10-31,1.041,1.041,1.041,上海宽德量化中性3号私募证券投资基金B
2024-11-05,1.047,1.047,1.047,上海宽德量化中性3号私募证券投资基金B
2024-11-12,1.051,1.051,1.051,上海宽德量化中性3号私募证券投资基金B
2024-11-19,1.05,1.05,1.05,上海宽德量化中性3号私募证券投资基金B
2024-11-26,1.066,1.066,1.066,上海宽德量化中性3号私募证券投资基金B
2024-11-28,1.077,1.077,1.077,上海宽德量化中性3号私募证券投资基金B
2024-12-03,1.076,1.076,1.076,上海宽德量化中性3号私募证券投资基金B
2024-12-05,1.082,1.082,1.082,上海宽德量化中性3号私募证券投资基金B
2024-12-10,1.087,1.087,1.087,上海宽德量化中性3号私募证券投资基金B
2024-12-12,1.085,1.085,1.085,上海宽德量化中性3号私募证券投资基金B
2024-12-16,1.091,1.091,1.0910000000000002,上海宽德量化中性3号私募证券投资基金B
2024-12-17,1.091,1.091,1.0910000000000002,上海宽德量化中性3号私募证券投资基金B
2024-12-19,1.09,1.09,1.0900000000000003,上海宽德量化中性3号私募证券投资基金B
2024-12-24,1.087,1.087,1.0870000000000002,上海宽德量化中性3号私募证券投资基金B
2024-12-26,1.082,1.082,1.0820000000000003,上海宽德量化中性3号私募证券投资基金B
2024-12-31,1.078,1.078,1.0780000000000003,上海宽德量化中性3号私募证券投资基金B
2025-01-03,1.08,1.08,1.0800000000000003,上海宽德量化中性3号私募证券投资基金B
2025-01-07,1.081,1.081,1.0810000000000002,上海宽德量化中性3号私募证券投资基金B
2025-01-09,1.088,1.088,1.0880000000000003,上海宽德量化中性3号私募证券投资基金B
2025-01-14,1.086,1.086,1.0860000000000003,上海宽德量化中性3号私募证券投资基金B
2025-01-15,1.091,1.091,1.0910000000000002,上海宽德量化中性3号私募证券投资基金B
2025-01-16,1.093,1.093,1.0930000000000002,上海宽德量化中性3号私募证券投资基金B
2025-01-21,1.091,1.091,1.0910000000000002,上海宽德量化中性3号私募证券投资基金B
2025-01-23,1.088,1.088,1.0880000000000003,上海宽德量化中性3号私募证券投资基金B
2025-02-05,1.084,1.084,1.0840000000000003,上海宽德量化中性3号私募证券投资基金B
2025-02-06,1.086,1.086,1.0860000000000003,上海宽德量化中性3号私募证券投资基金B
2025-02-10,1.088,1.088,1.0880000000000005,上海宽德量化中性3号私募证券投资基金B
2025-02-11,1.093,1.093,1.0930000000000004,上海宽德量化中性3号私募证券投资基金B
2025-02-14,1.095,1.095,1.0950000000000004,上海宽德量化中性3号私募证券投资基金B
2025-02-18,1.091,1.091,1.0910000000000004,上海宽德量化中性3号私募证券投资基金B
2025-02-20,1.096,1.096,1.0960000000000005,上海宽德量化中性3号私募证券投资基金B
2025-02-25,1.094,1.094,1.0940000000000005,上海宽德量化中性3号私募证券投资基金B
