日期,单位净值,累计净值,累计单位净值,基金id
2024-03-22,1.0,1.0,1.0,黑翼中性策略18号私募证券投资基金C
2024-03-25,1.0,1.0,1.0,黑翼中性策略18号私募证券投资基金C
2024-03-26,1.0,1.0,1.0,黑翼中性策略18号私募证券投资基金C
2024-03-27,1.0,1.0,1.0,黑翼中性策略18号私募证券投资基金C
2024-03-28,1.0,1.0,1.0,黑翼中性策略18号私募证券投资基金C
2024-03-29,1.0,1.0,1.0,黑翼中性策略18号私募证券投资基金C
2024-04-01,1.0,1.0,1.0,黑翼中性策略18号私募证券投资基金C
2024-04-02,1.0,1.0,1.0,黑翼中性策略18号私募证券投资基金C
2024-04-03,1.0,1.0,1.0,黑翼中性策略18号私募证券投资基金C
2024-04-08,1.0,1.0,1.0,黑翼中性策略18号私募证券投资基金C
2024-04-12,1.0,1.0,1.0,黑翼中性策略18号私募证券投资基金C
2024-04-19,1.0,1.0,1.0,黑翼中性策略18号私募证券投资基金C
2024-04-26,1.0,1.0,1.0,黑翼中性策略18号私募证券投资基金C
2024-04-30,1.0,1.0,1.0,黑翼中性策略18号私募证券投资基金C
2024-05-06,1.0,1.0,1.0,黑翼中性策略18号私募证券投资基金C
2024-05-10,1.0,1.0,1.0,黑翼中性策略18号私募证券投资基金C
2024-05-15,1.0,1.0,1.0,黑翼中性策略18号私募证券投资基金C
2024-05-17,1.008,1.008,1.008,黑翼中性策略18号私募证券投资基金C
2024-05-20,1.005,1.005,1.005,黑翼中性策略18号私募证券投资基金C
2024-05-23,1.009,1.009,1.0089999999999997,黑翼中性策略18号私募证券投资基金C
2024-05-24,1.009,1.009,1.0089999999999997,黑翼中性策略18号私募证券投资基金C
2024-05-31,1.013,1.013,1.0129999999999997,黑翼中性策略18号私募证券投资基金C
2024-06-07,1.005,1.005,1.0049999999999997,黑翼中性策略18号私募证券投资基金C
2024-06-11,1.001,1.001,1.0009999999999997,黑翼中性策略18号私募证券投资基金C
2024-06-14,1.003,1.003,1.0029999999999997,黑翼中性策略18号私募证券投资基金C
2024-06-17,1.001,1.001,1.0009999999999997,黑翼中性策略18号私募证券投资基金C
2024-06-21,1.004,1.004,1.0039999999999998,黑翼中性策略18号私募证券投资基金C
2024-06-28,1.011,1.011,1.0109999999999997,黑翼中性策略18号私募证券投资基金C
2024-07-05,1.014,1.014,1.0139999999999998,黑翼中性策略18号私募证券投资基金C
2024-07-12,1.009,1.009,1.0089999999999997,黑翼中性策略18号私募证券投资基金C
2024-07-15,1.012,1.012,1.0119999999999998,黑翼中性策略18号私募证券投资基金C
2024-07-17,1.01,1.01,1.0099999999999998,黑翼中性策略18号私募证券投资基金C
2024-07-18,1.01,1.01,1.0099999999999998,黑翼中性策略18号私募证券投资基金C
2024-07-19,1.008,1.008,1.0079999999999998,黑翼中性策略18号私募证券投资基金C
2024-07-26,1.013,1.013,1.0129999999999997,黑翼中性策略18号私募证券投资基金C
2024-08-02,1.004,1.004,1.0039999999999998,黑翼中性策略18号私募证券投资基金C
2024-08-09,1.009,1.009,1.0089999999999997,黑翼中性策略18号私募证券投资基金C
