基金代码,基金名称,日期,单位净值,累计净值
B7800B,宽德小洞天3号B,2023-09-01,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-04,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-05,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-06,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-07,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-08,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-11,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-12,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-13,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-14,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-15,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-18,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-19,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-20,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-21,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-22,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-25,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-26,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-28,1.0,1.0
B7800B,宽德小洞天3号B,2023-10-13,1.0,1.0
B7800B,宽德小洞天3号B,2023-10-20,1.0,1.0
B7800B,宽德小洞天3号B,2023-10-23,1.0,1.0
B7800B,宽德小洞天3号B,2023-10-27,1.013,1.013
B7800B,宽德小洞天3号B,2023-10-30,1.023,1.023
B7800B,宽德小洞天3号B,2023-11-03,1.022,1.022
B7800B,宽德小洞天3号B,2023-11-06,1.041,1.041
B7800B,宽德小洞天3号B,2023-11-07,1.048,1.048
B7800B,宽德小洞天3号B,2023-11-10,1.046,1.046
B7800B,宽德小洞天3号B,2023-11-17,1.078,1.078
B7800B,宽德小洞天3号B,2023-11-20,1.092,1.092
B7800B,宽德小洞天3号B,2023-11-24,1.078,1.078
B7800B,宽德小洞天3号B,2023-11-27,1.08,1.08
B7800B,宽德小洞天3号B,2023-12-01,1.089,1.089
B7800B,宽德小洞天3号B,2023-12-07,1.077,1.077
B7800B,宽德小洞天3号B,2023-12-08,1.068,1.068
B7800B,宽德小洞天3号B,2023-12-11,1.079,1.079
