基金代码,基金名称,日期,单位净值,累计净值
B7800B,宽德小洞天3号B,2023-09-05,2.0,2.0
B7800B,宽德小洞天3号B,2023-09-06,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-07,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-08,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-11,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-12,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-13,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-14,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-15,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-18,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-19,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-20,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-21,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-22,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-25,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-26,1.0,1.0
B7800B,宽德小洞天3号B,2023-09-27,1.0,1.0
B7800B,宽德小洞天3号B,2023-10-10,1.0,1.0
B7800B,宽德小洞天3号B,2023-10-17,1.0,1.0
B7800B,宽德小洞天3号B,2023-10-24,1.0,1.0
B7800B,宽德小洞天3号B,2023-10-25,1.0,1.0
B7800B,宽德小洞天3号B,2023-10-31,1.013,1.013
B7800B,宽德小洞天3号B,2023-11-01,1.023,1.023
B7800B,宽德小洞天3号B,2023-11-07,1.022,1.022
B7800B,宽德小洞天3号B,2023-11-08,1.041,1.041
B7800B,宽德小洞天3号B,2023-11-09,1.048,1.048
B7800B,宽德小洞天3号B,2023-11-14,1.046,1.046
B7800B,宽德小洞天3号B,2023-11-21,1.078,1.078
B7800B,宽德小洞天3号B,2023-11-22,1.092,1.092
B7800B,宽德小洞天3号B,2023-11-28,1.078,1.078
B7800B,宽德小洞天3号B,2023-11-29,1.08,1.08
B7800B,宽德小洞天3号B,2023-12-05,1.089,1.089
B7800B,宽德小洞天3号B,2023-12-11,1.077,1.077
B7800B,宽德小洞天3号B,2023-12-12,1.068,1.068
B7800B,宽德小洞天3号B,2023-12-13,1.079,1.079
B7800B,宽德小洞天3号B,2023-12-19,1.074,1.074
B7800B,宽德小洞天3号B,2023-12-20,1.062,1.062
B7800B,宽德小洞天3号B,2023-12-26,1.046,1.046
B7800B,宽德小洞天3号B,2024-01-03,1.076,1.076
B7800B,宽德小洞天3号B,2024-01-09,1.056,1.056
B7800B,宽德小洞天3号B,2024-01-10,1.039,1.039
B7800B,宽德小洞天3号B,2024-01-16,1.049,1.049
B7800B,宽德小洞天3号B,2024-01-17,1.048,1.048
B7800B,宽德小洞天3号B,2024-01-23,1.007,1.007
B7800B,宽德小洞天3号B,2024-01-24,0.956,0.956
B7800B,宽德小洞天3号B,2024-01-30,1.0,1.0
B7800B,宽德小洞天3号B,2024-02-06,0.839,0.839
B7800B,宽德小洞天3号B,2024-02-19,0.716,0.716
B7800B,宽德小洞天3号B,2024-02-20,0.779,0.779
B7800B,宽德小洞天3号B,2024-02-27,0.922,0.922
B7800B,宽德小洞天3号B,2024-03-05,0.95,0.95
B7800B,宽德小洞天3号B,2024-03-11,0.944,0.944
B7800B,宽德小洞天3号B,2024-03-12,0.952,0.952
B7800B,宽德小洞天3号B,2024-03-19,1.006,1.006
B7800B,宽德小洞天3号B,2024-03-20,1.029,1.029
B7800B,宽德小洞天3号B,2024-03-26,1.043,1.043
B7800B,宽德小洞天3号B,2024-03-27,1.016,1.016
B7800B,宽德小洞天3号B,2024-04-02,1.027,1.027
B7800B,宽德小洞天3号B,2024-04-09,1.043,1.043
B7800B,宽德小洞天3号B,2024-04-11,1.016,1.016
B7800B,宽德小洞天3号B,2024-04-16,1.006,1.006
B7800B,宽德小洞天3号B,2024-04-23,0.932,0.932
B7800B,宽德小洞天3号B,2024-04-30,0.983,0.983
B7800B,宽德小洞天3号B,2024-05-07,1.008,1.008
B7800B,宽德小洞天3号B,2024-05-14,1.032,1.032
B7800B,宽德小洞天3号B,2024-05-21,1.041,1.041
B7800B,宽德小洞天3号B,2024-05-28,1.006,1.006
B7800B,宽德小洞天3号B,2024-05-29,1.012,1.012
B7800B,宽德小洞天3号B,2024-06-04,1.006,1.006
B7800B,宽德小洞天3号B,2024-06-12,0.931,0.931
B7800B,宽德小洞天3号B,2024-06-18,0.947,0.947
B7800B,宽德小洞天3号B,2024-06-25,0.931,0.931
B7800B,宽德小洞天3号B,2024-07-02,0.916,0.916
B7800B,宽德小洞天3号B,2024-07-09,0.915,0.915
B7800B,宽德小洞天3号B,2024-07-10,0.89,0.89
B7800B,宽德小洞天3号B,2024-07-16,0.926,0.926
B7800B,宽德小洞天3号B,2024-07-23,0.908,0.908
B7800B,宽德小洞天3号B,2024-07-24,0.914,0.914
B7800B,宽德小洞天3号B,2024-07-30,0.909,0.909
B7800B,宽德小洞天3号B,2024-07-31,0.917,0.917
B7800B,宽德小洞天3号B,2024-08-06,0.951,0.951
B7800B,宽德小洞天3号B,2024-08-13,0.945,0.945
B7800B,宽德小洞天3号B,2024-08-20,0.95,0.95
B7800B,宽德小洞天3号B,2024-08-27,0.91,0.91
B7800B,宽德小洞天3号B,2024-09-03,0.954,0.954
B7800B,宽德小洞天3号B,2024-09-10,0.939,0.939
B7800B,宽德小洞天3号B,2024-09-19,0.931,0.931
B7800B,宽德小洞天3号B,2024-09-24,0.944,0.944
B7800B,宽德小洞天3号B,2024-10-08,1.076,1.076
B7800B,宽德小洞天3号B,2024-10-09,1.185,1.185
B7800B,宽德小洞天3号B,2024-10-15,1.125,1.125
B7800B,宽德小洞天3号B,2024-10-22,1.196,1.196
B7800B,宽德小洞天3号B,2024-10-23,1.223,1.223
B7800B,宽德小洞天3号B,2024-10-29,1.288,1.288
B7800B,宽德小洞天3号B,2024-11-05,1.309,1.309
B7800B,宽德小洞天3号B,2024-11-06,1.336,1.336
B7800B,宽德小洞天3号B,2024-11-11,1.425,1.425
B7800B,宽德小洞天3号B,2024-11-12,1.428,1.428
B7800B,宽德小洞天3号B,2024-11-13,1.454,1.454
B7800B,宽德小洞天3号B,2024-11-19,1.382,1.382
B7800B,宽德小洞天3号B,2024-11-20,1.345,1.345
B7800B,宽德小洞天3号B,2024-11-26,1.393,1.393
B7800B,宽德小洞天3号B,2024-11-27,1.428,1.428
B7800B,宽德小洞天3号B,2024-12-03,1.474,1.474
B7800B,宽德小洞天3号B,2024-12-04,1.511,1.511
B7800B,宽德小洞天3号B,2024-12-10,1.55,1.55
B7800B,宽德小洞天3号B,2024-12-11,1.55,1.55
B7800B,宽德小洞天3号B,2024-12-17,1.596,1.596
B7800B,宽德小洞天3号B,2024-12-24,1.552,1.552
B7800B,宽德小洞天3号B,2024-12-25,1.468,1.468
B7800B,宽德小洞天3号B,2024-12-31,1.482,1.482
B7800B,宽德小洞天3号B,2025-01-02,1.461,1.461
B7800B,宽德小洞天3号B,2025-01-07,1.355,1.355
B7800B,宽德小洞天3号B,2025-01-08,1.347,1.347
B7800B,宽德小洞天3号B,2025-01-09,1.387,1.387
B7800B,宽德小洞天3号B,2025-01-14,1.353,1.353
B7800B,宽德小洞天3号B,2025-01-15,1.359,1.359
B7800B,宽德小洞天3号B,2025-01-21,1.436,1.436
B7800B,宽德小洞天3号B,2025-01-22,1.456,1.456
B7800B,宽德小洞天3号B,2025-02-05,1.451,1.451
B7800B,宽德小洞天3号B,2025-02-06,1.436,1.436
B7800B,宽德小洞天3号B,2025-02-11,1.507,1.507
B7800B,宽德小洞天3号B,2025-02-18,1.542,1.542
B7800B,宽德小洞天3号B,2025-02-25,1.601,1.601
B7800B,宽德小洞天3号B,2025-02-26,1.61,1.61
