日期,单位净值,累计净值,累计单位净值,基金id
2021-02-02,1.0,1.0,1.0,健顺云6号C
2021-02-05,1.0,1.0,1.0,健顺云6号C
2021-02-10,1.0,1.0,1.0,健顺云6号C
2021-02-18,1.0,1.0,1.0,健顺云6号C
2021-02-19,1.0,1.0,1.0,健顺云6号C
2021-02-26,0.995,0.995,0.995,健顺云6号C
2021-03-05,1.0,1.0,0.9999999999999999,健顺云6号C
2021-03-12,1.009,1.009,1.0089999999999997,健顺云6号C
2021-03-19,1.0,1.0,0.9999999999999998,健顺云6号C
2021-03-26,0.985,0.985,0.9849999999999998,健顺云6号C
2021-03-31,0.985,0.985,0.9849999999999998,健顺云6号C
2021-04-02,0.991,0.991,0.9909999999999998,健顺云6号C
2021-04-09,0.987,0.987,0.9869999999999998,健顺云6号C
2021-04-16,1.008,1.008,1.0079999999999998,健顺云6号C
2021-04-23,1.038,1.038,1.0379999999999998,健顺云6号C
2021-04-30,1.075,1.075,1.0749999999999997,健顺云6号C
2021-05-07,1.065,1.065,1.0649999999999997,健顺云6号C
2021-05-14,1.091,1.091,1.0909999999999997,健顺云6号C
2021-05-21,1.084,1.084,1.0839999999999999,健顺云6号C
2021-05-28,1.092,1.092,1.0919999999999996,健顺云6号C
2021-05-31,1.12,1.12,1.1199999999999994,健顺云6号C
2021-06-04,1.092,1.092,1.0919999999999994,健顺云6号C
2021-06-11,1.059,1.059,1.0589999999999993,健顺云6号C
2021-06-18,1.088,1.088,1.0879999999999994,健顺云6号C
2021-06-25,1.11,1.11,1.1099999999999994,健顺云6号C
2021-06-30,1.138,1.138,1.1379999999999992,健顺云6号C
2021-07-02,1.111,1.111,1.1109999999999993,健顺云6号C
2021-07-09,1.157,1.157,1.1569999999999994,健顺云6号C
2021-07-16,1.217,1.217,1.2169999999999992,健顺云6号C
2021-07-23,1.273,1.273,1.272999999999999,健顺云6号C
2021-07-30,1.345,1.345,1.344999999999999,健顺云6号C
2021-08-06,1.338,1.338,1.3379999999999992,健顺云6号C
2021-08-13,1.334,1.334,1.3339999999999992,健顺云6号C
2021-08-20,1.305,1.305,1.304999999999999,健顺云6号C
2021-08-27,1.421,1.421,1.4209999999999992,健顺云6号C
2021-08-31,1.423,1.423,1.4229999999999994,健顺云6号C
2021-09-03,1.332,1.332,1.3319999999999994,健顺云6号C
2021-09-07,1.34,1.34,1.3399999999999994,健顺云6号C
2021-09-10,1.343,1.343,1.3429999999999993,健顺云6号C
2021-09-17,1.275,1.275,1.2749999999999992,健顺云6号C
2021-09-24,1.336,1.336,1.3359999999999994,健顺云6号C
2021-09-30,1.255,1.255,1.2549999999999992,健顺云6号C
2021-10-08,1.231,1.231,1.2309999999999994,健顺云6号C
2021-10-15,1.244,1.244,1.2439999999999993,健顺云6号C
2021-10-22,1.286,1.286,1.2859999999999994,健顺云6号C
2021-10-29,1.333,1.333,1.3329999999999993,健顺云6号C
2021-11-05,1.321,1.321,1.3209999999999993,健顺云6号C
2021-11-12,1.45,1.45,1.449999999999999,健顺云6号C
2021-11-19,1.424,1.424,1.423999999999999,健顺云6号C
2021-11-26,1.422,1.422,1.421999999999999,健顺云6号C
2021-11-30,1.404,1.404,1.403999999999999,健顺云6号C
2021-12-03,1.384,1.384,1.383999999999999,健顺云6号C
2021-12-10,1.37,1.37,1.3699999999999992,健顺云6号C
2021-12-17,1.33,1.33,1.3299999999999992,健顺云6号C
2021-12-24,1.344,1.344,1.3439999999999992,健顺云6号C
2021-12-31,1.374,1.374,1.3739999999999992,健顺云6号C
2022-01-07,1.26,1.26,1.2599999999999991,健顺云6号C
2022-01-11,1.25,1.25,1.2499999999999991,健顺云6号C
2022-01-14,1.254,1.254,1.2539999999999991,健顺云6号C
2022-01-21,1.261,1.261,1.260999999999999,健顺云6号C
2022-01-28,1.181,1.181,1.1809999999999992,健顺云6号C
2022-02-07,1.189,1.189,1.1889999999999992,健顺云6号C
2022-02-11,1.184,1.184,1.183999999999999,健顺云6号C
2022-02-18,1.197,1.197,1.1969999999999992,健顺云6号C
2022-02-25,1.195,1.195,1.1949999999999992,健顺云6号C
2022-02-28,1.193,1.193,1.1929999999999992,健顺云6号C
2022-03-04,1.163,1.163,1.1629999999999991,健顺云6号C
2022-03-11,1.132,1.132,1.131999999999999,健顺云6号C
2022-03-18,1.118,1.118,1.1179999999999992,健顺云6号C
2022-03-25,1.114,1.114,1.1139999999999992,健顺云6号C
2022-03-31,1.098,1.098,1.0979999999999992,健顺云6号C
2022-04-01,1.105,1.105,1.104999999999999,健顺云6号C
2022-04-08,1.064,1.064,1.0639999999999992,健顺云6号C
2022-04-15,0.994,0.994,0.9939999999999991,健顺云6号C
2022-04-22,0.972,0.972,0.9719999999999991,健顺云6号C
2022-04-29,0.948,0.948,0.9479999999999991,健顺云6号C
2022-05-06,0.941,0.941,0.9409999999999991,健顺云6号C
2022-05-13,0.981,0.981,0.9809999999999991,健顺云6号C
2022-05-20,1.007,1.007,1.006999999999999,健顺云6号C
2022-05-27,0.986,0.986,0.9859999999999991,健顺云6号C
2022-05-31,1.006,1.006,1.0059999999999991,健顺云6号C
