日期,单位净值,累计净值,累计单位净值,基金id
2015-01-26,1.0,1.0,1.0,易同精选2号
2015-01-27,1.0,1.0,1.0,易同精选2号
2015-01-28,1.0,1.0,1.0,易同精选2号
2015-01-29,1.0,1.0,1.0,易同精选2号
2015-01-30,1.0,1.0,1.0,易同精选2号
2015-02-02,1.0,1.0,1.0,易同精选2号
2015-02-03,1.0,1.0,1.0,易同精选2号
2015-02-04,1.0,1.0,1.0,易同精选2号
2015-02-05,1.0,1.0,1.0,易同精选2号
2015-02-06,0.991,0.991,0.991,易同精选2号
2015-02-09,0.991,0.991,0.991,易同精选2号
2015-02-10,0.991,0.991,0.991,易同精选2号
2015-02-11,0.991,0.991,0.991,易同精选2号
2015-02-12,0.991,0.991,0.991,易同精选2号
2015-02-13,0.999,0.999,0.999,易同精选2号
2015-02-16,0.999,0.999,0.999,易同精选2号
2015-02-17,1.01,1.01,1.01,易同精选2号
2015-02-25,1.01,1.01,1.01,易同精选2号
2015-02-26,1.01,1.01,1.01,易同精选2号
2015-02-27,1.011,1.011,1.0110000000000001,易同精选2号
2015-03-02,1.011,1.011,1.0110000000000001,易同精选2号
2015-03-03,1.011,1.011,1.0110000000000001,易同精选2号
2015-03-04,1.011,1.011,1.0110000000000001,易同精选2号
2015-03-05,1.011,1.011,1.0110000000000001,易同精选2号
2015-03-06,1.021,1.021,1.0210000000000001,易同精选2号
2015-03-09,1.021,1.021,1.0210000000000001,易同精选2号
2015-03-10,1.021,1.021,1.0210000000000001,易同精选2号
2015-03-11,1.021,1.021,1.0210000000000001,易同精选2号
2015-03-12,1.021,1.021,1.0210000000000001,易同精选2号
2015-03-13,1.042,1.042,1.0420000000000003,易同精选2号
2015-03-16,1.042,1.042,1.0420000000000003,易同精选2号
2015-03-17,1.042,1.042,1.0420000000000003,易同精选2号
2015-03-18,1.042,1.042,1.0420000000000003,易同精选2号
2015-03-19,1.042,1.042,1.0420000000000003,易同精选2号
2015-03-20,1.106,1.106,1.1060000000000005,易同精选2号
2015-03-23,1.106,1.106,1.1060000000000005,易同精选2号
2015-03-24,1.106,1.106,1.1060000000000005,易同精选2号
2015-03-25,1.106,1.106,1.1060000000000005,易同精选2号
2015-03-26,1.106,1.106,1.1060000000000005,易同精选2号
2015-03-27,1.144,1.144,1.1440000000000003,易同精选2号
2015-03-30,1.144,1.144,1.1440000000000003,易同精选2号
2015-03-31,1.142,1.142,1.1420000000000003,易同精选2号
2015-04-01,1.142,1.142,1.1420000000000003,易同精选2号
2015-04-02,1.142,1.142,1.1420000000000003,易同精选2号
2015-04-03,1.217,1.217,1.2170000000000007,易同精选2号
2015-04-07,1.217,1.217,1.2170000000000007,易同精选2号
2015-04-08,1.217,1.217,1.2170000000000007,易同精选2号
2015-04-09,1.217,1.217,1.2170000000000007,易同精选2号
2015-04-10,1.336,1.336,1.3360000000000007,易同精选2号
2015-04-13,1.336,1.336,1.3360000000000007,易同精选2号
2015-04-14,1.336,1.336,1.3360000000000007,易同精选2号
2015-04-15,1.336,1.336,1.3360000000000007,易同精选2号
2015-04-16,1.336,1.336,1.3360000000000007,易同精选2号
2015-04-17,1.372,1.372,1.3720000000000008,易同精选2号
2015-04-20,1.372,1.372,1.3720000000000008,易同精选2号
2015-04-21,1.372,1.372,1.3720000000000008,易同精选2号
2015-04-22,1.372,1.472,1.4720000000000006,易同精选2号
2015-04-23,1.222,1.322,1.3110670553935868,易同精选2号
2015-04-24,1.216,1.316,1.3046297376093303,易同精选2号
2015-04-27,1.216,1.316,1.3046297376093303,易同精选2号
2015-04-28,1.216,1.316,1.3046297376093303,易同精选2号
2015-04-29,1.216,1.316,1.3046297376093303,易同精选2号
2015-04-30,1.219,1.319,1.3078483965014585,易同精选2号
2015-05-04,1.219,1.319,1.3078483965014585,易同精选2号
2015-05-05,1.219,1.319,1.3078483965014585,易同精选2号
2015-05-06,1.219,1.319,1.3078483965014585,易同精选2号
2015-05-07,1.219,1.319,1.3078483965014585,易同精选2号
2015-05-08,1.207,1.307,1.2949737609329453,易同精选2号
2015-05-11,1.207,1.307,1.2949737609329453,易同精选2号
2015-05-12,1.207,1.307,1.2949737609329453,易同精选2号
2015-05-13,1.207,1.307,1.2949737609329453,易同精选2号
2015-05-14,1.207,1.307,1.2949737609329453,易同精选2号
2015-05-15,1.258,1.358,1.3496909620991262,易同精选2号
2015-05-18,1.258,1.358,1.3496909620991262,易同精选2号
2015-05-19,1.258,1.358,1.3496909620991262,易同精选2号
2015-05-20,1.258,1.358,1.3496909620991262,易同精选2号
2015-05-21,1.258,1.358,1.3496909620991262,易同精选2号
2015-05-22,1.386,1.486,1.4870204081632663,易同精选2号
2015-05-25,1.386,1.486,1.4870204081632663,易同精选2号
2015-05-26,1.386,1.486,1.4870204081632663,易同精选2号
2015-05-27,1.386,1.486,1.4870204081632663,易同精选2号
2015-05-28,1.386,1.486,1.4870204081632663,易同精选2号
2015-05-29,1.352,1.452,1.4505422740524792,易同精选2号
2015-06-01,1.382,1.482,1.482728862973762,易同精选2号
2015-06-02,1.382,1.482,1.482728862973762,易同精选2号
2015-06-03,1.382,1.482,1.482728862973762,易同精选2号
2015-06-04,1.382,1.482,1.482728862973762,易同精选2号
2015-06-05,1.474,1.574,1.5814344023323628,易同精选2号
2015-06-08,1.474,1.574,1.5814344023323628,易同精选2号
2015-06-09,1.474,1.574,1.5814344023323628,易同精选2号
2015-06-10,1.474,1.574,1.5814344023323628,易同精选2号
2015-06-11,1.474,1.574,1.5814344023323628,易同精选2号
2015-06-12,1.492,1.592,1.6007463556851325,易同精选2号
2015-06-15,1.492,1.592,1.6007463556851325,易同精选2号
2015-06-16,1.492,1.592,1.6007463556851325,易同精选2号
2015-06-17,1.492,1.592,1.6007463556851325,易同精选2号
2015-06-18,1.492,1.592,1.6007463556851325,易同精选2号
2015-06-19,1.366,1.466,1.4655626822157446,易同精选2号
2015-06-23,1.366,1.466,1.4655626822157446,易同精选2号
2015-06-24,1.366,1.466,1.4655626822157446,易同精选2号
2015-06-25,1.366,1.466,1.4655626822157446,易同精选2号
2015-06-26,1.257,1.357,1.3486180758017503,易同精选2号
2015-06-29,1.257,1.357,1.3486180758017503,易同精选2号
2015-06-30,1.245,1.345,1.335743440233237,易同精选2号
2015-07-01,1.245,1.345,1.335743440233237,易同精选2号
2015-07-02,1.245,1.345,1.335743440233237,易同精选2号
2015-07-03,1.096,1.196,1.175883381924199,易同精选2号
2015-07-06,1.096,1.196,1.175883381924199,易同精选2号
2015-07-07,1.096,1.196,1.175883381924199,易同精选2号
2015-07-08,1.096,1.196,1.175883381924199,易同精选2号
2015-07-09,1.096,1.196,1.175883381924199,易同精选2号
2015-07-10,1.093,1.193,1.1726647230320708,易同精选2号
2015-07-13,1.093,1.193,1.1726647230320708,易同精选2号
2015-07-14,1.093,1.193,1.1726647230320708,易同精选2号
2015-07-15,1.093,1.193,1.1726647230320708,易同精选2号
2015-07-16,1.093,1.193,1.1726647230320708,易同精选2号
2015-07-17,1.112,1.212,1.1930495626822164,易同精选2号
2015-07-20,1.112,1.212,1.1930495626822164,易同精选2号
2015-07-21,1.112,1.212,1.1930495626822164,易同精选2号
2015-07-22,1.112,1.212,1.1930495626822164,易同精选2号
2015-07-23,1.112,1.212,1.1930495626822164,易同精选2号
2015-07-24,1.167,1.267,1.2520583090379016,易同精选2号
2015-07-27,1.167,1.267,1.2520583090379016,易同精选2号
2015-07-28,1.167,1.267,1.2520583090379016,易同精选2号
2015-07-29,1.167,1.267,1.2520583090379016,易同精选2号
2015-07-30,1.167,1.267,1.2520583090379016,易同精选2号
2015-07-31,1.071,1.171,1.1490612244897966,易同精选2号
2015-08-03,1.071,1.171,1.1490612244897966,易同精选2号
2015-08-04,1.071,1.171,1.1490612244897966,易同精选2号
2015-08-05,1.071,1.171,1.1490612244897966,易同精选2号
2015-08-06,1.071,1.171,1.1490612244897966,易同精选2号
2015-08-07,1.126,1.226,1.2080699708454818,易同精选2号
2015-08-10,1.126,1.226,1.2080699708454818,易同精选2号
2015-08-11,1.126,1.226,1.2080699708454818,易同精选2号
2015-08-12,1.126,1.226,1.2080699708454818,易同精选2号
