基金代码,基金名称,日期,单位净值,累计净值
SACZ89,黑翼量化成长18S1期,2023-12-07,1.0,1.0
SACZ89,黑翼量化成长18S1期,2023-12-11,1.0,1.0
SACZ89,黑翼量化成长18S1期,2023-12-12,1.0,1.0
SACZ89,黑翼量化成长18S1期,2023-12-13,1.0,1.0
SACZ89,黑翼量化成长18S1期,2023-12-14,1.0,1.0
SACZ89,黑翼量化成长18S1期,2023-12-15,1.0,1.0
SACZ89,黑翼量化成长18S1期,2023-12-19,1.0,1.0
SACZ89,黑翼量化成长18S1期,2023-12-26,1.0,1.0
SACZ89,黑翼量化成长18S1期,2024-01-03,1.0,1.0
SACZ89,黑翼量化成长18S1期,2024-01-09,0.991,0.991
SACZ89,黑翼量化成长18S1期,2024-01-16,0.982,0.982
SACZ89,黑翼量化成长18S1期,2024-01-23,0.942,0.942
SACZ89,黑翼量化成长18S1期,2024-01-30,0.924,0.924
SACZ89,黑翼量化成长18S1期,2024-02-06,0.774,0.774
SACZ89,黑翼量化成长18S1期,2024-02-20,0.723,0.723
SACZ89,黑翼量化成长18S1期,2024-02-27,0.827,0.827
SACZ89,黑翼量化成长18S1期,2024-03-05,0.859,0.859
SACZ89,黑翼量化成长18S1期,2024-03-12,0.859,0.859
SACZ89,黑翼量化成长18S1期,2024-03-19,0.903,0.903
SACZ89,黑翼量化成长18S1期,2024-03-26,0.922,0.922
SACZ89,黑翼量化成长18S1期,2024-04-02,0.907,0.907
SACZ89,黑翼量化成长18S1期,2024-04-09,0.905,0.905
SACZ89,黑翼量化成长18S1期,2024-04-16,0.876,0.876
SACZ89,黑翼量化成长18S1期,2024-04-23,0.837,0.837
SACZ89,黑翼量化成长18S1期,2024-04-30,0.88,0.88
SACZ89,黑翼量化成长18S1期,2024-05-07,0.888,0.888
SACZ89,黑翼量化成长18S1期,2024-05-14,0.91,0.91
SACZ89,黑翼量化成长18S1期,2024-05-21,0.912,0.912
SACZ89,黑翼量化成长18S1期,2024-05-28,0.886,0.886
SACZ89,黑翼量化成长18S1期,2024-06-04,0.888,0.888
SACZ89,黑翼量化成长18S1期,2024-06-12,0.828,0.828
SACZ89,黑翼量化成长18S1期,2024-06-18,0.848,0.848
SACZ89,黑翼量化成长18S1期,2024-06-25,0.835,0.835
SACZ89,黑翼量化成长18S1期,2024-07-02,0.822,0.822
SACZ89,黑翼量化成长18S1期,2024-07-09,0.809,0.809
SACZ89,黑翼量化成长18S1期,2024-07-16,0.821,0.821
SACZ89,黑翼量化成长18S1期,2024-07-23,0.808,0.808
SACZ89,黑翼量化成长18S1期,2024-07-30,0.793,0.793
SACZ89,黑翼量化成长18S1期,2024-08-06,0.819,0.819
SACZ89,黑翼量化成长18S1期,2024-08-13,0.807,0.807
SACZ89,黑翼量化成长18S1期,2024-08-20,0.819,0.819
SACZ89,黑翼量化成长18S1期,2024-08-27,0.792,0.792
SACZ89,黑翼量化成长18S1期,2024-09-03,0.821,0.821
SACZ89,黑翼量化成长18S1期,2024-09-10,0.806,0.806
SACZ89,黑翼量化成长18S1期,2024-09-19,0.795,0.795
SACZ89,黑翼量化成长18S1期,2024-09-24,0.804,0.804
SACZ89,黑翼量化成长18S1期,2024-10-08,0.929,0.929
SACZ89,黑翼量化成长18S1期,2024-10-09,1.034,1.034
SACZ89,黑翼量化成长18S1期,2024-10-15,0.991,0.991
SACZ89,黑翼量化成长18S1期,2024-10-22,1.091,1.091
SACZ89,黑翼量化成长18S1期,2024-10-29,1.179,1.179
SACZ89,黑翼量化成长18S1期,2024-11-04,1.245,1.245
SACZ89,黑翼量化成长18S1期,2024-11-05,1.207,1.207
SACZ89,黑翼量化成长18S1期,2024-11-12,1.327,1.327
SACZ89,黑翼量化成长18S1期,2024-11-19,1.28,1.28
SACZ89,黑翼量化成长18S1期,2024-11-26,1.292,1.292
SACZ89,黑翼量化成长18S1期,2024-12-03,1.354,1.354
SACZ89,黑翼量化成长18S1期,2024-12-10,1.43,1.43
SACZ89,黑翼量化成长18S1期,2024-12-17,1.481,1.481
SACZ89,黑翼量化成长18S1期,2024-12-24,1.445,1.445
SACZ89,黑翼量化成长18S1期,2024-12-31,1.391,1.391
SACZ89,黑翼量化成长18S1期,2025-01-03,1.344,1.344
SACZ89,黑翼量化成长18S1期,2025-01-07,1.292,1.292
SACZ89,黑翼量化成长18S1期,2025-01-14,1.301,1.301
SACZ89,黑翼量化成长18S1期,2025-01-21,1.386,1.386
SACZ89,黑翼量化成长18S1期,2025-02-05,1.407,1.407
SACZ89,黑翼量化成长18S1期,2025-02-06,1.39,1.39
SACZ89,黑翼量化成长18S1期,2025-02-11,1.465,1.465
SACZ89,黑翼量化成长18S1期,2025-02-18,1.531,1.531
SACZ89,黑翼量化成长18S1期,2025-02-25,1.615,1.615
