日期,单位净值,累计净值,累计单位净值,基金id
2023-12-07,1.0,1.0,1.0,黑翼量化成长18S1期私募证券投资基金
2023-12-08,1.0,1.0,1.0,黑翼量化成长18S1期私募证券投资基金
2023-12-11,1.0,1.0,1.0,黑翼量化成长18S1期私募证券投资基金
2023-12-12,1.0,1.0,1.0,黑翼量化成长18S1期私募证券投资基金
2023-12-13,1.0,1.0,1.0,黑翼量化成长18S1期私募证券投资基金
2023-12-14,1.0,1.0,1.0,黑翼量化成长18S1期私募证券投资基金
2023-12-15,1.0,1.0,1.0,黑翼量化成长18S1期私募证券投资基金
2023-12-22,1.0,1.0,1.0,黑翼量化成长18S1期私募证券投资基金
2023-12-29,1.0,1.0,1.0,黑翼量化成长18S1期私募证券投资基金
2024-01-05,0.991,0.991,0.991,黑翼量化成长18S1期私募证券投资基金
2024-01-12,0.982,0.982,0.982,黑翼量化成长18S1期私募证券投资基金
2024-01-19,0.942,0.942,0.942,黑翼量化成长18S1期私募证券投资基金
2024-01-26,0.924,0.924,0.924,黑翼量化成长18S1期私募证券投资基金
2024-02-02,0.774,0.774,0.774,黑翼量化成长18S1期私募证券投资基金
2024-02-08,0.723,0.723,0.723,黑翼量化成长18S1期私募证券投资基金
2024-02-23,0.827,0.827,0.827,黑翼量化成长18S1期私募证券投资基金
2024-03-01,0.859,0.859,0.8590000000000001,黑翼量化成长18S1期私募证券投资基金
2024-03-08,0.859,0.859,0.8590000000000001,黑翼量化成长18S1期私募证券投资基金
2024-03-15,0.903,0.903,0.903,黑翼量化成长18S1期私募证券投资基金
2024-03-22,0.922,0.922,0.9220000000000002,黑翼量化成长18S1期私募证券投资基金
2024-03-29,0.907,0.907,0.9070000000000001,黑翼量化成长18S1期私募证券投资基金
2024-04-03,0.905,0.905,0.9050000000000001,黑翼量化成长18S1期私募证券投资基金
2024-04-12,0.876,0.876,0.8760000000000001,黑翼量化成长18S1期私募证券投资基金
2024-04-19,0.837,0.837,0.8370000000000001,黑翼量化成长18S1期私募证券投资基金
2024-04-26,0.88,0.88,0.8800000000000001,黑翼量化成长18S1期私募证券投资基金
2024-04-30,0.888,0.888,0.8880000000000001,黑翼量化成长18S1期私募证券投资基金
2024-05-10,0.91,0.91,0.9100000000000001,黑翼量化成长18S1期私募证券投资基金
2024-05-17,0.912,0.912,0.9120000000000001,黑翼量化成长18S1期私募证券投资基金
2024-05-24,0.886,0.886,0.8860000000000001,黑翼量化成长18S1期私募证券投资基金
