基金代码,基金名称,日期,单位净值,累计净值,复权净值
SACZ89,黑翼量化成长18S1期（高频）,2023-12-07,1.0,1.0,1.0
SACZ89,黑翼量化成长18S1期（高频）,2023-12-11,1.0,1.0,1.0
SACZ89,黑翼量化成长18S1期（高频）,2023-12-12,1.0,1.0,1.0
SACZ89,黑翼量化成长18S1期（高频）,2023-12-13,1.0,1.0,1.0
SACZ89,黑翼量化成长18S1期（高频）,2023-12-14,1.0,1.0,1.0
SACZ89,黑翼量化成长18S1期（高频）,2023-12-15,1.0,1.0,1.0
SACZ89,黑翼量化成长18S1期（高频）,2023-12-19,1.0,1.0,1.0
SACZ89,黑翼量化成长18S1期（高频）,2023-12-26,1.0,1.0,1.0
SACZ89,黑翼量化成长18S1期（高频）,2024-01-03,1.0,1.0,1.0
SACZ89,黑翼量化成长18S1期（高频）,2024-01-09,0.991,0.991,0.991
SACZ89,黑翼量化成长18S1期（高频）,2024-01-16,0.982,0.982,0.982
SACZ89,黑翼量化成长18S1期（高频）,2024-01-23,0.942,0.942,0.942
SACZ89,黑翼量化成长18S1期（高频）,2024-01-30,0.924,0.924,0.924
SACZ89,黑翼量化成长18S1期（高频）,2024-02-06,0.774,0.774,0.774
SACZ89,黑翼量化成长18S1期（高频）,2024-02-20,0.723,0.723,0.723
SACZ89,黑翼量化成长18S1期（高频）,2024-02-27,0.827,0.827,0.827
SACZ89,黑翼量化成长18S1期（高频）,2024-03-05,0.859,0.859,0.8590000000000001
SACZ89,黑翼量化成长18S1期（高频）,2024-03-12,0.859,0.859,0.8590000000000001
SACZ89,黑翼量化成长18S1期（高频）,2024-03-19,0.903,0.903,0.903
SACZ89,黑翼量化成长18S1期（高频）,2024-03-26,0.922,0.922,0.9220000000000002
SACZ89,黑翼量化成长18S1期（高频）,2024-04-02,0.907,0.907,0.907
SACZ89,黑翼量化成长18S1期（高频）,2024-04-09,0.905,0.905,0.905
SACZ89,黑翼量化成长18S1期（高频）,2024-04-16,0.876,0.876,0.8760000000000001
SACZ89,黑翼量化成长18S1期（高频）,2024-04-23,0.837,0.837,0.8370000000000001
SACZ89,黑翼量化成长18S1期（高频）,2024-04-30,0.88,0.88,0.8800000000000001
SACZ89,黑翼量化成长18S1期（高频）,2024-05-07,0.888,0.888,0.8880000000000001
SACZ89,黑翼量化成长18S1期（高频）,2024-05-14,0.91,0.91,0.91
SACZ89,黑翼量化成长18S1期（高频）,2024-05-21,0.912,0.912,0.912
SACZ89,黑翼量化成长18S1期（高频）,2024-05-28,0.886,0.886,0.8860000000000001
SACZ89,黑翼量化成长18S1期（高频）,2024-06-04,0.888,0.888,0.8880000000000001
SACZ89,黑翼量化成长18S1期（高频）,2024-06-12,0.828,0.828,0.8280000000000001
SACZ89,黑翼量化成长18S1期（高频）,2024-06-18,0.848,0.848,0.8480000000000002
SACZ89,黑翼量化成长18S1期（高频）,2024-06-25,0.835,0.835,0.8350000000000002
SACZ89,黑翼量化成长18S1期（高频）,2024-07-02,0.822,0.822,0.8220000000000002
SACZ89,黑翼量化成长18S1期（高频）,2024-07-09,0.809,0.809,0.8090000000000003
SACZ89,黑翼量化成长18S1期（高频）,2024-07-16,0.821,0.821,0.8210000000000002
SACZ89,黑翼量化成长18S1期（高频）,2024-07-23,0.808,0.808,0.8080000000000003
SACZ89,黑翼量化成长18S1期（高频）,2024-07-30,0.793,0.793,0.7930000000000003
SACZ89,黑翼量化成长18S1期（高频）,2024-08-06,0.819,0.819,0.8190000000000002
SACZ89,黑翼量化成长18S1期（高频）,2024-08-13,0.807,0.807,0.8070000000000003
SACZ89,黑翼量化成长18S1期（高频）,2024-08-20,0.819,0.819,0.8190000000000002
SACZ89,黑翼量化成长18S1期（高频）,2024-08-27,0.792,0.792,0.7920000000000003
SACZ89,黑翼量化成长18S1期（高频）,2024-09-03,0.821,0.821,0.8210000000000002
SACZ89,黑翼量化成长18S1期（高频）,2024-09-10,0.806,0.806,0.8060000000000003
SACZ89,黑翼量化成长18S1期（高频）,2024-09-19,0.795,0.795,0.7950000000000003
SACZ89,黑翼量化成长18S1期（高频）,2024-09-24,0.804,0.804,0.8040000000000003
SACZ89,黑翼量化成长18S1期（高频）,2024-10-08,0.929,0.929,0.9290000000000004
SACZ89,黑翼量化成长18S1期（高频）,2024-10-09,1.034,1.034,1.0340000000000005
SACZ89,黑翼量化成长18S1期（高频）,2024-10-15,0.991,0.991,0.9910000000000004
SACZ89,黑翼量化成长18S1期（高频）,2024-10-22,1.091,1.091,1.0910000000000004
SACZ89,黑翼量化成长18S1期（高频）,2024-10-29,1.179,1.179,1.1790000000000005
SACZ89,黑翼量化成长18S1期（高频）,2024-11-04,1.245,1.245,1.2450000000000006
SACZ89,黑翼量化成长18S1期（高频）,2024-11-05,1.207,1.207,1.2070000000000003
SACZ89,黑翼量化成长18S1期（高频）,2024-11-12,1.327,1.327,1.3270000000000006
SACZ89,黑翼量化成长18S1期（高频）,2024-11-19,1.28,1.28,1.2800000000000007
SACZ89,黑翼量化成长18S1期（高频）,2024-11-26,1.292,1.292,1.2920000000000005
SACZ89,黑翼量化成长18S1期（高频）,2024-12-03,1.354,1.354,1.3540000000000003
SACZ89,黑翼量化成长18S1期（高频）,2024-12-10,1.43,1.43,1.4300000000000004
SACZ89,黑翼量化成长18S1期（高频）,2024-12-17,1.481,1.481,1.4810000000000003
SACZ89,黑翼量化成长18S1期（高频）,2024-12-24,1.445,1.445,1.4450000000000005
SACZ89,黑翼量化成长18S1期（高频）,2024-12-31,1.391,1.391,1.3910000000000005
SACZ89,黑翼量化成长18S1期（高频）,2025-01-03,1.344,1.344,1.3440000000000003
SACZ89,黑翼量化成长18S1期（高频）,2025-01-07,1.292,1.292,1.2920000000000005
SACZ89,黑翼量化成长18S1期（高频）,2025-01-14,1.301,1.301,1.3010000000000004
SACZ89,黑翼量化成长18S1期（高频）,2025-01-21,1.386,1.386,1.3860000000000003
SACZ89,黑翼量化成长18S1期（高频）,2025-02-05,1.407,1.407,1.4070000000000005
SACZ89,黑翼量化成长18S1期（高频）,2025-02-06,1.39,1.39,1.39
SACZ89,黑翼量化成长18S1期（高频）,2025-02-11,1.465,1.465,1.4650000000000003
SACZ89,黑翼量化成长18S1期（高频）,2025-02-18,1.531,1.531,1.5310000000000004
SACZ89,黑翼量化成长18S1期（高频）,2025-02-25,1.615,1.615,1.6150000000000002
