日期,单位净值,累计净值,累计单位净值,基金id
2023-12-07,1.0,1.0,1.0,黑翼CTA28号1期私募证券投资基金
2023-12-13,1.0,1.0,1.0,黑翼CTA28号1期私募证券投资基金
2023-12-14,1.0,1.0,1.0,黑翼CTA28号1期私募证券投资基金
2023-12-15,1.0,1.0,1.0,黑翼CTA28号1期私募证券投资基金
2023-12-18,1.0,1.0,1.0,黑翼CTA28号1期私募证券投资基金
2023-12-19,1.0,1.0,1.0,黑翼CTA28号1期私募证券投资基金
2023-12-20,1.0,1.0,1.0,黑翼CTA28号1期私募证券投资基金
2023-12-21,1.0,1.0,1.0,黑翼CTA28号1期私募证券投资基金
2023-12-22,1.0,1.0,1.0,黑翼CTA28号1期私募证券投资基金
2023-12-29,1.0,1.0,1.0,黑翼CTA28号1期私募证券投资基金
2024-01-05,1.0,1.0,1.0,黑翼CTA28号1期私募证券投资基金
2024-01-12,0.995,0.995,0.995,黑翼CTA28号1期私募证券投资基金
2024-01-19,0.995,0.995,0.995,黑翼CTA28号1期私募证券投资基金
2024-01-26,0.993,0.993,0.993,黑翼CTA28号1期私募证券投资基金
2024-01-31,0.983,0.983,0.983,黑翼CTA28号1期私募证券投资基金
2024-02-02,0.975,0.975,0.975,黑翼CTA28号1期私募证券投资基金
2024-02-08,0.96,0.96,0.96,黑翼CTA28号1期私募证券投资基金
2024-02-23,0.968,0.968,0.968,黑翼CTA28号1期私募证券投资基金
2024-03-01,0.961,0.961,0.961,黑翼CTA28号1期私募证券投资基金
2024-03-08,0.983,0.983,0.9830000000000001,黑翼CTA28号1期私募证券投资基金
2024-03-15,1.023,1.023,1.0230000000000001,黑翼CTA28号1期私募证券投资基金
2024-03-22,1.013,1.013,1.0130000000000001,黑翼CTA28号1期私募证券投资基金
2024-03-29,1.026,1.026,1.0260000000000002,黑翼CTA28号1期私募证券投资基金
2024-04-03,1.031,1.031,1.0310000000000001,黑翼CTA28号1期私募证券投资基金
2024-04-12,1.035,1.035,1.0350000000000001,黑翼CTA28号1期私募证券投资基金
2024-04-19,1.039,1.039,1.0390000000000001,黑翼CTA28号1期私募证券投资基金
2024-04-26,1.037,1.037,1.0370000000000001,黑翼CTA28号1期私募证券投资基金
2024-04-30,1.032,1.032,1.0320000000000003,黑翼CTA28号1期私募证券投资基金
2024-05-10,1.044,1.044,1.0440000000000003,黑翼CTA28号1期私募证券投资基金
2024-05-17,1.047,1.047,1.0470000000000002,黑翼CTA28号1期私募证券投资基金
2024-05-24,1.046,1.046,1.0460000000000003,黑翼CTA28号1期私募证券投资基金
2024-05-31,1.05,1.05,1.0500000000000003,黑翼CTA28号1期私募证券投资基金
2024-06-07,1.033,1.033,1.0330000000000001,黑翼CTA28号1期私募证券投资基金
2024-06-14,1.028,1.028,1.0280000000000002,黑翼CTA28号1期私募证券投资基金
2024-06-21,1.037,1.037,1.0370000000000001,黑翼CTA28号1期私募证券投资基金
2024-06-28,1.051,1.051,1.0510000000000004,黑翼CTA28号1期私募证券投资基金
2024-07-05,1.049,1.049,1.0490000000000004,黑翼CTA28号1期私募证券投资基金
2024-07-12,1.046,1.046,1.0460000000000005,黑翼CTA28号1期私募证券投资基金
2024-07-19,1.048,1.048,1.0480000000000005,黑翼CTA28号1期私募证券投资基金
2024-07-26,1.061,1.061,1.0610000000000006,黑翼CTA28号1期私募证券投资基金
2024-08-02,1.066,1.066,1.0660000000000007,黑翼CTA28号1期私募证券投资基金
2024-08-09,1.081,1.081,1.0810000000000006,黑翼CTA28号1期私募证券投资基金
2024-08-16,1.105,1.105,1.1050000000000006,黑翼CTA28号1期私募证券投资基金
2024-08-23,1.101,1.101,1.1010000000000006,黑翼CTA28号1期私募证券投资基金
2024-08-30,1.086,1.086,1.0860000000000007,黑翼CTA28号1期私募证券投资基金
2024-09-06,1.101,1.101,1.1010000000000006,黑翼CTA28号1期私募证券投资基金
