基金代码,基金名称,日期,单位净值,累计净值
SAFP48,涵德和光淳德量化对冲1号1期,2024-04-19,1.0,1.0
SAFP48,涵德和光淳德量化对冲1号1期,2024-04-23,1.0,1.0
SAFP48,涵德和光淳德量化对冲1号1期,2024-04-24,1.0,1.0
SAFP48,涵德和光淳德量化对冲1号1期,2024-04-25,1.0,1.0
SAFP48,涵德和光淳德量化对冲1号1期,2024-04-26,1.0,1.0
SAFP48,涵德和光淳德量化对冲1号1期,2024-04-29,1.0,1.0
SAFP48,涵德和光淳德量化对冲1号1期,2024-04-30,1.0,1.0
SAFP48,涵德和光淳德量化对冲1号1期,2024-05-06,1.0,1.0
SAFP48,涵德和光淳德量化对冲1号1期,2024-05-07,1.0,1.0
SAFP48,涵德和光淳德量化对冲1号1期,2024-05-14,0.9999,0.9999
SAFP48,涵德和光淳德量化对冲1号1期,2024-05-17,0.9998,0.9998
SAFP48,涵德和光淳德量化对冲1号1期,2024-05-21,0.9998,0.9998
SAFP48,涵德和光淳德量化对冲1号1期,2024-05-29,0.9997,0.9997
SAFP48,涵德和光淳德量化对冲1号1期,2024-06-04,0.9994,0.9994
SAFP48,涵德和光淳德量化对冲1号1期,2024-06-12,0.9976,0.9976
SAFP48,涵德和光淳德量化对冲1号1期,2024-06-18,0.997,0.997
SAFP48,涵德和光淳德量化对冲1号1期,2024-06-19,0.9967,0.9967
SAFP48,涵德和光淳德量化对冲1号1期,2024-06-25,1.0028,1.0028
SAFP48,涵德和光淳德量化对冲1号1期,2024-07-02,1.0146,1.0146
SAFP48,涵德和光淳德量化对冲1号1期,2024-07-09,1.0166,1.0166
SAFP48,涵德和光淳德量化对冲1号1期,2024-07-16,1.0197,1.0197
SAFP48,涵德和光淳德量化对冲1号1期,2024-07-18,1.0217,1.0217
SAFP48,涵德和光淳德量化对冲1号1期,2024-07-23,1.0174,1.0174
SAFP48,涵德和光淳德量化对冲1号1期,2024-07-30,1.0201,1.0201
SAFP48,涵德和光淳德量化对冲1号1期,2024-08-06,1.0198,1.0198
SAFP48,涵德和光淳德量化对冲1号1期,2024-08-13,1.0169,1.0169
SAFP48,涵德和光淳德量化对冲1号1期,2024-08-19,1.0245,1.0245
SAFP48,涵德和光淳德量化对冲1号1期,2024-08-20,1.0246,1.0246
SAFP48,涵德和光淳德量化对冲1号1期,2024-08-27,1.0251,1.0251
SAFP48,涵德和光淳德量化对冲1号1期,2024-09-03,1.0167,1.0167
SAFP48,涵德和光淳德量化对冲1号1期,2024-09-10,1.0193,1.0193
SAFP48,涵德和光淳德量化对冲1号1期,2024-09-19,1.0181,1.0181
SAFP48,涵德和光淳德量化对冲1号1期,2024-09-20,1.0199,1.0199
SAFP48,涵德和光淳德量化对冲1号1期,2024-09-24,1.0174,1.0174
SAFP48,涵德和光淳德量化对冲1号1期,2024-10-08,0.9807,0.9807
SAFP48,涵德和光淳德量化对冲1号1期,2024-10-09,0.9742,0.9742
SAFP48,涵德和光淳德量化对冲1号1期,2024-10-15,0.9898,0.9898
SAFP48,涵德和光淳德量化对冲1号1期,2024-10-17,0.9887,0.9887
SAFP48,涵德和光淳德量化对冲1号1期,2024-10-22,0.9734,0.9734
SAFP48,涵德和光淳德量化对冲1号1期,2024-10-29,0.9838,0.9838
SAFP48,涵德和光淳德量化对冲1号1期,2024-11-05,0.9779,0.9779
SAFP48,涵德和光淳德量化对冲1号1期,2024-11-12,0.9811,0.9811
SAFP48,涵德和光淳德量化对冲1号1期,2024-11-19,0.9866,0.9866
SAFP48,涵德和光淳德量化对冲1号1期,2024-11-26,0.9925,0.9925
SAFP48,涵德和光淳德量化对冲1号1期,2024-12-03,1.0049,1.0049
SAFP48,涵德和光淳德量化对冲1号1期,2024-12-10,1.0134,1.0134
SAFP48,涵德和光淳德量化对冲1号1期,2024-12-17,1.0121,1.0121
SAFP48,涵德和光淳德量化对冲1号1期,2024-12-18,1.0259,1.0259
SAFP48,涵德和光淳德量化对冲1号1期,2024-12-24,1.0135,1.0135
SAFP48,涵德和光淳德量化对冲1号1期,2024-12-31,0.9969,0.9969
SAFP48,涵德和光淳德量化对冲1号1期,2025-01-07,0.9924,0.9924
SAFP48,涵德和光淳德量化对冲1号1期,2025-01-14,0.9894,0.9894
SAFP48,涵德和光淳德量化对冲1号1期,2025-01-17,1.0028,1.0028
SAFP48,涵德和光淳德量化对冲1号1期,2025-01-21,0.998,0.998
SAFP48,涵德和光淳德量化对冲1号1期,2025-02-05,0.9931,0.9931
SAFP48,涵德和光淳德量化对冲1号1期,2025-02-06,0.9938,0.9938
SAFP48,涵德和光淳德量化对冲1号1期,2025-02-11,1.0022,1.0022
SAFP48,涵德和光淳德量化对冲1号1期,2025-02-18,1.0035,1.0035
SAFP48,涵德和光淳德量化对冲1号1期,2025-02-19,1.0143,1.0143
SAFP48,涵德和光淳德量化对冲1号1期,2025-02-25,1.0182,1.0182
